source,reference,wmt_prediction,sc_initial,sc_corrected,sc_final,wmt_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,wmt_comet,sc_initial_comet,sc_final_comet,comet_diff
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","Following a visit to the organisation's headquarters in Moscow in July, WADA director general Olivier Nigg","After a visit to the organisation's headquarters in Moscow in July, WADA director general Olivier Niggli said that RUSADA was 'moving in the right direction' to be reinstated.","After a visit to the organisation's headquarters in Moscow in July, WADA director general Olivier Niggli said that RUSADA was 'moving in the right direction' to be reinstated.",0.848,23.79,39.6,39.6,15.810000000000002,0.6395,0.9028,0.9028,0.2633000000000001
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.","The coach of the football district league team VfL Wolbeck, who was sparing with words,","The coach of the football district league team VfL Wolbeck, who was reticent, first withdrew (mentally) to reflect on the lack of readiness to perform on the pitch.","He was reticent, the coach of the football district league team VfL Wolbeck, withdrew first (mentally) to mull over the lack of readiness to perform on the pitch.",0.848,16.11,23.21,33.99,17.880000000000003,0.5999,0.7868,0.7652,0.1653
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.","With regard to the clear increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation,","Looking at the clear increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he would not yet speak of new right-wing terrorism.","Looking at the clear increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he would not yet speak of new right-wing terrorism.",0.848,37.55,67.37,67.37,29.820000000000007,0.767,0.8863,0.8863,0.11929999999999996
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: Historians speak of the ""trap of anachronism"" here,","Michael Hesemann: We historians talk about the 'trap of anachronism', which is the danger of evaluating the past according to today's moral standards.","Michael Hesemann: We historians talk about the 'trap of anachronism', which is the danger of evaluating the past according to today's moral standards.",0.848,6.6,55.24,55.24,48.64,0.6471,0.8986,0.8986,0.25149999999999995
"Die Aufgabe des Notbremsassistenten besteht darin, mehr Druck auf die Bremsen im Falle eines kritischen Bremsmanövers, welches das System anhand der vom Fahrer ausgeführten Bremsstärke auf das Bremspedal erkennt, auszuüben.","What the emergency brake assistant does is increase the pressure on the brakes in the event of an emergency, which the system detects through the driver's pressure on the pedal.",The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a,"The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a critical braking manoeuvre, which the system recognises from the driver's braking force on the brake pedal.","The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a critical braking manoeuvre, which the system recognises from the driver's braking force on the brake pedal.",0.848,20.59,28.88,28.88,8.29,0.7527,0.8415,0.8415,0.08879999999999999
"Manchmal hilft aber nicht mal der Restart, da hilft nichts anderes, als den kritischen Abschnitt aus dem Kopf zu lernen.",Sometimes the restarts are not enough and you need to learn a given section of the race by heart.,"Sometimes, however, even a restart is not enough, and the only thing that helps is to learn","Sometimes, however, even a restart is not enough, and the only thing that helps is to learn the critical section by heart.","Sometimes it's not even the restart, there is nothing else to do but to learn the critical section by heart.",0.848,6.44,9.23,9.61,3.169999999999999,0.6437,0.7389,0.6299,-0.013800000000000034
"Es ist fast genau ein Jahr her, dass Schottland die historische Entscheidung getroffen hat, Teil des Vereinigten Königreichs zu bleiben.",It is almost exactly a year since Scotland made the historic decision to remain part of the UK.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,0.848,84.92,84.92,84.92,0.0,0.9671,0.9671,0.9671,0.0
"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.","In an interview with The Washington Post, Hogan's spokeswoman, Amelia Chasse, defended the governor's","In an interview with The Washington Post, Hogan's spokeswoman Amelia Chasse defended the governor's actions and argued that blocking comments was nothing more than moderation.","Hogan's spokeswoman, Amelia Chasse, defended the governor's actions and argued that blocking comments was nothing more than moderation.",0.848,27.18,57.92,24.29,-2.8900000000000006,0.6985,0.9127,0.8857,0.18720000000000003
Ein Zug mit Hunderten Flüchtlingen ist auf dem Weg nach Hessen.,A train carrying hundreds of refugees is on the way to Hesse.,A train with hundreds of refugees is on its way to Hesse.,A train with hundreds of refugees is on its way to Hesse.,A train with hundreds of refugees is on its way to Hessen.,0.848,52.66,52.66,38.06,-14.599999999999994,0.9327,0.9327,0.929,-0.0036999999999999256
"Unternehmen im Raum District, Maryland und Virginia zahlten gemeinsam 27,6 Milliarden $ an staatliche und örtliche Stellen im Finanzjahr 2013, ein Anstieg um 3,8 Prozent gegenüber den Einnahmen von 2012 in Höhe von 26,6 Milliarden $.","District, Maryland and Virginia businesses collectively paid $27.6 billion to state and local coffers in fiscal 2013, an increase of 3.8 percent over the $26.6 billion collected in 2012.","District, Maryland and Virginia companies paid a combined $27.6 billion in state and local taxes","Companies in the District of Columbia, Maryland and Virginia paid $27.6 billion in state and local taxes in fiscal year 2013, up 3.8% from $26.6 billion in 2012.","Companies in the District of Columbia, Maryland and Virginia paid $27.6 billion in state and local taxes in fiscal year 2013, up 3.8% from $26.6 billion in 2012.",0.848,13.51,25.76,25.76,12.250000000000002,0.74,0.8616,0.8616,0.12160000000000004
Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht.,"The research, funded by the Rio Tinto Ride to Conquer cancer, will be published today in the Medical Journal of Australia.","The study, funded by Rio Tinto's Ride to Conquer Cancer, is published today in the",The study funded by Rio Tinto Ride to Conquer Cancer will be published today in the Medical Journal of Australia.,The study funded by Rio Tinto Ride to Conquer Cancer will be published today in the Medical Journal of Australia.,0.848,18.72,60.55,60.55,41.83,0.8713,0.9165,0.9165,0.04520000000000002
"Das Management-Team von Grand Plaza veröffentlichte eine Erklärung an die Bewohner: ""Die Polizei arbeitet derzeit an der Zeitachse und dem Hintergrund des Opfers und erforscht eine Vielzahl von Motiven, einschließlich eines möglichen häuslichen Vorfalls.""","The management team at Grand Plaza released a statement to residents saying, ""Police are currently working on the timeline and background of the victim and are exploring a variety of motives, including a possible domestic incident.""","The management team of Grand Plaza issued a statement to residents: ""The police are currently working on the","The management team of Grand Plaza issued a statement to residents: 'The police are currently working on the timeline and background of the victim and are investigating a number of motives, including a possible domestic incident.'","The management team of Grand Plaza issued a statement to residents: ""The police are currently working on the timeline and background of the victim and are investigating a number of motives, including a possible domestic incident.""",0.848,13.88,59.16,62.19,48.309999999999995,0.6923,0.9077,0.9163,0.22399999999999998
"Gerade die Gezeitenenergie ist es, welche Bundesstaaten wie New York, Maine und Alaska sowie weitere Küstenstaaten dazu brachten, bereits 7,5 Millionen Dollar im Jahr 2008 zu investieren – für 2009 sind bereits bis zu 35 Millionen geplant.","It's exactly on tidal energy that states such as New York, Maine, and Alaska, together with others that overlook the coast, have already invested 7.5 million dollars in 2008 and are foreseen investments of up to 35 million for 2009.","It is tidal energy that has prompted states such as New York, Maine and Alaska, as well as","It is tidal energy that has prompted states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars a year in 2008 – 35 million is planned for 2009.","It is tidal energy that has prompted states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars a year in 2008 – 35 million is planned for 2009.",0.848,12.05,25.17,25.17,13.120000000000001,0.5517,0.8618,0.8618,0.31010000000000004
"Die Notwendigkeit, dass Lateinamerika auch weiterhin eine integrierte Region für Wohlstand und Frieden und mit guten nachbarschaftlichen Beziehungen bleibt, war ein weiterer Aspekt, der auf dem Gipfeltreffen betont wurde.","The need for Latin America to remain a prosperous, peaceful and integrated nation, with good neighbourly relations, was another issue highlighted by the summit.",The need for Latin America to remain an integrated region for prosperity and peace and with good neighbourly relations,The need for Latin America to remain an integrated region for prosperity and peace and with good neighbourly relations was another aspect highlighted at the summit.,The need for Latin America to remain an integrated region for prosperity and peace and with good neighbourly relations was another aspect highlighted at the summit.,0.848,28.52,36.97,36.97,8.45,0.8382,0.9095,0.9095,0.07130000000000003
"Herrera wollte die kommenden Neueröffnungen nicht verraten, schloss aber nicht aus, dass Madrid das nächste Ziel sein könnte.","Herrero did not want to reveal the following possible openings, although she recognized that Madrid could be the following destiny.","Herrera did not want to reveal the upcoming openings, but he did not rule out that Madrid could be","Herrera did not want to reveal the upcoming openings, but he did not rule out that Madrid could be the next target.","Herrera did not want to reveal the upcoming openings, but he did not rule out that Madrid could be the next target.",0.848,34.96,37.23,37.23,2.269999999999996,0.7465,0.828,0.828,0.0814999999999999
"Dann gehören Sie wohl auch zu den Frauen, die regelrecht besessen davon sind, wie sie aussehen.","Then, you belong to the group of women obsessed by their appearance.",Then you are one of those women who are obsessed with how they look.,Then you must be one of those women who are obsessed with how they look.,Then you must be one of the women who are completely obsessed with how they look.,0.848,4.11,3.83,3.72,-0.3900000000000001,0.8603,0.8704,0.8632,0.0029000000000000137
"Generalstabschef Hulusi Akar bleibt zwar im Amt, aber die Kommandeure des Heeres, der Luftstreitkräfte und der Marine wurden abgesetzt.","Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the marines were removed.","General Staff Chief Hulusi Akar remains in office, but the commanders of the army, air","General Staff Chief Hulusi Akar remains in office, but the commanders of the army, air force and navy have been dismissed.","General Staff Chief Hulusi Akar remains in office, but the commanders of the army, air force and navy have been dismissed.",0.848,48.71,57.05,57.05,8.339999999999996,0.6934,0.9112,0.9112,0.2178
"Die AKP jedoch, die für ihre islamistischen Wurzeln bekannt ist, repräsentiert einen Paradigmenwechsel in der türkischen Einigkeit",But the AKP with its well-known Islamist roots represents a paradigm shift in the Turkish consensus.,"The ACP, known for its Islamic roots, represents a paradigm shift in Turkish unity","However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity.","However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity.",0.848,24.19,21.89,21.89,-2.3000000000000007,0.811,0.8822,0.8822,0.07119999999999993
"Erste ökonomische Weltmacht, Sitz der FIFA-Hauptsponsoren, das Land scheint eine lange Liste von Vorteilen gegenüber Japan und Südkorea aufzuweisen, die separat ein sehr schönes Projekt aufgestellt haben.","The leading world ecomomic power, the seat of the principal sponsors of Fifa, the country appears to have a big lead over Japan and South Korea who have separately built a very fine project.","First economic world power, seat of the FIFA main sponsors, the country seems to have a long list","First economic world power, seat of the FIFA main sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have set up a very good project separately.","First economic world power, seat of the FIFA main sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have set up a very good project separately.",0.848,7.91,21.23,21.23,13.32,0.6661,0.8108,0.8108,0.14469999999999994
"Abraham Lincoln lehnte es ab, den Status von Rothschilds Bank of America als Zentralbank zu erneuern, begann während des Bürgerkrieges, eigene (sprich: staatliche) Banknoten herauszugeben und wurde 1865 in einem Theater ermordet.","Abraham Lincoln refused to renew the status of the central bank to the Rothschild Bank of America, and during the Civil War he began to issue his own (that is state-issued) money and was assassinated in 1865 at the theatre.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) banknotes during the Civil War, and was assassinated in a theatre in 1865.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) currency during the Civil War, and was assassinated in a theatre in 1865. Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) currency during the Civil War, and was assassinated in a theatre in 1865. Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) currency during the Civil War, and was assassinated in a theatre in 1865. Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) currency during the Civil War, and was assassinated in a theatre in 1865. Abraham Lincoln refused to renew the status of Rothschild's Bank of America as",0.848,12.2,35.29,8.55,-3.6499999999999986,0.5549,0.8471,0.6409,0.08600000000000008
Dies entspricht einem Äquivalent von 70% der Abgase des weltweiten Fuhrparks.,This is the equivalent of 70% of the emissions by the world's motor vehicles.,This is equivalent to 70% of the global fleet's emissions.,This is equivalent to 70% of the emissions from the world's fleet of vehicles.,This is equivalent to 70% of the emissions from the world's fleet of vehicles.,0.848,19.99,33.44,33.44,13.45,0.8783,0.9173,0.9173,0.039000000000000035
"Der Anwalt kehrte nach Hause zurück, holte sich die Drogen und dann wurden neun Mitteilungen zwischen den beiden ausgetauscht.",The lawyer returned home to discover the drugs and there were nine communications between them.,"The lawyer returned home, got the drugs and then the two exchanged nine messages.","The lawyer returned home, got the drugs and then nine messages were exchanged between the two.","The lawyer returned home, brought the drugs and then nine messages were exchanged between them.",0.848,23.58,21.77,27.69,4.110000000000003,0.819,0.8452,0.8607,0.04170000000000007
Und die sogenannte Ingenieurlücke wird laut VDI-Prognosen noch größer werden.,"And the shortage of engineers is going to get worse, according to VDI.","According to VDI forecasts, the so-called engineering gap will become even greater.","And according to VDI forecasts, the so-called engineering shortage will get even worse.","And according to VDI forecasts, the so-called engineering shortage will get even worse.",0.848,6.65,13.22,13.22,6.57,0.8074,0.8791,0.8791,0.07169999999999999
Im Irak haben 4500 Soldaten ihr Leben verloren und die Amerikaner wurden nicht gezwungen zu packen.,In Iraq 4500 soldiers have lost their lives and the Americans have not been forced to pack up and leave.,"In Iraq, 4500 soldiers have lost their lives and the Americans have not been forced to","In Iraq, 4500 soldiers lost their lives and the Americans were not forced to pack their bags.","In Iraq, 4500 soldiers lost their lives and the Americans were not forced to pack their bags.",0.848,67.04,34.57,34.57,-32.470000000000006,0.8241,0.8426,0.8426,0.01849999999999996
Erwischt: Wegen eines positiven Dopingprobe darf Gewichtheber Adrian Zielinski aus Polen in Rio nicht starten.,"Busted: After a sample tested positive for doping, weightlifter Adrian Zielinksi from Poland is not allowed to compete in Rio.",Caught: Weightlifter Adrian Zielinski from Poland will not be able to compete in Rio due to a,Caught: Weightlifter Adrian Zielinski from Poland cannot compete in Rio because of a positive doping test.,Caught: Weightlifter Adrian Zielinski from Poland cannot compete in Rio because of a positive doping test.,0.848,13.76,9.27,9.27,-4.49,0.6681,0.8634,0.8634,0.19529999999999992
Auf die Spezifik des tschechischen Marktes weisen auch weitere Anbieter hin.,Other operators also refer to the specific nature of the Czech market.,Other providers also point to the specifics of the Czech market.,Other suppliers also point to the specifics of the Czech market.,Other suppliers also point to the specifics of the Czech market.,0.848,35.72,35.72,35.72,0.0,0.9043,0.904,0.904,-0.00029999999999996696
Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.,Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.,"For the five defeats in the last six Tests, Ancelotti has blamed his team's physical condition and","For the five defeats in the last six tests, Ancelotti has blamed the physical condition and the lack of balance in his team.",Ancelotti has blamed the physical condition and the lack of balance in his team for the five defeats in the past six tests.,0.848,11.1,35.32,44.57,33.47,0.7847,0.8507,0.8706,0.08590000000000009
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.,Germany is the first European nation to recognize a third gender for children born with ambiguous genitalia.,Germany is the first European nation to recognise a third gender for children born with ambiguous genitalia.,Germany is the first European nation to recognise a third gender for children born with ambiguous genitalia.,0.848,72.77,54.75,54.75,-18.019999999999996,0.9464,0.9362,0.9362,-0.010199999999999987
"Annahmen zufolge gibt es im Land etwa 1.000 Tonnen an Chemikalien und Waffen, wozu auch Senfgas und das Nervengas Sarin zählen.","The country is believed to have around 1,000 metric tons of chemicals and weapons including mustard gas and the nerve agent sarin.","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country, including mustard gas and sarin nerve gas.","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country, including mustard gas and sarin nerve gas.",0.848,11.76,22.07,22.07,10.31,0.8091,0.8753,0.8753,0.06619999999999993
"Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.","Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.","Hungry for growth, both the bank and a hedge fund it had set up earlier invested in American sub","Hungry for growth, both the bank itself and a hedge fund it had set up earlier invested in American sub-prime assets.","Starved for growth, both the bank and a hedge fund it had set up earlier invested in American sub-prime assets.",0.848,27.12,38.97,19.46,-7.66,0.7683,0.8828,0.858,0.0897
"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, the virtual operators usually stand out as low-cost companies - they offer cheap phone calls and","In the world, virtual providers are normally profiled as low-cost companies - they offer cheap phone calls and text messages, although this is often accompanied by a less extensive service offering.","In the world, virtual providers are normally profiled as low-cost companies - they offer cheap phone calls and text messages, although this is often accompanied by a less extensive service offering.",0.848,5.36,13.55,13.55,8.190000000000001,0.7335,0.8805,0.8805,0.1469999999999999
"""Wie es sich herausstellt, war es Harrison, der die Morde vorbereitet und angeordnet hat"", schließt hieraus ein FBI-Bericht.","""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""It turns out that it was Harrison who prepared and ordered the murders,"" concludes an FBI report.","As it turns out, Harrison was the one who prepared and ordered the murders, according to an FBI report.","""It turns out that it was Harrison who prepared and ordered the murders,"" concludes an FBI report.",0.848,39.14,32.34,39.14,0.0,0.9418,0.9257,0.9418,0.0
"Liner, 31, und Ellis Tochter Maleah verstarben noch vor Ort.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis's daughter Maleah died at the scene.","Liner, 31, and Ellis's daughter Maleah died at the scene.",0.848,100.0,76.12,76.12,-23.879999999999995,0.9655,0.9547,0.9547,-0.010800000000000032
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement came after they had to postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement came after they had to postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement came after they had to postpone a gig at the LG Arena in Birmingham on Thursday.,0.848,73.66,73.66,73.66,0.0,0.9018,0.9018,0.9018,0.0
"Mit dem Kopenhagener Vertrag haben sich die Entwicklungsländer dazu verpflichtet, 30 Milliarden Dollar zwischen 2010 und 2012 bereitzustellen.","According to the Copenhagen agreemsnt, developed countries underook to furnish 30 thousand million dollars between 2010 and 2012.","Under the Copenhagen Accord, developing countries have committed to providing $30 billion between 2010","Under the Copenhagen agreement, developing countries have committed themselves to providing $30 billion between 2010 and 2012.","Under the Copenhagen agreement, developing countries have committed themselves to providing $30 billion between 2010 and 2012.",0.848,6.41,23.08,23.08,16.669999999999998,0.7986,0.8493,0.8493,0.05070000000000008
"Angel Di Maria und Edinson Cavani hielten Kurs, als Paris Saint-Germain seine Champions League Saison mit einem äußerst komfortablen 2-0 Sieg gegen Malmö im Prinzenparkstadion am Dienstag startete.",Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain began their Champions League campaign with an ultimately comfortable 2-0 win against Malmo at the Parc des Princes on Tuesday.,Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain started their Champions League,Angel Di Maria and Edinson Cavani were on course as Paris Saint-Germain started their Champions League season with a comfortable 2-0 victory over Malmö at the Prince Park Stadium on Tuesday.,Angel Di Maria and Edinson Cavani kept their feet on the ground as Paris Saint-Germain started their Champions League season with an extremely comfortable 2-0 victory over Malmö at the Stade de France on Tuesday.,0.848,24.87,38.3,29.72,4.849999999999998,0.7811,0.8559,0.8527,0.0716
In der vergangenen Saison bezogen die Badener beim BHC eine schmerzliche Niederlage und haben dort etwas gutzumachen.,In the past season the Baden team suffered a painful defeat at BHC and they have some ground to make up there.,"In the previous season, the Baden team suffered a painful defeat at the hands of the BHC and","In the previous season, the Badenians suffered a painful defeat at the hands of the BHC and have something to make up for.","Last season, the Badenians suffered a bitter defeat at BHC and have to make amends there.",0.848,35.71,24.1,16.26,-19.45,0.7331,0.8363,0.8309,0.0978
