source,reference,prediction,bleu,comet
"Der Anwalt kehrte nach Hause zurück, holte sich die Drogen und dann wurden neun Mitteilungen zwischen den beiden ausgetauscht.",The lawyer returned home to discover the drugs and there were nine communications between them.,"The lawyer returned home, got the drugs and then the two exchanged nine messages.",23.58,0.819
Und die sogenannte Ingenieurlücke wird laut VDI-Prognosen noch größer werden.,"And the shortage of engineers is going to get worse, according to VDI.","According to VDI forecasts, the so-called engineering gap will become even greater.",6.65,0.8074
Im Irak haben 4500 Soldaten ihr Leben verloren und die Amerikaner wurden nicht gezwungen zu packen.,In Iraq 4500 soldiers have lost their lives and the Americans have not been forced to pack up and leave.,"In Iraq, 4500 soldiers have lost their lives and the Americans have not been forced to",67.04,0.8241
Erwischt: Wegen eines positiven Dopingprobe darf Gewichtheber Adrian Zielinski aus Polen in Rio nicht starten.,"Busted: After a sample tested positive for doping, weightlifter Adrian Zielinksi from Poland is not allowed to compete in Rio.",Caught: Weightlifter Adrian Zielinski from Poland will not be able to compete in Rio due to a,13.76,0.6681
Auf die Spezifik des tschechischen Marktes weisen auch weitere Anbieter hin.,Other operators also refer to the specific nature of the Czech market.,Other providers also point to the specifics of the Czech market.,35.72,0.9043
Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.,Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.,"For the five defeats in the last six Tests, Ancelotti has blamed his team's physical condition and",11.1,0.7847
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.,Germany is the first European nation to recognize a third gender for children born with ambiguous genitalia.,72.77,0.9464
"Annahmen zufolge gibt es im Land etwa 1.000 Tonnen an Chemikalien und Waffen, wozu auch Senfgas und das Nervengas Sarin zählen.","The country is believed to have around 1,000 metric tons of chemicals and weapons including mustard gas and the nerve agent sarin.","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country",11.76,0.8091
"Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.","Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.","Hungry for growth, both the bank and a hedge fund it had set up earlier invested in American sub",27.12,0.7683
"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, the virtual operators usually stand out as low-cost companies - they offer cheap phone calls and",5.36,0.7335
"""Wie es sich herausstellt, war es Harrison, der die Morde vorbereitet und angeordnet hat"", schließt hieraus ein FBI-Bericht.","""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""It turns out that it was Harrison who prepared and ordered the murders,"" concludes an FBI report.",39.14,0.9418
"Liner, 31, und Ellis Tochter Maleah verstarben noch vor Ort.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis' daughter Maleah died at the scene.",100.0,0.9655
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement came after they had to postpone a gig at the LG Arena in Birmingham on Thursday.,73.66,0.9018
"Mit dem Kopenhagener Vertrag haben sich die Entwicklungsländer dazu verpflichtet, 30 Milliarden Dollar zwischen 2010 und 2012 bereitzustellen.","According to the Copenhagen agreemsnt, developed countries underook to furnish 30 thousand million dollars between 2010 and 2012.","Under the Copenhagen Accord, developing countries have committed to providing $30 billion between 2010",6.41,0.7986
"Angel Di Maria und Edinson Cavani hielten Kurs, als Paris Saint-Germain seine Champions League Saison mit einem äußerst komfortablen 2-0 Sieg gegen Malmö im Prinzenparkstadion am Dienstag startete.",Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain began their Champions League campaign with an ultimately comfortable 2-0 win against Malmo at the Parc des Princes on Tuesday.,Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain started their Champions League,24.87,0.7811
In der vergangenen Saison bezogen die Badener beim BHC eine schmerzliche Niederlage und haben dort etwas gutzumachen.,In the past season the Baden team suffered a painful defeat at BHC and they have some ground to make up there.,"In the previous season, the Baden team suffered a painful defeat at the hands of the BHC and",35.71,0.7331
"Er sollte in Kiel aber ebenso dabei sein wie Botic Van de Zandschulp, Niels Lootsma (beide Niederlande) und der Belgier Julien Cagnina.","He should also be there in Kiel though, just like Botic Van de Zandschulp, Niels Lootsma (both Netherlands) and the Belgian Julien Cagnina.","He should be there in Kiel as well as Botic Van de Zandschulp, Niels",22.29,0.6083
Torjäger Rubin Okotie kann nach seiner Gehirnerschütterung kommende Woche wieder ins Mannschaftstraining zurückkehren.,"Following his concussion, goal scorer Rubin Okotie is returning to training with the team in the coming week.",Torjäger Rubin Okotie can return to team training next week after suffering a concussion.,5.33,0.6434
"Die Fluggesellschaften müssen der FAA nachweisen, dass Flugzeuge den neuen Richtlinien entsprechen und dass sie die Schulungshandbücher des Flugpersonals sowie die Regelungen für das Verstauen der Geräte entsprechend der neuen Vorschriften aktualisiert haben.",Airlines will have to show the FAA how their airplanes meet the new guidelines and that they've updating their flight crew training manuals and rules for stowing devices to reflect the new guidelines.,Airlines must prove to the FAA that planes comply with the new rules and that they have updated flight crew training,6.6,0.8034
"Einer aus der Gruppe, ein 17 Jahre alter Afghane, folgte nach Angaben der Polizei seinen beiden Freunden in einem Abstand von etwa fünf Metern und rief ihnen zu, dass man doch auf ihn warten möge.","According to police one of the group, a 17-year-old Afghan, was walking about five metres behind his friends and called out to them for them to wait for him.","One of the group, a 17-year-old Afghan, followed his two friends at a distance of",22.93,0.7075
"Beispielsweise sind die Xbox-Konsole und die Kinect-Sensoren ein Fortschritt, und heutzutage wird keine Xbox mehr ohne Kinect verkauft, da sich alle für Bewegungssteuerung interessieren.","For example, Xbox and Kinect sensors are a step forward. Almost no Xbox is sold without Kinect today, because everyone likes control by gestures.","For example, the Xbox console and the Kinect sensors are a step forward, and nowadays no Xbox is sold",30.11,0.7239
"Das Fitnessstudio hat ebenfalls diese Art von Geräten, auβerdem gibt es auch virtuelle Trainer, die sich um die Trainingseinheiten der Kunden kümmern und ihnen dadurch ein vollkommen persönliches Training bieten.","The gym has these machines, in addition to virtual trainers which guide the steps of the clients, offering them a totally personalized treatment.","The gym also has this type of equipment, as well as virtual trainers who take care of the training sessions",5.33,0.823
Die Avalanches verzeichneten in der Saison 2015-16 eine 39-39-4 Marke und fielen hinter den Wild für eine zweite Wildcard Spot in der Western Conference um fünf Punkte zurück.,The Avalanche posted a 39-39-4 mark in 2015-16 and fell five points shy of the Wild for the second wild-card spot in the Western Conference.,The Avalanche finished 39-39-4 in the 2015-16,10.67,0.6587
"Am Donnerstag erklärte die OPWC, die beiden Standorte seien laut syrischer Aussage „aufgegeben worden ... und die dort vorhandenen Objekte des Chemiewaffenprogramms seien an andere genannte Einrichtungen verlagert worden, die inspiziert wurden.“","On Thursday, OPCW said the two locations were, according to Syria, ""abandoned and ... the chemical weapons program items they contained were moved to other declared sites, which were inspected.""","On Thursday, the OPCW said the two sites had been ""abandoned ... and the chemical weapons program",15.22,0.7289
"Correa nahm auch auf die Behandlung der gesundheitlichen Probleme des Präsidenten von Venezuela, Hugo Chávez, in Kuba Bezug.",Correa also referred to Venezuelan President Hugo Chavez's new health treatment in Cuba.,"Correa also referred to the treatment of the health problems of the president of Venezuela, Hugo Chávez",15.46,0.8226
"Etwa drei von zehn sagen, dass sie eine negative Meinung haben.",Roughly three in 10 say they have a negative view.,About three in 10 say they have a negative opinion.,69.89,0.9422
Mit ihrer Reality-TV-Geschichte war Jenners Stellung in der Modewelt immer etwas angespannt.,"With her reality television history, Jenner's position within the fashion world was always going to be fraught.",Jenner's position in the fashion world has always been a little strained by her reality TV history.,12.15,0.8627
"Schließlich sind die bisher zwölf Rollstuhlfahrer, die im Wohnheim der Lebenshilfe Donau-Iller bereits schon seit einiger Zeit leben, auf die besondere Architektur des Neubaus angewiesen.","After all, the twelve wheelchair users who have been living in the residential home provided by Lebenshilfe Donau-Iller for some time, depend on its unique architecture.","After all, the twelve wheelchair users who have already been living in the Lebenshilfe Donau-Iller",31.68,0.5975
"Die Drei zeigten sich sichtlich erfreut über den ""vielen Betrieb in Schotten"".","The three were visibly delighted by the ""roaring trade in Schotten.""","The three were clearly delighted with the ""lots of activity in Scotland"".",14.25,0.7897
"Der Stundensatz für Arbeitnehmer mit den niedrigsten Löhnen steigt also von 8,72 Euro auf 9,06 Euro.","Hourly rates, for those on lower pay, ""go from 8.72 euros to 9.06.",The hourly rate for workers with the lowest wages will rise from 8.72 euros to 9,15.21,0.8609
Zwischen dem Weißen Haus und Assange entbrannte derweil ein Schlagabtausch.,"In the meantime, exchanges have been made between the White House and Assange.","Between the White House and Assange, meanwhile, a back-and-forth began.",26.97,0.7936
"Doch die von ihr getesteten Geräte sind auch für die Straßenplaner interessant, denn sie arbeiten nicht mit GPS und liefern nur begrenzte Informationen, die regelmäßig per Modem hochgeladen werden.","But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","However, the devices tested by her are also of interest to road planners, as they do not use GPS",4.63,0.762
"""Ich dachte immer, Wuffli und Ospel seien ein Traumteam"", sagt Bankenforscher Hans Geiger.","""I always thought that Wuffli and Ospel were a dream team,"" says the banking research, Hans Geiger.","""I always thought Wuffli and Ospel were a dream team,"" says banking researcher Hans Ge",54.15,0.9229
Der zehnseitige Bericht zeigt detailliert beständige Probleme in den Jahren 2014 und 2015 in den Beschreibungen und Analysen der amerikanischen Anstrengungen in der Ausbildung der irakischen Streitkräfte.,The 10-page report detailed persistent problems in 2014 and 2015 in Central Command's description and analysis of American efforts to train Iraqi forces.,The ten-page report details persistent problems in 2014 and 2015 in the descriptions and analyses of American efforts to train Iraqi forces.,50.43,0.9105
"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","""Human Rights First has long emphasized that violence against Muslims, as well as all forms of hate crimes, should be considered a more serious violation of human rights,"" said Paul Legendre,",35.35,0.8502
"Hayne verglich den Schnitzer mit seinem Origin Debüt damals im Jahr 2007, als ein Pass bei in seinem eigenen in-Goal Bereich zu einem Try für Queensland führte.",Hayne likened the blunder to his Origin debut back in 2007 when a pass in his own in-goal led to a Queensland try.,Hayne compared the gaffe to his Origin debut in 2007 when a pass in his own in-goal area led to a try for Queensland.,50.09,0.859
"Ein Mann erklärte, dass die kostenlose Operation eines Leistenbruchs, die er erhalten habe, ihm nun ermögliche, wieder zu arbeiten.",One man explained that the free hernia surgery he'd received will allow him to work again.,A man said that the free operation he received for a broken leg has allowed him to return to work.,10.58,0.8637
"Die Täter sollen zwischen 1,60 und 1,70 Meter groß gewesen sein, also relativ klein.","Between 1.6 and 1.7 m tall, the perpetrators were relatively short.","The perpetrators are said to have been between 1.60 and 1.70 metres tall, so relatively small.",5.65,0.8109
"Die Tipps stammen nicht nur von Unternehmern, sondern auch von Berufsverbänden und Journalisten.","Tips were received from entrepreneurs, but also professional associations and journalists.","The tips come not only from entrepreneurs, but also from professional associations and journalists.",45.79,0.9215
Am Münchner Hauptbahnhof trafen nach Bundespolizei-Angaben im Vergleich zum Wochenbeginn am Mittwoch wieder deutlich mehr Flüchtlinge ein.,"According to reports from the Federal police, significantly more refugees arrived at the main railway station in Munich on Wednesday compared to the beginning of the week.","According to the federal police, significantly more refugees arrived at Munich Central Station than at the beginning of the week on Wednesday.",38.41,0.8626
Die CDU-Fraktion wird voraussichtlich am Dienstag über ihr weiteres Vorgehen entscheiden.,The CDU parliamentary group is expected to decide on Tuesday about how they will proceed.,The CDU group is expected to decide on its next move on Tuesday.,37.49,0.8727
Im Gegensatz zu Deutschlands Top-Wohnorten kommt einem der Preis aber wie Peanuts vor.,"Compared with Germany's top areas, however, this price seems likes peanuts.","Unlike Germany's top places to live, however, the price is peanuts.",16.06,0.8283
"Am Samstag, 7. September, starten um 13.30 Uhr die Highlander-Games.","On Saturday 7 September, the Highland Games will start at 1:30 p.m.","On Saturday, 7 September, the Highland Games will start at 13.30.",49.54,0.9212
"Die Richterin hatte geurteilt, Polizeibeamte verletzten die Bürgerrechte von Zehntausenden von Menschen, weil sie in unangemessener Weise gezielt schwarze und lateinamerikanische Männer mit dem Stop-and-Frisk-Programm ins Visier nähmen.",The judge had ruled that police officers violated the civil rights of tens of thousands of people by wrongly targeting black and Hispanic men with its stop-and-frisk program.,The judge ruled that police officers were violating the civil rights of tens of thousands of people by targeting black and Latino men inappropriately with the stop-and-frisk program.,51.2,0.8911
"Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf, ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen.",Social and familial structures often weaken as people grow older - so choir is a perfect way to spend time with other people.,"Because social and family structures often break down in old age, a choir is an ideal opportunity to spend time with other people.",28.77,0.8953
"Beim Provider des Absenders wird in der Regel überprüft, ob die Mail ein Schadprogramm als Anhang mit sich führt.",Checks are generally carried out by the sender's provider as to whether the mail contains malware as an attachment.,The provider of the sender usually checks whether the mail carries a virus as an attachment.,18.48,0.828
Erst am Schluss des Fluges sind wiederum technische Schäden an der Rakete aufgetreten.,But near the end of the flight there was technical damage to the missile.,It was only at the end of the flight that technical damage occurred to the rocket.,28.86,0.8216
"Der Donut-förmige Ring besteht aus Material, das der Stern im Sterbeprozess herausschleuderte.","The donut-shaped ring consists of material, ejected by the star in the process of dying.",The doughnut-shaped ring is made of material that the star spewed out during its death process.,7.69,0.8476
"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Whatever the economic situation, low prices will be demanded, confirms the president of the bar association of Barcelona, Gaietà Farràs.",27.05,0.758
Er verschwand einfach - egal wie weit der Ausschnitt ausgewählt war.,He just disappeared - no matter how wide a perspective was used.,It simply disappeared - no matter how far the excerpt was selected.,31.46,0.7257
"`Es gehört uns, es ist unsere Zukunft', fügte er hinzu, nachdem er eine theatralische Pause eingelegt hatte, um die riesige Karte hinter sich zu betrachten.","""We, our future,"" he added after a theatrical pause contemplating the immense map behind him.","""It's ours, it's our future,"" he added, pausing theatrically to survey the huge map behind him.",34.53,0.8298
"Aber keiner der befragten Studenten - und weniger noch ein Professor - erklärte, an das letzte Datum des 21. Dezembers zu glauben.",But none of the students interviewed - much less any professor - said they believed in the end date of December 21st.,But none of the students surveyed - and even fewer professors - said they believed in the last date of Dec. 21.,37.88,0.8755
"Die originalen Außentüren sind geblieben, das Haus ist im alten rotbraunen Rostschutz-Farbton gestrichen.",The original external doors have been retained and the building has been painted in the old red-brown colour of rust-proofing.,"The original exterior doors have been retained, and the house has been painted in the old red-brown rustproofing colour.",46.2,0.9334
"Im Jahr 2002 gelang es ihm im sechsten Anlauf, als erster Mensch den Weltball in einem Heissluftballon zum umkreisen: ein zweiwöchiger, einsamer Flug.","In 2002, at his sixth attempt, he became the first man to complete the round the world trip in a hot air balloon: a two-week solo flight.","In 2002, on his sixth attempt, he became the first person to circumnavigate the world in a hot air balloon: a two-week, solitary flight.",52.29,0.8804
"Trerise schrieb in einem Geständnis: ""Ich fühle mich verantwortlich für ihren Tod.""","Trerise wrote in a confession note: ""I feel responsible for her death.""","Trerise wrote in a confession: ""I feel responsible for her death.""",81.97,0.9575
"Der Unsinn fängt mit dem Ticketholen an, das dir erlaubt, als erster zu gehen.","The nonsense began with the collection of the back number, which presupposed you went there before the race.","The nonsense starts with the ticketing, which allows you to go first.",6.89,0.6679
"Hughes sagte, Patek habe dasselbe Schicksal verdient wie die drei anderen Mitglieder der Terrorzelle Jemaah Islamiah – Amrozi, Mukhlas und Imam Samudra –, die für das Blutbad verantwortlich waren und vor vier Jahren hingerichtet wurden.","Mr Hughes said Patek should have shared the same fate as three other members of the Jemaah Islamiah terror cell responsible for the carnage - Amrozi, Mukhlas and Imam Samudra - who were executed four years ago.","Hughes said Patek deserved the same fate as the three other members of the Jemaah Islamiah terror cell - Amrozi, Mukhlas and Imam Samudra -",43.62,0.8589
"Beim E-Sport werden Computerspiele wie ""League Of Legends"", ""Dota 2"", ""Counterstrike"" oder eben die Fußball-Simulation FIFA auf Wettbewerbsebene ausgefochten.","In e-sport, computer games like ""League Of Legends"", ""Dota 2"", ""Counterstrike"" or even the football simulator FIFA are battled out on a competitive level.","In e-sports, computer games such as ""League of Legends"", ""Dota 2"", ""Counterstrike"" or the football simulation ""FIFA"" are played competitively.",41.9,0.9151
