original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
3969,"""Wir haben das Unmögliche möglich gemacht, um die Vorjahrespreise mit Menüs für jeden Geschmack von 19,95 bis 30 Euro aufrechtzuerhalten"", erklärt er.","""We have done the impossible to maintain the same prices of the year last, with menus for all the tastes from 19.95 to 30 Euros,"" they detail.",He explains: 'We have made the impossible possible to maintain last year's prices with menus for every taste from 19.95 to 30 euros'.,"The German ""Wir haben das Unmögliche möglich gemacht"" should be ""We have made the impossible possible"" not ""He explains: 'We have made the impossible possible"" - the model added unnecessary attribution. The phrase ""um die Vorjahrespreise mit Menüs für jeden Geschmack von 19.95 bis 30 Euro aufrechtzuerhalten"" should be ""to maintain last year's prices with menus for every taste from 19.95 to 30 euros"" not ""to maintain last year's prices with menus for every taste from 19.95 to 30 euros"" - the model omitted the quotation marks around ""Vorjahrespreise","""We have made the impossible possible to maintain last year's prices with menus for every taste from 19.95 to 30 euros,"" he explains.",13.56,17.13,3.56,0.8524,0.8578,0.0054
1142,"In der Geschichte eines deutschen Schulmädchens erzählt er: ""Ersatz, überall Ersatz.""","In telling a German schoolgirl's story he says: ""Ersatz, everywhere ersatz.""","In the history of a German schoolgirl he tells: 'Substitute, substitute, substitute.'","The German ""Ersatz, überall Ersatz"" should be ""substitutes, everywhere substitutes"" not ""Substitute, substitute, substitute"" - this is about multiple replacements/substitutions, not repeating the word ""substitute. The phrase ""In der Geschichte eines deutschen Schulmädchens"" should be ""In the history of a German schoolgirl"" not ""In the history of a German schoolgirl"" - the model got this exactly right. The word ""erzählt"" should be ""tells"" not ""tells"" - the model got this right","In the history of a German schoolgirl he tells: ""Substitutes, everywhere substitutes.""",6.26,9.67,3.42,0.5976,0.6949,0.0973
3411,"Laut einer vorsichtigen Aussage von Beobachtern der Organisation of American States and the Caribbean Community ""machen diese Unregelmäßigkeiten, so ernst sie auch sein mögen, den Prozess nicht notwendigerweise ungültig"".","Observers from the Organisation of American States and the Caribbean Community said cautiously that they did ""not believe these irregularities, serious as they were, necessarily invalidated the process.""","According to a cautious statement by observers of the Organisation of American States and the Caribbean Community, these irregularities, however serious they may be, do not necessarily make the process invalid.",the translation accurately captures the meaning,"According to a cautious statement by observers of the Organisation of American States and the Caribbean Community, these irregularities, however serious they may be, do not necessarily make the process invalid.",30.28,30.28,0,0.825,0.825,0
3093,"Am weitesten ist hier Sony Ericsson, dessen Handys aus der Serie Walkman die gleiche Nutzerschnittstelle haben wie die einzeln verkauften MP3-Player.","Sony Ericsson, whose cell phones from the walkman series have the same user interface as the MP3 players sold separately, is the most advanced in the field.","The most far-reaching is Sony Ericsson, whose Walkman phones have the same user interface as the MP3 players sold separately.","The German ""aus der Serie Walkman"" should be ""from the Walkman series"" not ""from the Walkman phones"" - ""Serie"" refers to a product line/series, not individual phones. The phrase ""gleiche Nutzerschnittstelle haben"" should be ""have the same user interface"" not ""have the same user interface"" - this is grammatically correct. The phrase ""MP3-Player"" should be ""MP3 player"" not ""MP3 players"" - singular form is more natural","The most far-reaching is Sony Ericsson, whose handsets from the Walkman series have the same user interface as the MP3 player.",42.47,37.1,-5.36,0.8422,0.819,-0.0232
2972,HP beschäftigte zum Ende des Geschäftsjahres 2013/14 noch rund 302.000 Mitarbeiter.,"At the end of the 2013/14 business year HP still employed around 302,000 staff.","At the end of the financial year 2013/14, HP still employed around 302 000 employees.","The German ""Beschäftigte"" should be ""employees"" not ""employed"" - this is a lexical error where the model chose the wrong verb form. The phrase ""zum Ende des Geschäftsjahres 2013/14"" should be ""at the end of the financial year 2013/14"" not ""At the end of the financial year 2013/14"" - this is a punctuation error where the model added unnecessary commas. The German ""rund"" should be ""around"" not ""around"" - this is a lexical error where the model chose the wrong preposition","At the end of the financial year 2013/14, HP still employed around 302 000 employees.",39.52,39.52,0,0.9357,0.9357,0
2665,"Ein seltener Moment, in dem der normalerweise großspurig und selbstsicher auftretende Multimillionär so etwas wie Bedenken äußerte, wie Korrespondenten berichteten.","It was a strange moment - the multi-millionaire normally puts on a pompous, self-assured performance, but this time he expressed something analogous to doubt, as correspondents report.","A rare moment when the normally flamboyant and self-confident multimillionaire expressed some doubts, as reported by correspondents.","The German ""Multimillionär"" should be ""billionaire"" not ""multimillionaire"" - this is a lexical error where the model chose a less specific term. The phrase ""so etwas wie Bedenken äußerte"" should be ""expressed some reservations"" not ""expressed some doubts"" - ""reservations"" is more precise than ""doubts","A rare moment when the normally flamboyant and self-assured billionaire expressed some reservations, as reported by correspondents.",3.04,3.14,0.09,0.7792,0.7789,-0.0003
1989,Solarworld belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands.,Solarworld came in 55th place among the 100 best employers in Germany in a study by the Great Place to Work Institute.,Solarworld was ranked 55th in a study by the Great Place to Work Institute.,"The German ""belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands"" should be ""was ranked 55th among the top 100 employers in Germany by the Great Place to Work Institute"" not just ""was ranked 55th in a study by the Great Place to Work Institute",Solarworld was ranked 55th among the top 100 employers in Germany by the Great Place to Work Institute.,42.89,40.13,-2.76,0.8319,0.9146,0.0826
1693,"Manchmal nicht, denn im Extremfall führt sie dazu, dass Menschen extreme körperliche Risiken auf sich nehmen und dem Glücksspiel oder Drogen verfallen, um sie zu lindern - das haben Studien gezeigt.","Sometimes no, because in its extreme it can lead people to take absurd physical risks, gamble or indulge in substance abuse as a way to ease it, research shows.","Sometimes not, because in extreme cases it leads to people taking extreme physical risks and becoming addicted to gambling or drugs in order to alleviate it - that has been shown by studies.","The German ""Manchmal nicht"" should be ""Sometimes"" not ""Sometimes not"" - this is a semantic error where the model reversed the meaning. The phrase ""führt sie dazu, dass Menschen extreme körperliche Risiken auf sich nehmen und dem Glücksspiel oder Drogen verfallen, um sie zu lindern - das haben Studien gezeigt"" should be ""it can lead to people taking extreme physical risks and becoming addicted to gambling or drugs in order to alleviate it - studies have shown this"" not ""it leads to people taking extreme physical risks and becoming addicted to gambling or drugs in order to alleviate it - that has been shown by studies"" - this is a semantic error where the model reversed the causality. The phrase ""im Extremfall"" should be ""in extreme cases"" not ""in extreme cases"" - this is a lexical error where the model repeated the phrase unnecessarily","Sometimes, because in extreme cases it can lead to people taking extreme physical risks and becoming addicted to gambling or drugs in order to alleviate it - studies have shown this.",6.5,9.65,3.14,0.8548,0.8468,-0.0079
3432,Der Audi des 33-Jährigen war nicht mehr fahrbereit und musste abgeschleppt werden.,The Audi belonging to the 33-year-old could no longer be driven and had to be towed away.,The 33-year-old's Audi was not roadworthy and had to be towed away.,"The German ""war nicht mehr fahrbereit"" should be ""was no longer roadworthy"" not ""was not roadworthy"" - ""no longer"" is more precise than ""not",The 33-year-old's Audi was no longer roadworthy and had to be towed away.,33.36,36.38,3.02,0.8589,0.8814,0.0224
245,"Der Richter Jean-François Molla sagte, dass die Lebensmittelgeschäfte, Cafés und Restaurants eine viel größere Rolle spielen würden, als lediglich Leute zu ernähren, die ""in extrem prekären Bedingungen leben.""","The judge, Jean-François Molla, said the groceries, cafes and restaurants played a much bigger role than simply feeding people that ""live in extremely precarious conditions.""","Judge Jean-François Molla said that food shops, cafes and restaurants would play a much greater role than simply feeding people in 'extreme poverty'.","The German ""in extrem prekären Bedingungen leben"" should be ""in extremely precarious living conditions"" not ""in 'extreme poverty'"" - this is about living conditions, not just poverty. The phrase ""eine viel größere Rolle spielen würden"" should be ""would play a much more important role"" not ""would play a much greater role"" - ""more important"" is more natural than ""greater","Judge Jean-François Molla said that food shops, cafes and restaurants would play a much more important role than simply feeding people in extremely precarious living conditions.",23.19,27.51,4.31,0.8674,0.8744,0.007
4810,Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards.,But it in certainly not a radical initiative - at least by American standards.,But it is certainly not a radical initiative - at least not by American standards.,the translation accurately captures the meaning,But it is certainly not a radical initiative - at least not by American standards.,64.14,64.14,0,0.9589,0.9589,0
3209,Am Fuße des Baumes sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben.,"The herdsmen, exhausted after the ascent, rested at the foot of the tree.","At the foot of the tree, the animal handlers should have a rest.","The German ""vom Aufstieg erschöpten"" should be ""exhausted by the climb"" not ""animal handlers"" - this is about the exhaustion of climbers, not animal handlers. The phrase ""Tierhüter"" should be ""climbers"" not ""animal handlers"" - this is about people who climbed the tree, not animal caretakers. The word ""ausgeruht haben"" should be ""rested"" not ""should have a rest"" - the model changed the past tense to future and added ""should","At the foot of the tree, the climbers should have rested, exhausted by the climb.",25.88,25.89,0.01,0.6183,0.7807,0.1624
2163,HR4-RADTOUR 700 Fahrradfahrer legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein,HR4-CYCLE TOUR 700 cyclists are taking a breather in the health resort of Bad Salzhausen and Schotten,HR4-RADTOUR 700 cyclists are stopping for refreshments in the Kurpark of Bad Salzhausen and Schotten.,"The German ""legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein"" should be ""make stops in the Kurpark of Bad Salzhausen and Schotten"" not ""are stopping for refreshments"" - this is about making scheduled stops, not spontaneous refreshment breaks. The phrase ""HR4-RADTOUR 700"" should be ""HR4-RADTOUR 700 cyclists"" not just ""HR4-RADTOUR 700 cyclists"" - the ""700"" should be emphasized. The word ""Zwischenstopps"" should be ""stops"" not ""refreshments",HR4-RADTOUR 700 cyclists make stops in the Kurpark of Bad Salzhausen and Schotten.,30.25,26.59,-3.66,0.695,0.6826,-0.0124
2917,"""Das Spiel gegen Schapdetten, das ist es, was wir nun gewinnen müssen"", sagte Lewandowski.","The game against Schapdetten, that’s one we have to win now, said Lewandowski.",Lewandowski said: 'The game against Schapdetten is what we have to win now'.,"The German ""Schapdetten"" should be ""Schapdetten"" not ""Schapdetten"" - this is a proper noun that should remain untranslated. The phrase ""das ist es, was wir nun gewinnen müssen"" should be ""that's what we have to win now"" not ""what we have to win now"" - the ""nun"" (now) should be emphasized. The word ""sagte"" should be ""said"" not ""said","""The game against Schapdetten, that's what we have to win now,"" said Lewandowski.",24.34,53.82,29.48,0.888,0.9035,0.0155
3242,"Eine positive Nachricht kam aus der Republik Irland, wo der PMI auf 57,3 anstieg, dem höchsten Niveau seit Ende 1999.","One positive note was from the Republic of Ireland, which saw its PMI grow to 57.3, its highest level since the end of 1999.","Good news came from the Republic of Ireland, where the PMI rose to 57.3, the highest level since the end of 1999.","The German ""Republik Irland"" should be ""Republic of Ireland"" not ""Republic of Ireland"" - this is a lexical error where the model didn't capitalize properly. The phrase ""dem höchsten Niveau seit Ende 1999"" should be ""the highest since the end of 1999"" not ""the highest level since the end of 1999"" - this is a semantic error where the model changed ""Niveau"" (level) to ""level","Good news came from the Republic of Ireland, where the PMI rose to 57.3, the highest since the end of 1999.",47.99,40.23,-7.76,0.9077,0.9001,-0.0076
4344,"Der norwegische Diplomat drängte die Vereinigten Staaten und andere Militärmächte auch, die Anzahl der internationalen zivilen Helfer zu erhöhen, die bei der politischen Umstellung Afghanistans helfen sollen.",The Norwegian diplomat also pressed the United States and other military powers to increase the number of international civil servants aiding Afghanistan's political transition.,The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian assistants to help with the political transformation of Afghanistan.,"The German ""politischen Umstellung Afghanistans"" should be ""Afghanistan's political transformation"" not ""political transformation of Afghanistan",The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian assistants to help with Afghanistan's political transformation.,51.71,57.41,5.7,0.8918,0.8963,0.0045
1790,"Jedoch sei der Mittelwert an neuen Arbeitssuchenden während der letzten vier Wochen ""auf den Tiefpunkt des Jahres gefallen"", betonte Scott Marcouiller von Wells Fargo Advisors.","However, in the last four weeks, the average number of new employment seekers ""has fallen to its lowest in a year"", highlighted Scott Marcouiller from Wells Fargo Advisors.","However, the average number of new job seekers over the past four weeks has 'fallen to the lows of the year', said Scott Marcouiller of Wells Fargo Advisors.","The German ""auf den Tiefpunkt des Jahres gefallen"" should be ""hit rock bottom for the year"" not ""fallen to the lows of the year"" - ""Tiefpunkt"" means absolute lowest point, not just low. The phrase ""betonte...von Wells Fargo Advisors"" should be ""said Scott Marcouiller of Wells Fargo Advisors"" not ""said Scott Marcouiller of Wells Fargo Advisors"" - the model added ""of Wells Fargo Advisors"" which is redundant","However, the average number of new job seekers over the past four weeks has ""hit rock bottom for the year,"" said Scott Marcouiller of Wells Fargo Advisors.",26.25,26.91,0.66,0.8879,0.8806,-0.0074
2066,"Die Initiative wurde schon im letzten Monat im Juni angekündigt und schon jetzt ein Teil des Berichtes der Generalstaatsanwaltschaf ist. Nach ihren Angaben handelt es sich um ein Piloten-Projekt, welches ein Jahr lang dauern wird.","The measure was announced last June and has been already included in the Annual Report of the State Attorney General, according to which it will be a pilot project for a period of one year.","The initiative was announced last month, in June, and a part of the General Prosecutor's report has already been published. According to them, it is a pilot project that will last for a year.","The German ""Generalstaatsanwaltschaf"" should be ""General Prosecutor's Office"" not ""General Prosecutor's report"" - this is a semantic error where the model misunderstood the organizational structure. The phrase ""ein Teil des Berichtes"" should be ""a part of the report"" not ""a part of the General Prosecutor's report"" - this is a lexical error where the model added unnecessary information. The word ""Piloten-Projekt"" should be ""pilot project"" not ""pilot project"" - this is a lexical error where the model didn't improve the translation","The initiative was announced last month, in June, and a part of the report of the General Prosecutor's Office is already a part of the report. According to them, it is a pilot project that will last for a year.",9.6,8.28,-1.33,0.8253,0.7642,-0.0611
2786,"Der Schuss kam aus einem Kleinwagen, der an einer Gruppe von sechs Kindern vorbeigefahren war und plötzlich angehalten hatte.","The shots came from a small car, which drove past a group of six children and suddenly stopped.",The shot came from a small car that had stopped in front of a group of six children.,"The German ""Schuss"" should be ""gunshot"" not ""shot"" - this is a lexical error where the model chose a less specific term. The phrase ""an einer Gruppe von sechs Kindern vorbeigefahren"" should be ""passed by a group of six children"" not ""stopped in front of a group of six children"" - this is a semantic error where the model added unnecessary detail. The German ""plötzlich angehalten"" should be ""suddenly stopped"" not ""stopped"" - this is a lexical error where the model chose a less dramatic term",The gunshot came from a small car that passed by a group of six children and suddenly stopped.,38.4,59.51,21.11,0.867,0.87,0.0029
1964,"""Mir ist immer sein Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres aufgefallen"", gibt D'Arenberg zu.","""I've always been struck by his refined and calm manner, and his neat and perfect appearance"" acknowledges D'Arenberg.","D'Arenberg admits that he is always impressed by his refinement, his calmness and his impeccable appearance.","The German ""Mir ist immer sein Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres aufgefallen"" should be ""I have always been struck by his refinement, his calmness and his impeccable appearance"" not ""I am always impressed by his refinement, his calmness and his impeccable appearance","""I have always been struck by his refinement, his calmness and his impeccable appearance,"" D'Arenberg admits.",5.96,21.77,15.81,0.862,0.9164,0.0545
766,"Der Bootmotor verfügte zwar über eine Notstoppleine, diese löste sich allerdings beim Kentern des Boots von der Person los, die das Boot steuerte.",The boat's engine had an emergency kill cord but it had somehow come detached from the person driving the boat when it capsized.,"The engine of the boat had a not-stop line, but this came off when the boat capsized.","The German ""Bootmotor"" should be ""engine"" not ""engine of the boat"" - this is about a car engine, not a boat engine. The phrase ""Notstoppleine"" should be ""emergency brake"" not ""not-stop line"" - these are different types of braking systems. The phrase ""löste sich allerdings beim Kentern des Boots von der Person los"" should be ""broke loose from the person steering the boat"" not ""came off when the boat capsized"" - this is about the brake disconnecting from the driver, not the brake line breaking. The model misunderstood the type of braking system and the disconnection mechanism","The engine had an emergency brake, but this broke loose from the person steering the boat when the boat capsized.",5.53,20.52,14.99,0.7047,0.7989,0.0943
3683,"Fällt es Deutschland schwer, bei wichtigen internationalen Themen eine klare Position zu beziehen?",Does Germany find it difficult to adopt a clear position when it comes to important international affairs?,Is it difficult for Germany to take a clear position on important international issues?,the translation accurately captures the meaning,Is it difficult for Germany to take a clear position on important international issues?,12.87,12.87,0,0.9163,0.9163,0
1151,"""Die liegen bei mir auf dem Zentralbankkonto und verursachen 0,4 Prozent Kosten"", sagte der Bankchef.","""The money has been sitting in my account at the Central Bank, and costing 0.4 percent,"" the bank CEO said.",The president of the bank said: 'They are on my central bank account and they cost 0.4 per cent'.,"The German ""Die liegen bei mir auf dem Zentralbankkonto"" should be ""I have them on my Central Bank account"" not ""They are on my central bank account"" - the model changed ""I have"" to ""They are","""I have them on my Central Bank account and they cost 0.4 per cent,"" the bank chief said.",4.37,14.39,10.02,0.8064,0.811,0.0046
3186,"Ich erwartete, Zähneknirschen und handgreifliche Diskussionen am Flugsteig zu sehen.",I was expecting to see gnashing of teeth and a fight breaking out at the gate.,I expected to see toothbrushes and hand-to-hand discussions at the airport.,"The German ""Zähneknirschen"" should be ""toothbrush"" not ""toothbrushes"" - this is a singular/plural error. The phrase ""handgreifliche Diskussionen am Flugsteig"" should be ""hand-to-hand discussions on the tarmac"" not ""hand-to-hand discussions at the airport"" - the model omitted ""on the tarmac"" and changed ""Diskussionen"" to ""discussions",I expected to see a toothbrush and hand-to-hand discussions on the tarmac.,7.26,6.21,-1.05,0.5597,0.4972,-0.0625
1670,"Vor kurzem bist du 30 geworden, bist du in keine Krise verfallen?","Not long ago, you celebrated your 30 years, did you entered a crisis?","Have you turned 30 recently, have you not gone through a crisis?","The German ""Vor kurzem bist du 30 geworden"" should be ""Have you recently turned 30"" not ""Have you turned 30 recently"" - the model added ""recently"" which isn't in the original. The phrase ""bist du in keine Krise verfallen?"" should be ""Have you not fallen into a crisis"" not ""Have you not gone through a crisis"" - the model changed ""verfallen"" (fallen into) to ""gone through","Have you recently turned 30, have you not fallen into a crisis?",11.33,11.33,0,0.788,0.8032,0.0152
4762,Ein Teil des Meeresbodens gehört heute auch der Tschechischen Republik.,Part of the ocean floor currently belongs to the Czech Republic.,A part of the seabed also belongs to the Czech Republic today.,"The German ""Meeresbodens"" should be ""sea bed"" not ""seabed"" - this is a lexical error where the model chose a less formal term. The phrase ""Meeresbodens"" is more formal than ""seabed"" in this context. The word ""Tschechischen Republik"" should be ""Czech Republic"" not ""Czech Republic"" - this is a spelling error where the model didn't correct the Czech spelling",A part of the sea bed today also belongs to the Czech Republic.,34.39,39.35,4.96,0.9004,0.9125,0.012
