source,reference,base_prediction,sc_initial,sc_corrected,sc_final,base_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,base_comet,sc_initial_comet,sc_final_comet,comet_diff
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After a visit to the headquarters of the organization in Moscow in July, WADA General Director Olivier Niggli declared that RUSADA was ""moving in the right direction"" to be reinstated.","After a visit to the headquarters of the organisation in Moscow in July, WADA General Director Olivier Niggli said that RUSADA was 'moving in the right direction' to be reinstated.","Following a visit to the WADA headquarters in Moscow in July, WADA Director-General Olivier Niggli said that RUSADA was ""moving in the right direction"" to be reinstated.",0.741,54.86,37.01,63.69,8.829999999999998,0.9083,0.8992,0.8952,-0.0131
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.","The coach of the football club VfL Wolbeck, who is known to be a man of few words, withdrew himself (mentally) for a while to think about the lack of performance on the pitch.","He was wordy, the coach of VfL Wolbeck football club in the Bezirksliga, and withdrew (mentally) for a while to think about the lack of performance on the pitch.","He was tight-lipped, the coach of VfL Wolbeck football club in the Bezirksliga, and withdrew (mentally) for a while to think about the lack of performance on the pitch.Initial analysis: The German ""Wortkarg"" should be ""tight-lipped"" not ""wordy"" - ""Wortkarg"" means ""tight-lipped"" not ""wordy",0.741,12.88,13.58,7.29,-5.590000000000001,0.78,0.7304,0.4904,-0.2896
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.","With regard to the significant increase in right-motivated crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.","In view of the significant increase in right-motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he would not speak of right-wing terrorism again.","In view of the significant increase in right-motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he would not speak of right-wing terrorism again.",0.741,83.9,45.38,45.38,-38.52,0.9044,0.8514,0.8514,-0.052999999999999936
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: Historians talk about the ""fall of the anachronism"", i.e. the danger of judging the past according to today's moral standards.","Michael Hesemann: Historians talk about the 'fall of the anachronism', that is, the danger of judging the past by today's moral standards.","We historians are talking about the ""trap of anachronism"", that is, the danger of judging the past according to today's moral standards.",0.741,37.4,34.68,56.23,18.83,0.8888,0.8927,0.8744,-0.01440000000000008
"Die Aufgabe des Notbremsassistenten besteht darin, mehr Druck auf die Bremsen im Falle eines kritischen Bremsmanövers, welches das System anhand der vom Fahrer ausgeführten Bremsstärke auf das Bremspedal erkennt, auszuüben.","What the emergency brake assistant does is increase the pressure on the brakes in the event of an emergency, which the system detects through the driver's pressure on the pedal.","The task of the emergency brake assistant is to increase the pressure on the brakes in the event of a critical braking manoeuvre, which the system recognises on the basis of the braking force applied by the driver.","The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a critical braking manoeuvre, which the system recognises from the driver's braking force on the brake pedal.","The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a critical braking manoeuvre, which detects the driver's braking force on the brake pedal.",0.741,36.69,28.88,26.34,-10.349999999999998,0.8416,0.8415,0.8109,-0.03070000000000006
"Manchmal hilft aber nicht mal der Restart, da hilft nichts anderes, als den kritischen Abschnitt aus dem Kopf zu lernen.",Sometimes the restarts are not enough and you need to learn a given section of the race by heart.,"Sometimes it doesn't help even a restart, because nothing else helps to learn the critical section from the head.","Sometimes even a restart is not enough, there is nothing else to do but to learn the critical section by heart.","Sometimes even a restart doesn't help, there is nothing else to do, but to learn the critical section by heart.",0.741,5.14,10.09,8.93,3.79,0.5855,0.7363,0.7056,0.12009999999999998
"Es ist fast genau ein Jahr her, dass Schottland die historische Entscheidung getroffen hat, Teil des Vereinigten Königreichs zu bleiben.",It is almost exactly a year since Scotland made the historic decision to remain part of the UK.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,0.741,84.92,84.92,84.92,0.0,0.9671,0.9671,0.9671,0.0
"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.","In an interview with The Washington Post, Hogan’s spokeswoman Amelia Chasse defended the governor’s actions and argued that the blocking of comments was nothing more than moderation.","In an interview with The Washington Post, Hogan's spokeswoman, Amelia Chasse, defended the governor's actions and argued that the blocking of comments was simply moderation.","In an interview with The Washington Post, Hogan's spokeswoman, Amelia Chasse, defended the governor's actions and argued that the blocking of comments was simply moderation. The translation accurately captures the meaning",0.741,50.56,38.61,31.69,-18.87,0.9124,0.9,0.8682,-0.04420000000000002
Ein Zug mit Hunderten Flüchtlingen ist auf dem Weg nach Hessen.,A train carrying hundreds of refugees is on the way to Hesse.,A train with hundreds of refugees is on its way to Hessen.,A train with hundreds of refugees is on its way to Hesse.,A train with hundreds of refugees is on its way to Hesse.,0.741,38.06,52.66,52.66,14.599999999999994,0.929,0.9327,0.9327,0.0036999999999999256
"Unternehmen im Raum District, Maryland und Virginia zahlten gemeinsam 27,6 Milliarden $ an staatliche und örtliche Stellen im Finanzjahr 2013, ein Anstieg um 3,8 Prozent gegenüber den Einnahmen von 2012 in Höhe von 26,6 Milliarden $.","District, Maryland and Virginia businesses collectively paid $27.6 billion to state and local coffers in fiscal 2013, an increase of 3.8 percent over the $26.6 billion collected in 2012.","Businesses in the District of Columbia, Maryland, and Virginia paid a total of $27.6 billion in state and local taxes in 2013, an increase of 3.8 percent over the $26.6 billion in taxes paid in 2012.","Companies in the District of Columbia, Maryland and Virginia paid a total of $27.6 billion in state and local taxes in 2013, an increase of 3.8 percent over the $26.6 billion paid in 2012.","Companies in the District of Columbia, Maryland and Virginia paid a total of $27.6 billion in state and local taxes in 2013, an increase of 3.8 percent over the $26.6 billion paid in 2012. Response: the translation accurately captures the meaning",0.741,39.02,45.42,37.43,-1.5900000000000034,0.8834,0.8883,0.839,-0.044399999999999995
Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht.,"The research, funded by the Rio Tinto Ride to Conquer cancer, will be published today in the Medical Journal of Australia.",The study financed by the Rio Tinto Ride to Conquer Cancer will be published today in the Medical Journal of Australia.,The study funded by Rio Tinto Ride to Conquer Cancer is being published today in the Medical Journal of Australia.,The study funded by Rio Tinto Ride to Conquer Cancer is being published today in the Medical Journal of Australia.,0.741,67.06,51.35,51.35,-15.71,0.9302,0.9137,0.9137,-0.01650000000000007
"Das Management-Team von Grand Plaza veröffentlichte eine Erklärung an die Bewohner: ""Die Polizei arbeitet derzeit an der Zeitachse und dem Hintergrund des Opfers und erforscht eine Vielzahl von Motiven, einschließlich eines möglichen häuslichen Vorfalls.""","The management team at Grand Plaza released a statement to residents saying, ""Police are currently working on the timeline and background of the victim and are exploring a variety of motives, including a possible domestic incident.""","The management team of Grand Plaza published a statement to the residents: ""The police are currently working on the time axis and the background of the victim and are investigating a variety of motives, including a possible domestic incident.""","The management team of Grand Plaza issued a statement to the residents: 'The police are currently working on the time axis and the background of the victim and are investigating a number of motives, including a possible domestic incident.'","The management team of Grand Plaza issued a statement to the residents: ""The police are currently working on the time axis and the background of the victim and are investigating a number of motives, including a possible domestic incident.""",0.741,51.33,44.87,46.69,-4.640000000000001,0.8889,0.8749,0.8816,-0.007299999999999973
"Gerade die Gezeitenenergie ist es, welche Bundesstaaten wie New York, Maine und Alaska sowie weitere Küstenstaaten dazu brachten, bereits 7,5 Millionen Dollar im Jahr 2008 zu investieren – für 2009 sind bereits bis zu 35 Millionen geplant.","It's exactly on tidal energy that states such as New York, Maine, and Alaska, together with others that overlook the coast, have already invested 7.5 million dollars in 2008 and are foreseen investments of up to 35 million for 2009.","It is precisely the tidal energy that led states like New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008 – for 2009, up to 35 million dollars are planned.","It is precisely the tidal energy that has led states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008, and up to 35 million dollars in 2009.","It is precisely the tidal energy that has led states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008, and up to 35 million dollars in 2009. According to the target, the translation accurately captures the meaning",0.741,25.52,33.45,27.7,2.1799999999999997,0.8608,0.8596,0.7636,-0.09720000000000006
"Die Notwendigkeit, dass Lateinamerika auch weiterhin eine integrierte Region für Wohlstand und Frieden und mit guten nachbarschaftlichen Beziehungen bleibt, war ein weiterer Aspekt, der auf dem Gipfeltreffen betont wurde.","The need for Latin America to remain a prosperous, peaceful and integrated nation, with good neighbourly relations, was another issue highlighted by the summit.",The need for Latin America to continue to be an integrated region for prosperity and peace and with good neighborly relations was another aspect that was emphasized at the summit.,"The need for Latin America to remain an integrated region for prosperity and peace, and with good neighbourly relations, was another aspect stressed at the summit.",The need for Latin America to,0.741,23.13,45.6,2.56,-20.57,0.8967,0.9046,0.4254,-0.47130000000000005
"Herrera wollte die kommenden Neueröffnungen nicht verraten, schloss aber nicht aus, dass Madrid das nächste Ziel sein könnte.","Herrero did not want to reveal the following possible openings, although she recognized that Madrid could be the following destiny.","Herrera did not want to reveal the upcoming openings, but he did not rule out that Madrid could be the next destination.","Herrera did not want to reveal the next openings, but did not rule out Madrid as a possible destination.","Herrera would not reveal the future openings, but did not rule out Madrid as the next destination.Initial analysis: The translation accurately captures the meaning",0.741,37.23,25.98,5.12,-32.11,0.8269,0.8234,0.7145,-0.11239999999999994
"Dann gehören Sie wohl auch zu den Frauen, die regelrecht besessen davon sind, wie sie aussehen.","Then, you belong to the group of women obsessed by their appearance.",Then you probably also belong to the women who are completely obsessed with how they look.,Then you are probably one of those women who are obsessed with how they look.,Then you are probably completely obsessed with how you look.Initial analysis: Then you are probably one of those women who are completely obsessed with how they look.,0.741,10.88,3.83,1.88,-9.0,0.8825,0.8636,0.7095,-0.17299999999999993
"Generalstabschef Hulusi Akar bleibt zwar im Amt, aber die Kommandeure des Heeres, der Luftstreitkräfte und der Marine wurden abgesetzt.","Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the marines were removed.","Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the navy have been dismissed.","General Hulusi Akar remains in office, but the commanders of the army, the air force and the navy have all been sacked.",Chief of the General Staff Hulusi,0.741,80.47,71.09,1.13,-79.34,0.9161,0.9068,0.5202,-0.39590000000000003
"Die AKP jedoch, die für ihre islamistischen Wurzeln bekannt ist, repräsentiert einen Paradigmenwechsel in der türkischen Einigkeit",But the AKP with its well-known Islamist roots represents a paradigm shift in the Turkish consensus.,"However, the AKP, which is known for its Islamist roots, represents a paradigm shift in Turkish unity","However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity.","However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity. Response: the translation accurately captures the meaning",0.741,24.16,21.89,15.85,-8.31,0.8942,0.8822,0.7895,-0.10470000000000002
"Erste ökonomische Weltmacht, Sitz der FIFA-Hauptsponsoren, das Land scheint eine lange Liste von Vorteilen gegenüber Japan und Südkorea aufzuweisen, die separat ein sehr schönes Projekt aufgestellt haben.","The leading world ecomomic power, the seat of the principal sponsors of Fifa, the country appears to have a big lead over Japan and South Korea who have separately built a very fine project.","First economic world power, seat of the FIFA sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have separately proposed a very beautiful project.","First economic power, seat of the FIFA sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have put forward a very attractive project separately.","First world economic power, seat of the FIFA-Hauptsponsoren, the country seems to have a long list of advantages over Japan and South Korea, which have put forward a very attractive project separately.Initial analysis: The German ""Erste ökonomische Weltmacht"" should be ""First world economic power"" not ""First economic power"" - ""Weltmacht"" means ""world power"" not just ""power",0.741,22.71,21.63,10.83,-11.88,0.787,0.7828,0.5503,-0.23670000000000002
"Abraham Lincoln lehnte es ab, den Status von Rothschilds Bank of America als Zentralbank zu erneuern, begann während des Bürgerkrieges, eigene (sprich: staatliche) Banknoten herauszugeben und wurde 1865 in einem Theater ermordet.","Abraham Lincoln refused to renew the status of the central bank to the Rothschild Bank of America, and during the Civil War he began to issue his own (that is state-issued) money and was assassinated in 1865 at the theatre.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, began issuing his own (i.e. state) banknotes during the Civil War, and was assassinated in a theater in 1865.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as a central bank, started issuing his own (i.e. state) banknotes during the Civil War and was assassinated in a theatre in 1865.","Abraham Lincoln refused to renew the status of the central bank, started issuing his own (i.e. state) banknotes during the Civil War and was assassinated in a theatre in 1865. Response comparison: the translation accurately captures the meaning",0.741,34.99,34.55,37.46,2.469999999999999,0.8446,0.8468,0.768,-0.0766
Dies entspricht einem Äquivalent von 70% der Abgase des weltweiten Fuhrparks.,This is the equivalent of 70% of the emissions by the world's motor vehicles.,This corresponds to an equivalent of 70% of the world's vehicle emissions.,This is equivalent to 70% of the world's vehicle emissions.,This is equivalent to 70% of the world's truck emissions.,0.741,36.07,21.7,21.7,-14.370000000000001,0.9148,0.9254,0.9056,-0.009199999999999986
"Der Anwalt kehrte nach Hause zurück, holte sich die Drogen und dann wurden neun Mitteilungen zwischen den beiden ausgetauscht.",The lawyer returned home to discover the drugs and there were nine communications between them.,"The lawyer returned home, took the drugs and then nine messages were exchanged between the two.","The lawyer went home, picked up the drugs and then nine messages were exchanged between the two of them.","The lawyer went home, took the drugs and then nine messages were exchanged between the two of them.Initial analysis: The German ""holte sich die Drogen"" should be ""took the drugs"" not ""picked up the drugs"" - ""holte sich"" means ""took"" not ""picked up",0.741,21.77,11.12,3.83,-17.939999999999998,0.8476,0.8516,0.5356,-0.31200000000000006
Und die sogenannte Ingenieurlücke wird laut VDI-Prognosen noch größer werden.,"And the shortage of engineers is going to get worse, according to VDI.",And the so-called engineer shortage will become even bigger according to VDI prognoses.,"And the so-called engineering shortage is going to get worse, according to VDI projections.","And the shortage of engineers, according to VDI prognoses, is going to get even bigger.Initial analysis: The German ""sogenannte Ingenieurlücke"" should be ""shortage of engineers"" not ""so-called engineering shortage"" - this is a lexical error where ""Ingenieurlücke"" should be translated as ""shortage of engineers"" not ""engineering shortage",0.741,13.46,57.91,12.87,-0.5900000000000016,0.8685,0.8981,0.5323,-0.33620000000000005
Im Irak haben 4500 Soldaten ihr Leben verloren und die Amerikaner wurden nicht gezwungen zu packen.,In Iraq 4500 soldiers have lost their lives and the Americans have not been forced to pack up and leave.,"In Iraq, 4500 soldiers have lost their lives and the Americans were not forced to pack up.","In Iraq, 4,500 soldiers have lost their lives and the Americans have not been forced to pack up.","In Iraq, 4,500 soldiers have lost their lives and the Americans have not been forced to pack up.",0.741,54.88,73.8,73.8,18.919999999999995,0.911,0.8981,0.8981,-0.012900000000000023
Erwischt: Wegen eines positiven Dopingprobe darf Gewichtheber Adrian Zielinski aus Polen in Rio nicht starten.,"Busted: After a sample tested positive for doping, weightlifter Adrian Zielinksi from Poland is not allowed to compete in Rio.","Adrian Zielinski, a Polish weightlifter, will not be allowed to compete in Rio because of a positive doping test.","Adrian Zielinski, a weightlifter from Poland, has been disqualified from competing in Rio because of a positive doping test.",Weightlifter Adrian Zielinski from Poland has,0.741,19.62,6.01,1.06,-18.560000000000002,0.8431,0.8554,0.4396,-0.40349999999999997
Auf die Spezifik des tschechischen Marktes weisen auch weitere Anbieter hin.,Other operators also refer to the specific nature of the Czech market.,The specificity of the Czech market is also pointed out by other providers.,Other suppliers also point to the specificity of the Czech market.,Other suppliers also point to the specificity of the Czech market.,0.741,19.67,35.72,35.72,16.049999999999997,0.8747,0.9128,0.9128,0.03809999999999991
Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.,Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.,"For the five defeats in the last six test matches, Ancelotti has blamed the physical condition and the lack of balance in the game of his team.",Ancelotti has blamed the physical condition and the lack of balance in his team for the five defeats in the last six matches.,For the five defeats in the,0.741,34.07,35.81,1.92,-32.15,0.8658,0.8761,0.4421,-0.4237
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.,Germany is the first European country to recognize a third gender for children born with non-binary genitalia.,Germany is the first European country to recognise a third gender for children born with indeterminate genitalia.,Germany is the first European country to recognise a third gender for children born with indeterminate genitalia.,0.741,40.05,24.69,24.69,-15.359999999999996,0.9146,0.9225,0.9225,0.007900000000000018
"Annahmen zufolge gibt es im Land etwa 1.000 Tonnen an Chemikalien und Waffen, wozu auch Senfgas und das Nervengas Sarin zählen.","The country is believed to have around 1,000 metric tons of chemicals and weapons including mustard gas and the nerve agent sarin.","According to estimates, there are about 1,000 tons of chemicals and weapons in the country, including mustard gas and the nerve gas sarin.","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country, including mustard gas and sarin gas.","According to estimates, there are about 1,000 tonnes of chemicals and weapons in the country, including mustard gas and sarin gas.",0.741,35.35,22.66,22.66,-12.690000000000001,0.8875,0.8714,0.8714,-0.016100000000000003
"Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.","Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.","Hungry for growth, both the bank itself and a hedge fund it had founded invested in American subprime assets.","Hungry for growth, both the Bank and a hedge fund it had set up invested in American subprime assets.","Hungry for growth, both the bank itself and a",0.741,44.44,26.68,21.9,-22.54,0.9031,0.8804,0.5309,-0.3722
"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, virtual providers usually profile themselves as low-cost companies - they offer cheap telephone calls and SMS, which, however, is often accompanied by a less extensive range of services.","In the world, virtual providers usually profile themselves as low-cost companies - they offer cheap telephone calls and SMS, but this is often accompanied by a less comprehensive service offering.","As low-cost providers are positioning themselves as, they offer cheap phone calls and SMS, but this is often accompanied by a less comprehensive service offering.",0.741,19.01,17.48,4.3,-14.71,0.8697,0.8849,0.82,-0.04970000000000008
"""Wie es sich herausstellt, war es Harrison, der die Morde vorbereitet und angeordnet hat"", schließt hieraus ein FBI-Bericht.","""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""As it turns out, it was Harrison who prepared and ordered the murders"", concludes a FBI report.","According to an FBI report, it was Harrison who planned and ordered the murders.","As it turns out, Harrison was the one who prepared",0.741,42.73,24.21,10.85,-31.879999999999995,0.945,0.904,0.6558,-0.2891999999999999
"Liner, 31, und Ellis Tochter Maleah verstarben noch vor Ort.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis daughter Maleah died on the spot.","Liner, 31, and Ellis's daughter, Maleah, died on the spot.","Liner, 31, and Ellis's daughter, Maleah, died on the scene.Initial analysis: The translation accurately captures the meaning",0.741,40.9,29.26,21.33,-19.57,0.9155,0.9238,0.7747,-0.14079999999999993
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,"The announcement of the band came, after they had to postpone their performance in the LG Arena in Birmingham on Thursday.",The announcement of the band came after they had previously postponed a performance at the LG Arena in Birmingham on Thursday.,The announcement of the band came after they had to postpone an appearance at the LG Arena in Birmingham on Thursday.Initial analysis: the translation accurately captures the meaning,0.741,36.08,45.0,31.76,-4.319999999999997,0.823,0.8357,0.7399,-0.08309999999999995
"Mit dem Kopenhagener Vertrag haben sich die Entwicklungsländer dazu verpflichtet, 30 Milliarden Dollar zwischen 2010 und 2012 bereitzustellen.","According to the Copenhagen agreemsnt, developed countries underook to furnish 30 thousand million dollars between 2010 and 2012.","With the Copenhagen Agreement, the developing countries have committed themselves to providing 30 billion dollars between 2010 and 2012.","Under the Copenhagen Agreement, the developing countries have committed themselves to providing 30 billion dollars between 2010 and 2012.","Under the Copenhagen Agreement, the developing countries have committed themselves to providing 30 billion dollars between 2010 and 2012.",0.741,27.85,27.85,27.85,0.0,0.8481,0.8547,0.8547,0.00660000000000005
