source,reference,prediction
但旧体系已不再能够提供有用的答案，俄罗斯通过无视联合国安理会（基于国家的国际制度的最高形式）关于乌克兰问题的决议以及在安理会叙利亚决议上从中作梗证明了这一点。,"Yet the old systems no longer offer useful answers, as Russia has demonstrated by brushing aside the United Nations Security Council – the high altar of the state-based international system – over Ukraine and stalemating it over Syria.","But the old system can no longer provide useful answers, Russia has proved this by ignoring the UN Security Council (the highest form of the international system based on the state) resolution on the Ukrainian issue and making a knot on the Security Council resolution on Syria."
日本净债务相当于GDP的130%左右 — — 比任何其他发达经济体都要高得多 — — 目前被迫将很大一部分政府支出用于维持负债。,With net debt of around 130% of GDP – much higher than in other advanced economies – the country is currently forced to allocate a large share of government expenditure toward servicing its liabilities.,日本净债务相当于GDP的130%左右 — — 比任何其他发达经济体都要高得多 — — 目前被迫将很大一部分政府支出用于维持负债。
值得注意的是，一国债务管理实践的质量与其债务困境风险之间存在强烈的负相关关系，90%的低风险国家都表现出良好的实践水平。,"It is worth noting the strong negative correlation between the quality of a country’s debt-management practices and its risk of debt distress, with 90% of low-risk countries demonstrating good practices.","It is worth noting that there is a strong negative correlation between the quality of a country’s debt management practices and its debt crisis risk, and 90% of low-risk countries have good practice levels."
但最近，伦敦经济学院的约翰·范·里宁（John Van Reenen）指出，英国退出的经济理由在行动中难觅踪影。,"But lately, as John Van Reenen of the London School of Economics recently put it, the economic case for Brexit has been largely missing in action.","But recently, John Van Reenen of the London School of Economics pointed out that the reasons for Britain’s exit from the European Union could not be found in the action."
如果希腊政府当时没有进行这一调整，国内需求和就业率当然也会维持高位 — — 但进口和庞大的外部赤字也会不断上升。,"If the Greek government had not made such an adjustment, domestic demand and employment would certainly have remained higher – but so would imports and large external deficits.","If the Greek government had not made this adjustment at that time, the domestic demand and the unemployment rate would have been maintained at a high level — but the imports and the huge external deficit would have continued to rise."
部分归因于政府的刺激政策，自2008年以来中国增长更多地是由投资而不是消费推动的，这阻碍了世界急需的需求再平衡的进展。,"Partly owing to government stimulus measures, China’s growth since 2008 has been driven more by investment than by consumption, which has impeded the economy’s much-needed demand rebalancing.",Task: Translate the Chinese sentence into English.
比如，欧元区需要真正的银行联盟（不仅要有共同监督，也要有共同存款保险和共同清算机制）和欧元债券（或类似的债务共同化机制 ） 。,"For example, the monetary union needs a real banking union – including not just common supervision, but also common deposit insurance and a common resolution mechanism – and Eurobonds, or some similar vehicle for mutualizing debt.",Task: Translate the Chinese sentence into English.
更重要的是，美国公司并非如同特朗普和国会共和党所声称的那样，是因为税率太高而囤积了数万亿美元现金而拒绝进行资本投资。,"More to the point, US corporations aren’t hoarding trillions of dollars in cash and refusing to make capital investments because the tax rate is too high, as Trump and congressional Republicans claim.",Task: Translate the Chinese sentence into English.
如果任由目前的趋势继续下去，世界多数现存的生物物种将在本世纪末灭绝，而造成这种局面的虽然也有其他因素，但最主要的还是粮食产量。,"If current trends continue, the majority of the world’s remaining species will be extinct by the end of the century, and it is food production, above all other factors, that has driven the decline.","If the current trend continues, most of the existing species of living things will be extinct at the end of this century, and the main reason for this situation is food production."
自从 2008 年 9 月雷曼兄弟倒闭以来，欧盟和欧元势必受冲击的事实已经变得很清楚，因为欧洲缺乏统一的政府和财政政策。,"Ever since the collapse of Lehman Brothers in September 2008, it has been clear that the global crisis would challenge the EU and the euro, because Europe lacks a common government and fiscal policy.","Since the collapse of Lehman Brothers in September 2008, it has become clear that the European Union and the euro will be affected by the fact that Europe lacks a unified government and fiscal policy."
马歇尔计划是一套宏观经济战略，包括大规模资本转移以帮助制度发展良好的国家重建被战争摧毁的工业产能和基础设施。,The Marshall Plan was a macroeconomic strategy involving massive capital transfers to help reconstruct the war-ravaged industrial capacity and infrastructure of economies with well-developed institutions.,Task: Translate the Chinese sentence into English.
这是个危险而动荡的组合，其理论和方法基础曾经导致俄罗斯帝国 — — 不管是沙皇帝国还是苏联帝国 — — 失败和毁灭。,"It is a dangerous and volatile mix, relying on principles and methods that led Russia’s empires – Czarist and Soviet – to failure and ruin.","This is a dangerous and turbulent combination, whose theoretical and methodological basis once led to the failure and destruction of the Russian Empire — whether it was the Tsarist Empire or the Soviet Empire."
更令人意想不到的是导弹发射成功，朝鲜第十个加盟全球“太空俱乐部 ” （ 2008年伊朗成功发射萨菲尔火箭后第九个加盟 ） 。,"More surprising was the success of the launch, which makes North Korea the tenth member of the world’s “Space Club” (the ninth member was Iran, which successfully launched its Safir rocket in 2008).",更令人意想不到的是导弹发射成功，朝鲜第十个加盟全球“太空俱乐部 ” （ 2008年伊朗成功发射萨菲尔火箭后第九个加盟 ） 。
在此期间的大多数时候，凭借着货币政策委员会过往在稳定物价方面的杰出表现，英国公众都预期来年的通胀将比当年要低。,"For most of this period, the British public expected inflation in the coming year to be lower than in the previous year, thanks to the MPC’s strong track record on price stability.","During this period, most of the time, thanks to the outstanding performance of the Monetary Policy Committee in maintaining price stability in the past, the British public expects inflation next year to be lower than this year."
伊斯兰堡—上个月，牛津大学格林坦普顿学院（GTC）在艾格洛夫公园（Egrove Park）召开了一年一度的新兴市场研讨会。,"ISLAMABAD – Last month, Oxford University’s Green Templeton College held its annual Emerging Markets Symposium at Egrove Park.",Task: Translate the Chinese sentence into English.
拉加德告诉欧洲人，他们的银行需要重组，否则就必须建立防火墙防止金融传染。 忠言逆耳，但欧洲人还是照办了。,The Europeans did not like it much when Lagarde told them their banks needed to be restructured or that they needed to build a firewall to protect against financial contagion – but they did it.,Task: Translate the Chinese sentence into English.
据詹姆斯·麦迪逊大学宗教研究教授艾伦·莱文诺维茨（Alan Levinovitz）看来，特朗普在推特中使用大写的次数堪与过去几百年中坑蒙拐骗普罗大众的“老军医”和神棍相比。,"According to Alan Levinovitz, a professor of religious studies at James Madison University, Trump uses capitalization in his tweets much as medical quacks and religious charlatans did in their efforts to bamboozle the public in centuries past.","According to James Madison University religious studies professor Alan Levinovitz, Donald Trump’s use of capital letters in his tweets is comparable to that of the “quack doctors” and “snake oil salesmen” of the past few hundred years."
他长期构思的欧洲演讲虽然不乏大家一致认可的观点，但也为长期激烈的争论埋下了伏笔 — — 而且此次争论的范围并不仅限于英国。,"His long-gestating speech on Europe, although containing elements that many might share, also sows the seeds for a prolonged and acrimonious debate – and not just in Britain.",Task: Translate the Chinese sentence into English.
埃及并没有煽动以色列和哈马斯在加沙地带的交火升级，相反却与美国和其他区域盟国合作敦促双方签订停火协议。,"Rather than inciting an escalation in fighting between Israel and Hamas in Gaza, Egypt worked with the US and other regional allies to broker a cease-fire.",Task: Translate the Chinese sentence into English.
在当时的前现代世界，私人生活令人难以置信地公开化，而十九二十世纪的社会运动极大地拓展了个人隐私和自我定义的领域。,"In that pre-modern world, private life was extraordinarily public, whereas the social movements of the nineteenth and twentieth centuries dramatically expanded the realm of individual privacy and self-definition.","In the early modern world, private life became unbelievably public, and the social movements of the 19th and 20th centuries greatly expanded the domain of personal privacy and self-definition."
而这个引发众多争议的提议 — — 其中最著名的倡议者是约翰•凯恩斯（John Maynard Keynes ） — —要求为初级商品建立一个“缓冲库存 ” ， 当价格下跌时吸纳产品，反之则增加供应量。,"This argument inspired proposals – most famously by John Maynard Keynes in 1942 – to create “buffer stocks” for the main commodities, which would take supply off the market when prices fell, and add to supply when prices rose.","While this proposal — — the most famous proponent of which is John Maynard Keynes — — calls for the establishment of a “buffer stock” for basic commodities, to absorb products when prices fall, and to increase supply when prices rise."
随着共产主义的垮台，雅尔塔会议所创造的分裂的欧洲已经不见踪影，而欧盟的扩张也不再局限于属于西方阵营的国家。,"With communism’s collapse, the divided Europe created at Yalta disappeared, and EU expansion was no longer confined to states belonging to the Western orbit.",Task: Translate the Chinese sentence into English.
俄国首位民主总理盖达尔领导的自由俄罗斯选择党在1993年大选中赢得了15.5%的选票，并和盟友一道成为杜马的主要力量。,"The liberal Russia’s Choice party, led by the country’s first democratic prime minister, Yegor Gaidar, received 15.5% of the vote in the 1993 general election, and with its allies formed the largest bloc in the Duma.",Task: Translate the Chinese sentence into English.
该国还在全球能源需求中所占的比例不断扩大，这意味着中国经济向服务和消费主导型增长的持续转型将重塑全球能源行业。,"It also accounts for a growing share of global energy demand, meaning that its economy’s continuing shift toward service- and consumption-led growth will reshape the resource sector worldwide.",Task: Translate the Chinese sentence into English.
第二，欧洲和美国看待彼此的方式之间存在一种持续的结构失衡：欧洲带着热情关注美国，而美国对欧洲兴趣一般，而且越来越不关心。,"Second, there is a continuing structural imbalance between the way Europe looks at America, i.e., with passion and concern, and the way America looks at Europe, i.e., with mild interest giving way to growing indifference.","2. There is a persistent structural imbalance in the way Europe and the United States view each other: Europe is enthusiastic about the United States, while the United States is generally uninterested in Europe, and is becoming less and less interested."
因为其中许多激进在成为财务投资者之前就持有国有企业股份，它们的持仓往往十分多样化，通常包括同样的国有企业以及房地产和上市和非上市公司股份。,"Because many of them held stakes in state-owned enterprises before becoming financial investors, their holdings tend to be diverse, and often include those same SOEs, as well as real estate and equity stakes in listed and unlisted companies.",Task: Translate the Chinese sentence into English.
奥巴马应该采取主动，使明年哥本哈根会议不再是讨论为低效的技术提供越来越高的补贴，而是把投资向未来的技术突破倾斜。,"Obama should seize the initiative and make the meeting in Copenhagen next year not about bloated subsidies for inefficient technologies, but about lean investments in future breakthroughs.",Task: Translate the Chinese sentence into English.
这些结果的任何一个都有悖于中国的战略利益；但和许多政府一样，中国领导人将避免短期的艰难决定，即使这会导致长期的不利结果。,"Any of these outcomes would be inconsistent with Chinese strategic interests; but, like many governments, China’s leaders will seek to avoid difficult decisions in the short run, even if this results in damaging outcomes over time.",Task: Translate the Chinese sentence into English.
近几周来，艾哈迈迪内贾德的助手否定了另一个传闻，即他命令其全体阁员写一份效忠十二世伊玛姆的契约，将其投入圣城库姆附近的一口井中，据称该井为伊玛姆的藏身之所。,"In recent weeks, Ahmadinejad’s aides have denied another rumor that he ordered his cabinet to write a pact of loyalty with the 12th Imam and throw it down a well near the holy city of Qom, where some believe the Imam is hiding.","In the past few weeks, aides to the Archbishop of Canterbury have denied another rumor, namely that he has ordered all his bishops to write a pledge of allegiance to the 12th Imam and to throw it into a well in the town of Canterbury, which is said to be the hiding place of the 12th Imam."
以作为各央行储备货币的国际使用以及作为外汇市场载体的标准看，美元坠落速度最快的阶段是1978—1991年和2001—2010年。,"By the criteria of international use as a reserve currency among central banks and as a vehicle in foreign-exchange markets, the most rapid declines took place from 1978 to 1991 and from 2001 to 2010.",Task: Translate the Chinese sentence into English.
同样地，英国保守党领袖卡梅隆所谓从监狱里释放出来的人“最需要的是爱”的说法震动了他的党内更为古派的支持者。,"Likewise, the leader of Britain’s Conservatives, David Cameron, startled more old-fashioned supporters of his party by saying that people released from prison “need, above all, love.”",Task: Translate the Chinese sentence into English.
“重夺控制权”的矛头同时也直指位于卢森堡的欧洲法院，按照欧盟公约规定，其判决的效力超过各国本国法院。,"“Getting back control” was also directed against the EU Court of Justice in Luxembourg, whose judgments, by convention, have precedence over judgments by national courts.",Task: Translate the Chinese sentence into English.
事实上，尽管就各国究竟在多大程度上吸取了过往教训方面还一直存在着不确定性，更别提各国之间的不一致性，但许多新兴经济体已经在较长时期内构筑了更加健全的基本面。,"Indeed, despite enduring uncertainties over the degree to which they have absorbed the lessons of the past, not to mention inconsistencies across countries, many emerging economies have developed much sounder fundamentals over an extended period.",Task: Translate the Chinese sentence into English.
而信贷渠道同样不甚通畅，因为银行已经囤积了来自量化宽松的大部分额外流动性，不但没有增加贷款，反而还产生了多余的储备。,"The credit channel also is not working properly, as banks have hoarded most of the extra liquidity from QE, creating excess reserves rather than increasing lending.","While the credit channel is also not very smooth, because banks have already accumulated most of the additional liquidity from quantitative easing, they have not increased lending, but have instead produced excess reserves."
他们发现在这一时期，当国内企业所得税率高于其他经合组织国家时，企业利润增长的平均值就会超过了 GDP 增长。,"They find that, during that period, average corporate-profit growth outpaced GDP growth whenever the domestic corporate-income-tax rate exceeded that of other OECD countries.",Task: Translate the Chinese sentence into English.
尽管传统上贸易被认为是决定汇率的主要因素，汇率涨跌通常被认为可以纠正一国的对外贸易失衡，但当今资本跨境流动规模已经非常庞大，它们对汇率的冲击比以前大很多 。,"While trade is supposed to be the primary driver of exchange rates, which should rise or fall to correct countries’ external imbalances, capital flows have grown to the point that their role in guiding exchange rates is now much larger.",Task: Translate the Chinese sentence into English.
不，无论我们是否愿意承认，真正的区别是中共政府成功地将其人口中的很大一部分全球化了，远远超过印度民主政府所达到的水平。,"No, the real difference – whether we like to admit it or not – is that China’s communist government has succeeded in globalizing a much larger share of its population than India’s democratic government has managed to do.",Task: Translate the Chinese sentence into English.
澳大利亚连续数周的降雨更让人们怀疑，所谓的全球变暖，只不过是联合国或那些心怀不轨的科学家，甚至是火星人杜撰出来的大骗局罢了。,A few weeks of rain in Australia has emboldened those who think that global warming is a gigantic hoax perpetrated by the United Nations or conspiring scientists or maybe men from Mars.,Task: Translate the Chinese sentence into English.
日本政府债（JGBs）总欠债额近乎达到不可思议的9万亿美元，仅略低于欧元区17国欠债总额的10.5万亿美元，而后者的人口数量达到前者的三倍。,"The total outstanding volume of Japanese Government Bonds (JGBs) is an almost unfathomable $9 trillion, only just below the $10.5 trillion in outstanding debt for the full 17-country eurozone, which has more than triple the population.","The total debt of Japanese government bonds (JGBs) is close to an unbelievable 9 trillion US dollars, only slightly lower than the total debt of 17 countries in the eurozone of 10.5 trillion US dollars, and the population of the latter is three times that of the former."
在欧洲，危机的根源来自于一个单一政治联盟的缺位，因为这是分担债务并以此将欧元构筑在一个合理基础之上的必要前提。,"In Europe, the absence of a political union – considered a necessary precondition for sharing debt obligations and, thus, putting the euro on a sound footing – is widely held to lie at the root of the continent’s crisis.","In Europe, the root of the crisis lies in the absence of a single political union, because this is a necessary prerequisite for sharing debt and building the euro on a reasonable basis."
但作为减小核武器威胁的全球性措施的基础 — — 1968年核不扩散条约（NPT）的签署国，它们也有义务这样做。,"But, as signatories to the 1968 Nuclear Non-Proliferation Treaty (NPT) – the foundation of global efforts to reduce the threat posed by nuclear weapons – they also had an obligation to do so.",Task: Translate the Chinese sentence into English.
但面对俄国坚定不移的帝国重振政策 ， （ 现在在高加索也已清晰可见）美国似乎未能察觉全球事态发展的联系因素。,"But, confronted with a resolute Russian policy of imperial re-assertion, now also visible in the Caucasus, the US seems unable to see how global developments are linked.","But in the face of Russia’s unwavering policy of imperial revival, the United States seems to have failed to perceive the linkage factors in the development of global events."
