source,reference,prediction,bleu,comet
"Es ist fast genau ein Jahr her, dass Schottland die historische Entscheidung getroffen hat, Teil des Vereinigten Königreichs zu bleiben.",It is almost exactly a year since Scotland made the historic decision to remain part of the UK.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,84.92,0.9671
"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.","In an interview with The Washington Post, Hogan's spokeswoman Amelia Chasse defended the governor's actions, arguing that the blocking of comments was nothing more than moderation.",68.26,0.9159
Ein Zug mit Hunderten Flüchtlingen ist auf dem Weg nach Hessen.,A train carrying hundreds of refugees is on the way to Hesse.,A train with hundreds of refugees is on its way to Hessen.,38.06,0.929
"Unternehmen im Raum District, Maryland und Virginia zahlten gemeinsam 27,6 Milliarden $ an staatliche und örtliche Stellen im Finanzjahr 2013, ein Anstieg um 3,8 Prozent gegenüber den Einnahmen von 2012 in Höhe von 26,6 Milliarden $.","District, Maryland and Virginia businesses collectively paid $27.6 billion to state and local coffers in fiscal 2013, an increase of 3.8 percent over the $26.6 billion collected in 2012.","Companies in the District, Maryland and Virginia paid $27.6 billion in state and local taxes in fiscal 2013, up 3.8 percent from $26.6 billion in 2012.",35.16,0.8787
Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht.,"The research, funded by the Rio Tinto Ride to Conquer cancer, will be published today in the Medical Journal of Australia.","The study, funded by Rio Tinto's Ride to Conquer Cancer, is published today in the Medical Journal of Australia.",46.36,0.9196
"Das Management-Team von Grand Plaza veröffentlichte eine Erklärung an die Bewohner: ""Die Polizei arbeitet derzeit an der Zeitachse und dem Hintergrund des Opfers und erforscht eine Vielzahl von Motiven, einschließlich eines möglichen häuslichen Vorfalls.""","The management team at Grand Plaza released a statement to residents saying, ""Police are currently working on the timeline and background of the victim and are exploring a variety of motives, including a possible domestic incident.""","The Grand Plaza management team released a statement to residents: ""Police are currently working to establish the timeframe and background of the victim and are investigating a number of motives, including a possible domestic incident.""",56.23,0.9134
"Gerade die Gezeitenenergie ist es, welche Bundesstaaten wie New York, Maine und Alaska sowie weitere Küstenstaaten dazu brachten, bereits 7,5 Millionen Dollar im Jahr 2008 zu investieren – für 2009 sind bereits bis zu 35 Millionen geplant.","It's exactly on tidal energy that states such as New York, Maine, and Alaska, together with others that overlook the coast, have already invested 7.5 million dollars in 2008 and are foreseen investments of up to 35 million for 2009.","It is precisely the tidal energy that has led states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008, and up to 35 million for 2009.",39.98,0.8631
"Die Notwendigkeit, dass Lateinamerika auch weiterhin eine integrierte Region für Wohlstand und Frieden und mit guten nachbarschaftlichen Beziehungen bleibt, war ein weiterer Aspekt, der auf dem Gipfeltreffen betont wurde.","The need for Latin America to remain a prosperous, peaceful and integrated nation, with good neighbourly relations, was another issue highlighted by the summit.","The need for Latin America to remain an integrated region of prosperity and peace, with good neighbourly relations, was another aspect stressed at the summit.",50.67,0.9243
"Herrera wollte die kommenden Neueröffnungen nicht verraten, schloss aber nicht aus, dass Madrid das nächste Ziel sein könnte.","Herrero did not want to reveal the following possible openings, although she recognized that Madrid could be the following destiny.","Herrera did not want to reveal the next openings, but did not rule out that Madrid could be the next destination.",38.97,0.8396
"Dann gehören Sie wohl auch zu den Frauen, die regelrecht besessen davon sind, wie sie aussehen.","Then, you belong to the group of women obsessed by their appearance.",Then you must be one of those women who are obsessed with how they look.,3.83,0.8704
"Generalstabschef Hulusi Akar bleibt zwar im Amt, aber die Kommandeure des Heeres, der Luftstreitkräfte und der Marine wurden abgesetzt.","Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the marines were removed.","Chief of Staff Hulusi Akar remains in office, but the army, air force and navy commanders have been dismissed.",52.02,0.9083
"Die AKP jedoch, die für ihre islamistischen Wurzeln bekannt ist, repräsentiert einen Paradigmenwechsel in der türkischen Einigkeit",But the AKP with its well-known Islamist roots represents a paradigm shift in the Turkish consensus.,"However, the AKP, which is known for its Islamist roots, represents a paradigm shift in Turkish unity",24.16,0.8942
"Erste ökonomische Weltmacht, Sitz der FIFA-Hauptsponsoren, das Land scheint eine lange Liste von Vorteilen gegenüber Japan und Südkorea aufzuweisen, die separat ein sehr schönes Projekt aufgestellt haben.","The leading world ecomomic power, the seat of the principal sponsors of Fifa, the country appears to have a big lead over Japan and South Korea who have separately built a very fine project.","First economic superpower, home to FIFA's main sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have separately put forward a very nice project.",19.32,0.7873
"Abraham Lincoln lehnte es ab, den Status von Rothschilds Bank of America als Zentralbank zu erneuern, begann während des Bürgerkrieges, eigene (sprich: staatliche) Banknoten herauszugeben und wurde 1865 in einem Theater ermordet.","Abraham Lincoln refused to renew the status of the central bank to the Rothschild Bank of America, and during the Civil War he began to issue his own (that is state-issued) money and was assassinated in 1865 at the theatre.","Abraham Lincoln refused to renew Rothschild's Bank of America's central bank status, began issuing his own (i.e. state) currency during the Civil War and was assassinated in a theatre in 1865.",24.97,0.8383
Dies entspricht einem Äquivalent von 70% der Abgase des weltweiten Fuhrparks.,This is the equivalent of 70% of the emissions by the world's motor vehicles.,This is equivalent to 70% of the emissions from the global fleet.,28.98,0.8846
"Der Anwalt kehrte nach Hause zurück, holte sich die Drogen und dann wurden neun Mitteilungen zwischen den beiden ausgetauscht.",The lawyer returned home to discover the drugs and there were nine communications between them.,"The lawyer went home, got the drugs and then nine messages were exchanged between them.",17.62,0.8391
Und die sogenannte Ingenieurlücke wird laut VDI-Prognosen noch größer werden.,"And the shortage of engineers is going to get worse, according to VDI.","And the so-called shortage of engineers is set to get even worse, according to VDI projections.",40.05,0.901
Im Irak haben 4500 Soldaten ihr Leben verloren und die Amerikaner wurden nicht gezwungen zu packen.,In Iraq 4500 soldiers have lost their lives and the Americans have not been forced to pack up and leave.,"In Iraq, 4,500 soldiers lost their lives and the Americans were not forced to pack.",32.73,0.7687
Erwischt: Wegen eines positiven Dopingprobe darf Gewichtheber Adrian Zielinski aus Polen in Rio nicht starten.,"Busted: After a sample tested positive for doping, weightlifter Adrian Zielinksi from Poland is not allowed to compete in Rio.","Caught: Due to a positive doping test, weightlifter Adrian Zielinski from Poland will not be able to compete in Rio.",25.07,0.8502
Auf die Spezifik des tschechischen Marktes weisen auch weitere Anbieter hin.,Other operators also refer to the specific nature of the Czech market.,Other providers also point to the specifics of the Czech market.,35.72,0.9043
Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.,Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.,"For the five defeats in the last six test matches, Ancelotti blamed the physical condition and the lack of balance in the game of his team.",39.28,0.8706
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.,Germany is the first European nation to recognise a third gender for children born with ambiguous genitalia.,54.75,0.9362
"Annahmen zufolge gibt es im Land etwa 1.000 Tonnen an Chemikalien und Waffen, wozu auch Senfgas und das Nervengas Sarin zählen.","The country is believed to have around 1,000 metric tons of chemicals and weapons including mustard gas and the nerve agent sarin.","According to estimates, the country has about 1,000 tonnes of chemicals and weapons, including mustard gas and the nerve gas sarin.",33.57,0.8987
"Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.","Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.","Hungry for growth, both the bank and a hedge fund set up before it invested in American subprime assets.",28.1,0.8112
"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, virtual operators usually stand out as low-cost companies - they offer cheap telephone calls and SMS, but often with a less comprehensive range of services.",9.31,0.8662
"""Wie es sich herausstellt, war es Harrison, der die Morde vorbereitet und angeordnet hat"", schließt hieraus ein FBI-Bericht.","""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""As it turns out, it was Harrison who planned and ordered the murders,"" concludes an FBI report.",52.5,0.9469
"Liner, 31, und Ellis Tochter Maleah verstarben noch vor Ort.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis' daughter Maleah died at the scene.",100.0,0.9655
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,The band's announcement comes after they were forced to postpone a show at the LG Arena in Birmingham on Thursday.,61.64,0.9102
"Mit dem Kopenhagener Vertrag haben sich die Entwicklungsländer dazu verpflichtet, 30 Milliarden Dollar zwischen 2010 und 2012 bereitzustellen.","According to the Copenhagen agreemsnt, developed countries underook to furnish 30 thousand million dollars between 2010 and 2012.","Under the Copenhagen Agreement, developing countries have committed to providing USD 30 billion between 2010 and 2012.",23.15,0.8393
"Angel Di Maria und Edinson Cavani hielten Kurs, als Paris Saint-Germain seine Champions League Saison mit einem äußerst komfortablen 2-0 Sieg gegen Malmö im Prinzenparkstadion am Dienstag startete.",Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain began their Champions League campaign with an ultimately comfortable 2-0 win against Malmo at the Parc des Princes on Tuesday.,Angel Di Maria and Edinson Cavani kept their course as Paris Saint-Germain kicked off its Champions League season with an extremely comfortable 2-0 win over Malmo at the Prince Park Stadium on Tuesday.,35.01,0.8719
In der vergangenen Saison bezogen die Badener beim BHC eine schmerzliche Niederlage und haben dort etwas gutzumachen.,In the past season the Baden team suffered a painful defeat at BHC and they have some ground to make up there.,"In the last season, the BHC beat the Badener and have something to make up for.",9.27,0.6725
"Er sollte in Kiel aber ebenso dabei sein wie Botic Van de Zandschulp, Niels Lootsma (beide Niederlande) und der Belgier Julien Cagnina.","He should also be there in Kiel though, just like Botic Van de Zandschulp, Niels Lootsma (both Netherlands) and the Belgian Julien Cagnina.","He should be there in Kiel as well as Botic Van de Zandschulp, Niels Lootsma (both Netherlands) and the Belgian Julien Cagnina.",70.02,0.8681
Torjäger Rubin Okotie kann nach seiner Gehirnerschütterung kommende Woche wieder ins Mannschaftstraining zurückkehren.,"Following his concussion, goal scorer Rubin Okotie is returning to training with the team in the coming week.",Striker Rubin Okotie can return to team training next week following his concussion.,6.41,0.844
"Die Fluggesellschaften müssen der FAA nachweisen, dass Flugzeuge den neuen Richtlinien entsprechen und dass sie die Schulungshandbücher des Flugpersonals sowie die Regelungen für das Verstauen der Geräte entsprechend der neuen Vorschriften aktualisiert haben.",Airlines will have to show the FAA how their airplanes meet the new guidelines and that they've updating their flight crew training manuals and rules for stowing devices to reflect the new guidelines.,Airlines must prove to the FAA that planes comply with the new guidelines and that they have updated training manuals for flight crews and procedures for stowing equipment in line with the new rules.,16.63,0.8863
"Einer aus der Gruppe, ein 17 Jahre alter Afghane, folgte nach Angaben der Polizei seinen beiden Freunden in einem Abstand von etwa fünf Metern und rief ihnen zu, dass man doch auf ihn warten möge.","According to police one of the group, a 17-year-old Afghan, was walking about five metres behind his friends and called out to them for them to wait for him.","One of the group, a 17-year-old Afghan, followed his two friends at a distance of about five metres and called out to them to wait for him, according to police.",50.1,0.8788
"Beispielsweise sind die Xbox-Konsole und die Kinect-Sensoren ein Fortschritt, und heutzutage wird keine Xbox mehr ohne Kinect verkauft, da sich alle für Bewegungssteuerung interessieren.","For example, Xbox and Kinect sensors are a step forward. Almost no Xbox is sold without Kinect today, because everyone likes control by gestures.","For example, the Xbox console and the Kinect sensors are a step forward, and nowadays no Xbox is sold without Kinect, because everyone is interested in motion control.",38.25,0.8933
"Das Fitnessstudio hat ebenfalls diese Art von Geräten, auβerdem gibt es auch virtuelle Trainer, die sich um die Trainingseinheiten der Kunden kümmern und ihnen dadurch ein vollkommen persönliches Training bieten.","The gym has these machines, in addition to virtual trainers which guide the steps of the clients, offering them a totally personalized treatment.","The gym also has this type of equipment, and there are also virtual trainers who take care of the training sessions of their customers, offering them a completely personalized training.",11.44,0.8581
Die Avalanches verzeichneten in der Saison 2015-16 eine 39-39-4 Marke und fielen hinter den Wild für eine zweite Wildcard Spot in der Western Conference um fünf Punkte zurück.,The Avalanche posted a 39-39-4 mark in 2015-16 and fell five points shy of the Wild for the second wild-card spot in the Western Conference.,The Avalanche recorded a 39-39-4 mark in 2015-16 and fell five points behind the Wild for the second wild card spot in the Western Conference.,71.73,0.9126
"Am Donnerstag erklärte die OPWC, die beiden Standorte seien laut syrischer Aussage „aufgegeben worden ... und die dort vorhandenen Objekte des Chemiewaffenprogramms seien an andere genannte Einrichtungen verlagert worden, die inspiziert wurden.“","On Thursday, OPCW said the two locations were, according to Syria, ""abandoned and ... the chemical weapons program items they contained were moved to other declared sites, which were inspected.""","On Thursday, the OPCW said the two sites had been ""abandoned ... and the chemical weapons-related objects have been relocated to other named facilities that have been inspected.""",15.83,0.8757
"Correa nahm auch auf die Behandlung der gesundheitlichen Probleme des Präsidenten von Venezuela, Hugo Chávez, in Kuba Bezug.",Correa also referred to Venezuelan President Hugo Chavez's new health treatment in Cuba.,"Correa also referred to the treatment of the health problems of the President of Venezuela, Hugo Chávez, in Cuba.",17.51,0.8301
"Etwa drei von zehn sagen, dass sie eine negative Meinung haben.",Roughly three in 10 say they have a negative view.,About three in 10 say they have a negative opinion.,69.89,0.9422
Mit ihrer Reality-TV-Geschichte war Jenners Stellung in der Modewelt immer etwas angespannt.,"With her reality television history, Jenner's position within the fashion world was always going to be fraught.","With her reality TV history, Jenners' position in the fashion world has always been a little tenuous.",15.59,0.8522
"Schließlich sind die bisher zwölf Rollstuhlfahrer, die im Wohnheim der Lebenshilfe Donau-Iller bereits schon seit einiger Zeit leben, auf die besondere Architektur des Neubaus angewiesen.","After all, the twelve wheelchair users who have been living in the residential home provided by Lebenshilfe Donau-Iller for some time, depend on its unique architecture.","In the end, the twelve wheelchair users who have already been living in the Lebenshilfe Donau-Iller residential home for some time will rely on the special architecture of the new building.",32.47,0.804
"Die Drei zeigten sich sichtlich erfreut über den ""vielen Betrieb in Schotten"".","The three were visibly delighted by the ""roaring trade in Schotten.""","The three were visibly pleased with the ""lots of business in Schotten"".",23.51,0.8451
"Der Stundensatz für Arbeitnehmer mit den niedrigsten Löhnen steigt also von 8,72 Euro auf 9,06 Euro.","Hourly rates, for those on lower pay, ""go from 8.72 euros to 9.06.",The hourly rate for employees with the lowest salaries will therefore increase from 8.72 euros to 9.06 euros.,20.61,0.8883
Zwischen dem Weißen Haus und Assange entbrannte derweil ein Schlagabtausch.,"In the meantime, exchanges have been made between the White House and Assange.","In the meantime, a war of words broke out between the White House and Assange.",49.63,0.8549
"Doch die von ihr getesteten Geräte sind auch für die Straßenplaner interessant, denn sie arbeiten nicht mit GPS und liefern nur begrenzte Informationen, die regelmäßig per Modem hochgeladen werden.","But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","But the devices tested by her are also of interest to town planners, as they do not use GPS and only provide limited information, which is regularly uploaded via a modem.",10.06,0.8702
"""Ich dachte immer, Wuffli und Ospel seien ein Traumteam"", sagt Bankenforscher Hans Geiger.","""I always thought that Wuffli and Ospel were a dream team,"" says the banking research, Hans Geiger.","""I always thought Wuffli and Ospel were a dream team,"" says banking researcher Hans Geiger.",59.67,0.9355
Der zehnseitige Bericht zeigt detailliert beständige Probleme in den Jahren 2014 und 2015 in den Beschreibungen und Analysen der amerikanischen Anstrengungen in der Ausbildung der irakischen Streitkräfte.,The 10-page report detailed persistent problems in 2014 and 2015 in Central Command's description and analysis of American efforts to train Iraqi forces.,The 10-page report details persistent problems in 2014 and 2015 in the descriptions and analyses of U.S. efforts to train Iraqi forces.,50.67,0.9011
"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","""Human Rights First has long stressed that anti-Muslim violence, as well as all forms of hate crimes, should be treated as serious violations of human rights,"" added Paul Legendre, a spokesman for the organization.",46.81,0.8928
"Hayne verglich den Schnitzer mit seinem Origin Debüt damals im Jahr 2007, als ein Pass bei in seinem eigenen in-Goal Bereich zu einem Try für Queensland führte.",Hayne likened the blunder to his Origin debut back in 2007 when a pass in his own in-goal led to a Queensland try.,"Hayne compared the snip to his Origin debut in 2007, when a pass in his own in-goal area led to a try for Queensland.",40.94,0.8071
"Ein Mann erklärte, dass die kostenlose Operation eines Leistenbruchs, die er erhalten habe, ihm nun ermögliche, wieder zu arbeiten.",One man explained that the free hernia surgery he'd received will allow him to work again.,One man said he was able to return to work after receiving a free hip replacement operation.,6.72,0.8467
"Die Täter sollen zwischen 1,60 und 1,70 Meter groß gewesen sein, also relativ klein.","Between 1.6 and 1.7 m tall, the perpetrators were relatively short.","The perpetrators were between 1.60 and 1.70 metres tall, so relatively small.",9.24,0.8136
"Die Tipps stammen nicht nur von Unternehmern, sondern auch von Berufsverbänden und Journalisten.","Tips were received from entrepreneurs, but also professional associations and journalists.","The tips come not only from entrepreneurs, but also from professional associations and journalists.",45.79,0.9215
Am Münchner Hauptbahnhof trafen nach Bundespolizei-Angaben im Vergleich zum Wochenbeginn am Mittwoch wieder deutlich mehr Flüchtlinge ein.,"According to reports from the Federal police, significantly more refugees arrived at the main railway station in Munich on Wednesday compared to the beginning of the week.","According to information from the Federal Police, significantly more refugees arrived at the main station in Munich on Wednesday, compared to the start of the week.",54.26,0.8959
Die CDU-Fraktion wird voraussichtlich am Dienstag über ihr weiteres Vorgehen entscheiden.,The CDU parliamentary group is expected to decide on Tuesday about how they will proceed.,The CDU group is expected to decide on its further course of action on Tuesday.,37.24,0.885
Im Gegensatz zu Deutschlands Top-Wohnorten kommt einem der Preis aber wie Peanuts vor.,"Compared with Germany's top areas, however, this price seems likes peanuts.","In contrast to Germany's top locations, the price seems like peanuts.",10.3,0.8903
"Am Samstag, 7. September, starten um 13.30 Uhr die Highlander-Games.","On Saturday 7 September, the Highland Games will start at 1:30 p.m.","On Saturday 7 September, the Highland Games will start at 1.30 p.m.",71.95,0.9548
"Die Richterin hatte geurteilt, Polizeibeamte verletzten die Bürgerrechte von Zehntausenden von Menschen, weil sie in unangemessener Weise gezielt schwarze und lateinamerikanische Männer mit dem Stop-and-Frisk-Programm ins Visier nähmen.",The judge had ruled that police officers violated the civil rights of tens of thousands of people by wrongly targeting black and Hispanic men with its stop-and-frisk program.,The judge ruled that police officers had violated the civil rights of tens of thousands of people by disproportionately targeting black and Hispanic men with the stop-and-frisk program.,66.11,0.9044
"Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf, ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen.",Social and familial structures often weaken as people grow older - so choir is a perfect way to spend time with other people.,"Often, social and family structures break down in old age, and a choir is an ideal opportunity to spend time with other people.",26.16,0.8979
"Beim Provider des Absenders wird in der Regel überprüft, ob die Mail ein Schadprogramm als Anhang mit sich führt.",Checks are generally carried out by the sender's provider as to whether the mail contains malware as an attachment.,The provider of the sender usually checks whether the mail contains a virus as an attachment.,25.38,0.8507
Erst am Schluss des Fluges sind wiederum technische Schäden an der Rakete aufgetreten.,But near the end of the flight there was technical damage to the missile.,Technical damage to the rocket occurred again at the end of the flight.,34.09,0.8203
"Der Donut-förmige Ring besteht aus Material, das der Stern im Sterbeprozess herausschleuderte.","The donut-shaped ring consists of material, ejected by the star in the process of dying.",The donut-shaped ring consists of material that the star ejected during its death process.,34.51,0.9104
"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Whatever the state of the economy, low prices are demanded, confirms the president of the Barcelona restaurant association, Gaietà Farràs.",23.52,0.7701
Er verschwand einfach - egal wie weit der Ausschnitt ausgewählt war.,He just disappeared - no matter how wide a perspective was used.,It just disappeared - no matter how far the selection was.,41.25,0.7097
"`Es gehört uns, es ist unsere Zukunft', fügte er hinzu, nachdem er eine theatralische Pause eingelegt hatte, um die riesige Karte hinter sich zu betrachten.","""We, our future,"" he added after a theatrical pause contemplating the immense map behind him.","""It's ours, it's our future,"" he added after a theatrical pause to take in the huge map behind him.",50.3,0.8411
"Aber keiner der befragten Studenten - und weniger noch ein Professor - erklärte, an das letzte Datum des 21. Dezembers zu glauben.",But none of the students interviewed - much less any professor - said they believed in the end date of December 21st.,But none of the interviewed students - and even less a professor - believed in the last date of December 21st.,35.22,0.884
"Die originalen Außentüren sind geblieben, das Haus ist im alten rotbraunen Rostschutz-Farbton gestrichen.",The original external doors have been retained and the building has been painted in the old red-brown colour of rust-proofing.,"The original exterior doors remain, the house is painted in the old red-brown rust-proof paint.",21.28,0.8745
"Im Jahr 2002 gelang es ihm im sechsten Anlauf, als erster Mensch den Weltball in einem Heissluftballon zum umkreisen: ein zweiwöchiger, einsamer Flug.","In 2002, at his sixth attempt, he became the first man to complete the round the world trip in a hot air balloon: a two-week solo flight.","In 2002, in his sixth attempt, he became the first person to circumnavigate the globe in a hot air balloon: a two-week, solitary flight.",51.0,0.8743
