source,reference,base_prediction,sc_initial,sc_corrected,sc_final,base_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,base_comet,sc_initial_comet,sc_final_comet,comet_diff
"Die Aufgabe des Notbremsassistenten besteht darin, mehr Druck auf die Bremsen im Falle eines kritischen Bremsmanövers, welches das System anhand der vom Fahrer ausgeführten Bremsstärke auf das Bremspedal erkennt, auszuüben.","What the emergency brake assistant does is increase the pressure on the brakes in the event of an emergency, which the system detects through the driver's pressure on the pedal.","The task of the emergency brake assistant is to apply more pressure to the brakes in the event of a critical braking maneuver, which the system recognizes based on the driver's brake strength input.","The task of the emergency braking assistant is to apply more pressure to the brakes in the event of a critical braking manoeuvre, which the system recognises by the strength of the driver's braking.","The task of the emergency braking system is to exert more pressure on the brakes in the event of a critical braking maneuver, which the system recognizes by the braking force exerted by the driver on the brake pedal.",0.838,29.29,23.83,27.41,-1.879999999999999,0.8461,0.8303,0.8321,-0.014000000000000012
"Manchmal hilft aber nicht mal der Restart, da hilft nichts anderes, als den kritischen Abschnitt aus dem Kopf zu lernen.",Sometimes the restarts are not enough and you need to learn a given section of the race by heart.,"Sometimes restarting doesn't help, and there's nothing else to do but to learn the critical section from scratch.","Sometimes, however, even a restart does not help, because there is nothing else for it but to learn from the critical section.","Sometimes a restart does not help, because nothing else helps but to get the critical section out of your head.",0.838,5.24,4.09,2.9,-2.3400000000000003,0.6795,0.5971,0.6396,-0.03990000000000005
"Es ist fast genau ein Jahr her, dass Schottland die historische Entscheidung getroffen hat, Teil des Vereinigten Königreichs zu bleiben.",It is almost exactly a year since Scotland made the historic decision to remain part of the UK.,It is almost exactly a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost a year since Scotland made the historic decision to remain part of the United Kingdom.,It is almost a year since Scotland made the historic decision to remain part of the United Kingdom.,0.838,84.92,74.44,74.44,-10.480000000000004,0.9671,0.9533,0.9533,-0.013799999999999923
"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.","In an interview with The Washington Post, Amelia Chasse, the spokesperson for Hogan, defended the actions of the governor and argued that the blocking of comments was nothing more than moderation.","In an interview with The Washington Post, Amelia Chasse, the Governor's spokeswoman, defended the Governor's actions and argued that the blocking of comments was simply moderation.","In an interview with The Washington Post, she defended the Governor's actions and argued that the blocking of comments was nothing more than moderation.",0.838,35.36,31.28,40.37,5.009999999999998,0.8954,0.88,0.8576,-0.037799999999999945
Ein Zug mit Hunderten Flüchtlingen ist auf dem Weg nach Hessen.,A train carrying hundreds of refugees is on the way to Hesse.,A train with hundreds of refugees is on its way to Hessen.,A train with hundreds of refugees is on its way to Hesse.,A train with hundreds of refugees is heading for Hesse.,0.838,38.06,52.66,26.43,-11.630000000000003,0.929,0.9327,0.9107,-0.018300000000000094
"Unternehmen im Raum District, Maryland und Virginia zahlten gemeinsam 27,6 Milliarden $ an staatliche und örtliche Stellen im Finanzjahr 2013, ein Anstieg um 3,8 Prozent gegenüber den Einnahmen von 2012 in Höhe von 26,6 Milliarden $.","District, Maryland and Virginia businesses collectively paid $27.6 billion to state and local coffers in fiscal 2013, an increase of 3.8 percent over the $26.6 billion collected in 2012.","Companies in the District of Columbia, Maryland, and Virginia paid a combined total of 27.6 billion dollars to state and local governments in the fiscal year 2013, an increase of 3.8 percent over the 26.6 billion dollars they paid in 2012.","Companies in the District of Columbia, Maryland and Virginia paid a total of 27.6 billion dollars to state and local governments in the financial year 2013, an increase of 3.8 per cent on the 26.6 billion dollars they paid in 2012.","Businesses in the District of Columbia, Maryland and Virginia paid collectively 27.6 billion dollars to state and local governments in the financial year 2013, an increase of 3.8 percent compared to the 26.6 billion dollars they paid in 2012.",0.838,31.07,26.83,31.34,0.2699999999999996,0.8875,0.8787,0.8922,0.0047000000000000375
Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht.,"The research, funded by the Rio Tinto Ride to Conquer cancer, will be published today in the Medical Journal of Australia.",The study funded by Rio Tinto Ride to Conquer Cancer is published today in the Medical Journal of Australia.,The Rio Tinto Ride to Conquer Cancer-funded study is published today in the Medical Journal of Australia.,The study supported by Rio Tinto's Ride to Conquer Cancer is published today in the Medical Journal of Australia.,0.838,51.13,47.68,40.84,-10.29,0.9132,0.8924,0.9067,-0.006500000000000061
"Das Management-Team von Grand Plaza veröffentlichte eine Erklärung an die Bewohner: ""Die Polizei arbeitet derzeit an der Zeitachse und dem Hintergrund des Opfers und erforscht eine Vielzahl von Motiven, einschließlich eines möglichen häuslichen Vorfalls.""","The management team at Grand Plaza released a statement to residents saying, ""Police are currently working on the timeline and background of the victim and are exploring a variety of motives, including a possible domestic incident.""","The management team of Grand Plaza released a statement to the residents: ""The police are currently investigating the time axis and the background of the victim and exploring a variety of motives, including a possible domestic incident.""","The management team of Grand Plaza has issued a statement to the residents: 'The police are currently working on the time axis and the background of the victim and are investigating a number of motives, including a possible domestic incident.'","The management team of Grand Plaza published a statement to the residents: ""The police are currently working on the Zeitachse and the background of the victim and are investigating a number of motives, including a possible domestic incident.""",0.838,53.84,43.81,47.82,-6.020000000000003,0.8959,0.8733,0.833,-0.06290000000000007
"Gerade die Gezeitenenergie ist es, welche Bundesstaaten wie New York, Maine und Alaska sowie weitere Küstenstaaten dazu brachten, bereits 7,5 Millionen Dollar im Jahr 2008 zu investieren – für 2009 sind bereits bis zu 35 Millionen geplant.","It's exactly on tidal energy that states such as New York, Maine, and Alaska, together with others that overlook the coast, have already invested 7.5 million dollars in 2008 and are foreseen investments of up to 35 million for 2009.","Already in 2008, states like New York, Maine, and Alaska, as well as other coastal states, had invested 7.5 million dollars in tidal energy – for 2009, up to 35 million dollars are planned.","It is the tides that have brought states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008 – 35 million is planned for 2009.","It is tidal energy that has encouraged states such as New York, Maine and Alaska, as well as other coastal states, to invest 7.5 million dollars in 2008 – already planned for 2009 are up to 35 million.",0.838,32.57,28.02,32.99,0.4200000000000017,0.8559,0.8039,0.8397,-0.016199999999999992
"Die Notwendigkeit, dass Lateinamerika auch weiterhin eine integrierte Region für Wohlstand und Frieden und mit guten nachbarschaftlichen Beziehungen bleibt, war ein weiterer Aspekt, der auf dem Gipfeltreffen betont wurde.","The need for Latin America to remain a prosperous, peaceful and integrated nation, with good neighbourly relations, was another issue highlighted by the summit.",The necessity that Latin America continues to be an integrated region for prosperity and peace and with good neighborly relations was another aspect that was emphasized at the summit.,"The need for Latin America to remain an integrated region of prosperity and peace, with good neighbourly relations, was another aspect that was emphasised at the summit.","The need for Latin America to remain an integrated region of prosperity and peace, with good neighbourly relations, was another aspect that was emphasised at the summit.",0.838,8.69,47.11,47.11,38.42,0.888,0.9245,0.9245,0.03649999999999998
"Herrera wollte die kommenden Neueröffnungen nicht verraten, schloss aber nicht aus, dass Madrid das nächste Ziel sein könnte.","Herrero did not want to reveal the following possible openings, although she recognized that Madrid could be the following destiny.","Herrera didn't want to reveal the upcoming openings, but he didn't rule out that Madrid could be the next target.","Herrera did not want to reveal the new openings, but did not rule out Madrid being the next target.","Herrera did not want to reveal the forthcoming openings, but did not rule out Madrid being the next target.",0.838,30.09,25.98,25.98,-4.109999999999999,0.8179,0.8295,0.8298,0.011900000000000022
"Dann gehören Sie wohl auch zu den Frauen, die regelrecht besessen davon sind, wie sie aussehen.","Then, you belong to the group of women obsessed by their appearance.",Then you probably also belong to the women who are obsessed with how they look.,Then you are probably one of the women who are obsessed with how they look.,Then you are probably one of the women who are obsessed with how they look.,0.838,11.63,3.98,3.98,-7.65,0.8864,0.8652,0.8652,-0.021199999999999997
"Generalstabschef Hulusi Akar bleibt zwar im Amt, aber die Kommandeure des Heeres, der Luftstreitkräfte und der Marine wurden abgesetzt.","Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the marines were removed.","Generalstabschef Hulusi Akar remains in office, but the commanders of the army, air force, and navy were dismissed.","General Hulusi Akar remains in office, but the commanders of the Army, the Air Force and the Navy have been removed.","The Chief of the General Staff, Hulusi Akar, remains in his post, but the commanders of the Army, the Air Force and the Navy have been removed.",0.838,53.99,47.94,23.22,-30.770000000000003,0.8894,0.9111,0.9008,0.011400000000000077
"Die AKP jedoch, die für ihre islamistischen Wurzeln bekannt ist, repräsentiert einen Paradigmenwechsel in der türkischen Einigkeit",But the AKP with its well-known Islamist roots represents a paradigm shift in the Turkish consensus.,"However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity.","However, the AKP, which is known for its Islamic roots, represents a paradigm shift in Turkish unity.","However, the AKP, which is known for its Islamic roots, represents a paradigm change in Turkish unity.",0.838,21.89,21.89,10.11,-11.780000000000001,0.8822,0.8822,0.8753,-0.006900000000000017
"Erste ökonomische Weltmacht, Sitz der FIFA-Hauptsponsoren, das Land scheint eine lange Liste von Vorteilen gegenüber Japan und Südkorea aufzuweisen, die separat ein sehr schönes Projekt aufgestellt haben.","The leading world ecomomic power, the seat of the principal sponsors of Fifa, the country appears to have a big lead over Japan and South Korea who have separately built a very fine project.","The first economic world power, the headquarters of FIFA's main sponsors, the country seems to have a long list of advantages over Japan and South Korea, who have separately set up a very beautiful project.","The first economic power in the world, the headquarters of FIFA's main sponsors, the country seems to have a long list of advantages over Japan and South Korea, which have separately set up a very beautiful project.","The first economic power in the world, FIFA's main sponsor, the country seems to have a long list of advantages over Japan and South Korea, which has set up a very beautiful project.",0.838,22.54,18.93,19.08,-3.460000000000001,0.793,0.7948,0.78,-0.013000000000000012
"Abraham Lincoln lehnte es ab, den Status von Rothschilds Bank of America als Zentralbank zu erneuern, begann während des Bürgerkrieges, eigene (sprich: staatliche) Banknoten herauszugeben und wurde 1865 in einem Theater ermordet.","Abraham Lincoln refused to renew the status of the central bank to the Rothschild Bank of America, and during the Civil War he began to issue his own (that is state-issued) money and was assassinated in 1865 at the theatre.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as the central bank, began issuing his own (state) banknotes during the Civil War, and was assassinated in a theater in 1865.","Abraham Lincoln refused to renew the status of Rothschild's Bank of America as the central bank, began issuing his own (i.e. state) banknotes during the Civil War and was assassinated in a theatre in 1865.","Abraham Lincoln renewed the charter of Rothschild's Bank of America as the central bank, began issuing banknotes during the Civil War, and was murdered in a theater in 1865.",0.838,36.31,36.3,12.43,-23.880000000000003,0.8448,0.8523,0.774,-0.07079999999999997
Dies entspricht einem Äquivalent von 70% der Abgase des weltweiten Fuhrparks.,This is the equivalent of 70% of the emissions by the world's motor vehicles.,This corresponds to an equivalent of 70% of the emissions of the world's vehicle fleet.,This is equivalent to 70% of the world's vehicle emissions.,This corresponds to 70% of the world's vehicle fleet.,0.838,40.52,21.7,18.41,-22.110000000000003,0.9112,0.9254,0.7173,-0.19389999999999996
"Der Anwalt kehrte nach Hause zurück, holte sich die Drogen und dann wurden neun Mitteilungen zwischen den beiden ausgetauscht.",The lawyer returned home to discover the drugs and there were nine communications between them.,"The lawyer returned home, got the drugs and then nine communications were exchanged between the two.","The lawyer returned home, took the drugs and then nine letters were exchanged between the two.","The lawyer returned home, took the drugs and then nine correspondences were exchanged between the two of them.",0.838,23.29,21.77,20.76,-2.5299999999999976,0.8455,0.8197,0.8365,-0.009000000000000008
Und die sogenannte Ingenieurlücke wird laut VDI-Prognosen noch größer werden.,"And the shortage of engineers is going to get worse, according to VDI.",And the so-called engineering gap is expected to widen according to VDI prognoses.,"And the so-called 'engineer's gap' is expected to widen, according to VDI projections.",And the so-called engineer gap is expected to increase according to VDI forecasts.,0.838,13.92,21.65,13.92,0.0,0.825,0.8071,0.8529,0.027900000000000036
Im Irak haben 4500 Soldaten ihr Leben verloren und die Amerikaner wurden nicht gezwungen zu packen.,In Iraq 4500 soldiers have lost their lives and the Americans have not been forced to pack up and leave.,"In Iraq, 4500 soldiers have lost their lives and the Americans were not forced to leave.","In Iraq, 4500 soldiers have lost their lives and the Americans were not forced to pack up.","In Iraq, 4500 soldiers have been killed and the Americans were not forced to pack up.",0.838,47.68,54.88,24.07,-23.61,0.8782,0.911,0.885,0.006800000000000028
Erwischt: Wegen eines positiven Dopingprobe darf Gewichtheber Adrian Zielinski aus Polen in Rio nicht starten.,"Busted: After a sample tested positive for doping, weightlifter Adrian Zielinksi from Poland is not allowed to compete in Rio.","Discovered: Due to a positive doping test, weightlifter Adrian Zielinski from Poland will not be able to compete in Rio.",Caught: Weightlifter Adrian Zielinski from Poland will not be able to compete in Rio because of a positive doping test.,Disqualified: Weightlifter Adrian Zielinski from Poland is disqualified from competing in Rio because of a positive doping test.,0.838,25.07,14.91,9.39,-15.68,0.8319,0.8592,0.8283,-0.0035999999999999366
Auf die Spezifik des tschechischen Marktes weisen auch weitere Anbieter hin.,Other operators also refer to the specific nature of the Czech market.,Other providers also point to the specificity of the Czech market.,Other suppliers are also pointing to the specifics of the Czech market.,Other suppliers are also pointing to the specifics of the Czech market.,0.838,35.72,35.42,35.42,-0.29999999999999716,0.9133,0.8944,0.8944,-0.018900000000000028
Für die fünf Niederlagen in den vergangenen sechs Testspielen hat Ancelotti den körperlichen Zustand und die fehlende Balance im Spiel seiner Mannschaft verantwortlich gemacht.,Ancelotti blamed the physical state of his team and the lack of balance in their game for their five defeats in the past six friendlies.,Ancelotti blamed the physical condition and the lack of balance in the game of his team for the five losses in the last six test matches.,"For the five defeats in the last six Test matches, Ancelotti has blamed the physical condition and the lack of balance in his team.","For the five defeats in the last six Test matches, Ancelotti has blamed the physical condition and the lack of balance in his team's play.",0.838,34.78,35.26,32.6,-2.1799999999999997,0.873,0.8451,0.8526,-0.020399999999999974
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.,Germany is the first European country to recognize a third gender for children who were born with ambiguous genitals.,Germany is the first European country to recognise a third gender for children born with ambiguous genitalia.,Germany is the first European country to recognise a third gender for children born with ambiguous genitalia.,0.838,37.37,41.92,41.92,4.550000000000004,0.9326,0.9342,0.9342,0.0016000000000000458
"Annahmen zufolge gibt es im Land etwa 1.000 Tonnen an Chemikalien und Waffen, wozu auch Senfgas und das Nervengas Sarin zählen.","The country is believed to have around 1,000 metric tons of chemicals and weapons including mustard gas and the nerve agent sarin.","According to the assumption, there are approximately 1,000 tons of chemicals and weapons in the country, including sarin and mustard gas.","According to the assumptions, there are approximately 1 000 tonnes of chemicals and weapons in the country, including tear gas and nerve gas Sarin.","According to reports, there are approximately 1 000 tonnes of chemicals and weapons in the country, including tear gas and nerve gas Sarin.",0.838,20.5,12.29,12.79,-7.710000000000001,0.867,0.8506,0.8796,0.012600000000000056
"Hungrig nach Wachstum, investierten sowohl die Bank selbst als auch ein vor ihr gegründeter Hedgefonds in amerikanische Subprime-Anlagen.","Hungry for growth, the bank itself and a hedge fund founded by the bank invested in US subprime securities.","Hungry for growth, both the bank itself and a hedge fund it founded invested in American subprime assets.","Hungry for growth, both the bank and a hedge fund it set up invested in American sub-prime mortgages.","Eager for growth, both the bank and a hedge fund it set up invested in American sub-prime securities.",0.838,44.56,27.67,21.65,-22.910000000000004,0.905,0.8605,0.8486,-0.056400000000000006
"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, virtual providers usually position themselves as low-cost companies - they offer cheap phone calls and SMS, which is often accompanied by a less comprehensive service.","In the world, virtual providers tend to position themselves as low-cost companies, offering cheap phone calls and SMS, which is often accompanied by a less comprehensive service offering.","In the world, virtual service providers tend to position themselves as low-cost companies, offering cheap calls and SMS, which is often accompanied by a less comprehensive range of services.",0.838,14.39,12.22,12.99,-1.4000000000000004,0.8638,0.8692,0.8729,0.009099999999999997
"""Wie es sich herausstellt, war es Harrison, der die Morde vorbereitet und angeordnet hat"", schließt hieraus ein FBI-Bericht.","""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""As it turns out, it was Harrison who prepared and ordered the murders"", concludes an FBI report.","As it turns out, it was Harrison who prepared and ordered the murders, according to an FBI report.","""As it turns out, Harrison was the one who planned and ordered the murders,"" according to an FBI report.",0.838,42.73,41.04,39.65,-3.0799999999999983,0.9448,0.9272,0.9383,-0.00649999999999995
"Liner, 31, und Ellis Tochter Maleah verstarben noch vor Ort.","Liner, 31, and Ellis' daughter Maleah died at the scene.","Liner, 31, and Ellis' daughter Maleah died on the spot.","Liner, 31, and Ellis's daughter Maleah died on the spot.","Liner, 31, and Ellis's daughter Maleah died at the scene.",0.838,68.12,40.9,76.12,8.0,0.9234,0.9291,0.9547,0.031299999999999994
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,The announcement of the band came after they had to reschedule their performance at the LG Arena in Birmingham on Thursday.,The announcement of the band came after they had to postpone a concert in the LG Arena in Birmingham on Thursday.,The announcement of the band came after they had to postpone a concert in the LG Arena in Birmingham on Thursday.,0.838,45.0,42.26,42.26,-2.740000000000002,0.8286,0.8506,0.8506,0.02200000000000002
"Mit dem Kopenhagener Vertrag haben sich die Entwicklungsländer dazu verpflichtet, 30 Milliarden Dollar zwischen 2010 und 2012 bereitzustellen.","According to the Copenhagen agreemsnt, developed countries underook to furnish 30 thousand million dollars between 2010 and 2012.","Under the Copenhagen Agreement, the developing countries have committed to providing 30 billion dollars between 2010 and 2012.","Under the Copenhagen Agreement, developing countries have committed themselves to providing 30 billion dollars between 2010 and 2012.","Under the Copenhagen Agreement, developing countries have committed themselves to providing 30 billion dollars between 2010 and 2012.",0.838,29.36,29.36,29.36,0.0,0.8514,0.8552,0.8552,0.0037999999999999146
"Angel Di Maria und Edinson Cavani hielten Kurs, als Paris Saint-Germain seine Champions League Saison mit einem äußerst komfortablen 2-0 Sieg gegen Malmö im Prinzenparkstadion am Dienstag startete.",Angel Di Maria and Edinson Cavani were on target as Paris Saint-Germain began their Champions League campaign with an ultimately comfortable 2-0 win against Malmo at the Parc des Princes on Tuesday.,Angel Di Maria and Edinson Cavani were on course as Paris Saint-Germain began its Champions League season with a comfortable 2-0 win over Malmö at the Princes Park Stadium on Tuesday.,Angel Di Maria and Edinson Cavani were on course as Paris Saint-Germain started their Champions League campaign with a very comfortable 2-0 win against Malmö in the Princes Park Stadium on Tuesday.,Angel Di Maria and Edinson Cavani held their own as Paris Saint-Germain began their Champions League campaign with a very comfortable 2-0 victory against Malmö in the Princes Park Stadium on Tuesday.,0.838,43.52,50.39,47.32,3.799999999999997,0.8582,0.8552,0.8606,0.0024000000000000687
