original_row_index,source,reference,prediction,bleu,comet
3969,"""Wir haben das Unmögliche möglich gemacht, um die Vorjahrespreise mit Menüs für jeden Geschmack von 19,95 bis 30 Euro aufrechtzuerhalten"", erklärt er.","""We have done the impossible to maintain the same prices of the year last, with menus for all the tastes from 19.95 to 30 Euros,"" they detail.","""We have made the impossible possible to maintain last year's prices with menus for all tastes from 19.95 to 30 euros,"" he explains.",26.77,0.8657
1142,"In der Geschichte eines deutschen Schulmädchens erzählt er: ""Ersatz, überall Ersatz.""","In telling a German schoolgirl's story he says: ""Ersatz, everywhere ersatz.""","In the history of a German schoolgirl he tells: ""Substitute, everywhere substitute.""",9.67,0.7
3411,"Laut einer vorsichtigen Aussage von Beobachtern der Organisation of American States and the Caribbean Community ""machen diese Unregelmäßigkeiten, so ernst sie auch sein mögen, den Prozess nicht notwendigerweise ungültig"".","Observers from the Organisation of American States and the Caribbean Community said cautiously that they did ""not believe these irregularities, serious as they were, necessarily invalidated the process.""","According to a cautious statement by observers of the Organization of American States and the Caribbean Community, ""these irregularities, serious as they may be, do not necessarily invalidate the process.""",37.21,0.8594
3093,"Am weitesten ist hier Sony Ericsson, dessen Handys aus der Serie Walkman die gleiche Nutzerschnittstelle haben wie die einzeln verkauften MP3-Player.","Sony Ericsson, whose cell phones from the walkman series have the same user interface as the MP3 players sold separately, is the most advanced in the field.","Sony Ericsson is the furthest along, with Walkman phones that have the same user interface as individual MP3 players.",20.61,0.8017
2972,HP beschäftigte zum Ende des Geschäftsjahres 2013/14 noch rund 302.000 Mitarbeiter.,"At the end of the 2013/14 business year HP still employed around 302,000 staff.","At the end of the business year 2013/14, HP still had around 302,000 employees.",34.82,0.9433
2665,"Ein seltener Moment, in dem der normalerweise großspurig und selbstsicher auftretende Multimillionär so etwas wie Bedenken äußerte, wie Korrespondenten berichteten.","It was a strange moment - the multi-millionaire normally puts on a pompous, self-assured performance, but this time he expressed something analogous to doubt, as correspondents report.","A rare moment in which the usually grandiose and self-assured multimillionaire expressed some reservations, as reported by correspondents.",3.12,0.7748
1989,Solarworld belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands.,Solarworld came in 55th place among the 100 best employers in Germany in a study by the Great Place to Work Institute.,Solarworld came 55th in a study by the Great Place to Work Institute of the 100 best employers in Germany.,64.33,0.9195
1693,"Manchmal nicht, denn im Extremfall führt sie dazu, dass Menschen extreme körperliche Risiken auf sich nehmen und dem Glücksspiel oder Drogen verfallen, um sie zu lindern - das haben Studien gezeigt.","Sometimes no, because in its extreme it can lead people to take absurd physical risks, gamble or indulge in substance abuse as a way to ease it, research shows.","Sometimes not, because in extreme cases it leads to people taking extreme physical risks and turning to gambling or drugs to relieve it - studies have shown.",6.79,0.8708
3432,Der Audi des 33-Jährigen war nicht mehr fahrbereit und musste abgeschleppt werden.,The Audi belonging to the 33-year-old could no longer be driven and had to be towed away.,The 33-year-old's Audi was no longer roadworthy and had to be towed away.,36.38,0.8814
245,"Der Richter Jean-François Molla sagte, dass die Lebensmittelgeschäfte, Cafés und Restaurants eine viel größere Rolle spielen würden, als lediglich Leute zu ernähren, die ""in extrem prekären Bedingungen leben.""","The judge, Jean-François Molla, said the groceries, cafes and restaurants played a much bigger role than simply feeding people that ""live in extremely precarious conditions.""","Judge Jean-Francois Molla said that food shops, cafes and restaurants play a much greater role than just feeding people who are living in ""extremely precarious conditions.""",25.14,0.8907
4810,Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards.,But it in certainly not a radical initiative - at least by American standards.,But it is certainly not a radical initiative - at least not by American standards.,64.14,0.9589
3209,Am Fuße des Baumes sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben.,"The herdsmen, exhausted after the ascent, rested at the foot of the tree.",The animal keepers are said to have rested at the foot of the tree.,45.85,0.5562
2163,HR4-RADTOUR 700 Fahrradfahrer legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein,HR4-CYCLE TOUR 700 cyclists are taking a breather in the health resort of Bad Salzhausen and Schotten,HR4-RADTOUR 700 cyclists stop in the Kurpark of Bad Salzhausen and Schotten,26.06,0.673
2917,"""Das Spiel gegen Schapdetten, das ist es, was wir nun gewinnen müssen"", sagte Lewandowski.","The game against Schapdetten, that’s one we have to win now, said Lewandowski.","""The game against Schapdetten is what we have to win now,"" said Lewandowski.",50.24,0.9016
3242,"Eine positive Nachricht kam aus der Republik Irland, wo der PMI auf 57,3 anstieg, dem höchsten Niveau seit Ende 1999.","One positive note was from the Republic of Ireland, which saw its PMI grow to 57.3, its highest level since the end of 1999.","A positive note came from the Republic of Ireland, where the PMI rose to 57.3, its highest level since the end of 1999.",61.53,0.9207
4344,"Der norwegische Diplomat drängte die Vereinigten Staaten und andere Militärmächte auch, die Anzahl der internationalen zivilen Helfer zu erhöhen, die bei der politischen Umstellung Afghanistans helfen sollen.",The Norwegian diplomat also pressed the United States and other military powers to increase the number of international civil servants aiding Afghanistan's political transition.,The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian helpers who are to assist in Afghanistan's political transition.,58.78,0.8903
1790,"Jedoch sei der Mittelwert an neuen Arbeitssuchenden während der letzten vier Wochen ""auf den Tiefpunkt des Jahres gefallen"", betonte Scott Marcouiller von Wells Fargo Advisors.","However, in the last four weeks, the average number of new employment seekers ""has fallen to its lowest in a year"", highlighted Scott Marcouiller from Wells Fargo Advisors.","However, the average number of new job seekers over the last four weeks ""has fallen to the low point of the year,"" stressed Scott Marcouiller of Wells Fargo Advisors.",38.32,0.8958
2066,"Die Initiative wurde schon im letzten Monat im Juni angekündigt und schon jetzt ein Teil des Berichtes der Generalstaatsanwaltschaf ist. Nach ihren Angaben handelt es sich um ein Piloten-Projekt, welches ein Jahr lang dauern wird.","The measure was announced last June and has been already included in the Annual Report of the State Attorney General, according to which it will be a pilot project for a period of one year.","The initiative was announced last month in June and is already part of the General Prosecutor's report. According to them, it is a pilot project that will last a year.",9.8,0.8363
2786,"Der Schuss kam aus einem Kleinwagen, der an einer Gruppe von sechs Kindern vorbeigefahren war und plötzlich angehalten hatte.","The shots came from a small car, which drove past a group of six children and suddenly stopped.",The shot came from a small car that drove past a group of six children and suddenly stopped.,70.62,0.9165
1964,"""Mir ist immer sein Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres aufgefallen"", gibt D'Arenberg zu.","""I've always been struck by his refined and calm manner, and his neat and perfect appearance"" acknowledges D'Arenberg.","""I've always been struck by his refinement, his calm, his well-groomed and perfect exterior,"" says D'Arenberg.",34.19,0.8931
766,"Der Bootmotor verfügte zwar über eine Notstoppleine, diese löste sich allerdings beim Kentern des Boots von der Person los, die das Boot steuerte.",The boat's engine had an emergency kill cord but it had somehow come detached from the person driving the boat when it capsized.,"The boat's engine did have an emergency stop cord, but this detached from the person steering the boat when the boat capsized.",21.8,0.8405
3683,"Fällt es Deutschland schwer, bei wichtigen internationalen Themen eine klare Position zu beziehen?",Does Germany find it difficult to adopt a clear position when it comes to important international affairs?,Is it difficult for Germany to take a clear position on important international issues?,12.87,0.9163
1151,"""Die liegen bei mir auf dem Zentralbankkonto und verursachen 0,4 Prozent Kosten"", sagte der Bankchef.","""The money has been sitting in my account at the Central Bank, and costing 0.4 percent,"" the bank CEO said.","""They are on my central bank account and cost 0.4 percent,"" the bank chief said.",22.64,0.7997
3186,"Ich erwartete, Zähneknirschen und handgreifliche Diskussionen am Flugsteig zu sehen.",I was expecting to see gnashing of teeth and a fight breaking out at the gate.,I expected to see teeth gnashing and fist fights at the gate.,19.21,0.8924
1670,"Vor kurzem bist du 30 geworden, bist du in keine Krise verfallen?","Not long ago, you celebrated your 30 years, did you entered a crisis?","Recently you turned 30, have you fallen into a crisis?",11.16,0.8544
4762,Ein Teil des Meeresbodens gehört heute auch der Tschechischen Republik.,Part of the ocean floor currently belongs to the Czech Republic.,Part of the seabed today also belongs to the Czech Republic.,53.11,0.905
4377,"Dormans ""Mondolinenkonzert"" erhielt eine Nominierung in der Kategorie Instrumentalsolo mit Orchester.","Dorman's ""Mandolin Concerto"" was nominated for instrumental soloist performance with orchestra.","Dorman's ""Mondolink Concert"" has been nominated in the Instrumental Solo with Orchestra category.",6.44,0.7937
1441,"In seiner Predigt erinnert Pfarrer Adolf Buhl daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei.","In his homily, Father Adolf Buhl reminds us that the cross is a sign of hope, comfort and life.","In his sermon, Pastor Adolf Buhl reminds us that the cross is a sign of hope, consolation and life.",66.44,0.9042
1573,"Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind.","On a tour of the premises, the children will have to work out which stories are true and which have been made up.","On a treasure hunt, children have to guess which stories are true or false.",12.76,0.7729
3906,"Ich erinnere mich, dass Georgij an diesem Tag so gerne zur Schule gehen wollte. Er sagte, er wolle seinen Lehrer umarmen.","I remember Georgy so much wanted to go to school on that day, he said he wanted to hug his teacher.","I remember that Georgy wanted to go to school that day, he said he wanted to hug his teacher.",68.3,0.9162
1628,"Der Hotelangestellte sagte, dass die Maßnahme eine ""absichtliche Entscheidung des Managements der Kempinski Hotels sei.""","The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""","The hotel employee said the measure was ""an intentional decision by the management of Kempinski Hotels.""",35.99,0.9225
4475,Darüber hinaus wiederholt Ferrells Geschichte die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung.,"Moreover, Ferrell's story reiterates and re-centers the role of black queer women in the broader Black Lives Matter movement.","In addition, Ferrell's story repeats the role of black lesbian women in the broader Black Lives Matter movement.",56.58,0.877
4098,"In einer gemeinsamen Sitzung bereiteten sich am Samstag die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach auf die Veränderungen vor.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared for the changes.","In a joint session on Saturday, the authorities from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes.",68.39,0.881
0,"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after breaking up, it was revealed she was pregnant.",18.27,0.8519
542,"Kess verführen sie Siegfried (Stefan Vinke), zerren in Hollywood-Manier eine Leiche in den Kofferraum und geben die Krawallo-Clique.","They saucily seduce Siegfried (Stefan Vinke), lug a body in the boot in Hollywood manner, and play the riotous clique.","They seduce Siegfried (Stefan Vinke), drag a corpse into the trunk in Hollywood style and give the Krawallo clique.",30.37,0.6527
3062,"Es geht um eine Frist, die am 1. Oktober für Staaten ablief, um die Standards von 2015 für bodennahes Ozon einzuhalten.",At issue is an Oct. 1 deadline for states to begin meeting 2015 standards for ground-level ozone.,It is about a deadline that expired on 1 October for countries to meet the 2015 standards for ground-level ozone.,26.04,0.8224
3599,Bisher sind Projekte wie jenes in Portugal und auch Schottland von eher kleiner Dimension und scheinen keinerlei ernst zu nehmende ökologische Probleme zu verursachen.,Till now the plants such as the Portuguese one or some in Scotland are small and do not appear to create big problems for the ecosystem.,"So far, projects such as the one in Portugal and also in Scotland have been of relatively small scale and have not caused any serious environmental problems.",7.33,0.806
4101,"Die genauen Vorgänge bei der Entstehung von Sternen aus großen Gaswolken - und damit auch der Entstehung von Planeten, die diese Sterne umkreisen - liegen immer noch im sprichwörtlichen Dunkeln.",The precise processes for the formation of stars from large gas clouds - and thus the formation of the planets that orbit these stars - lie in proverbial darkness.,The exact processes involved in the formation of stars from large gas clouds - and thus the formation of planets that orbit these stars - are still shrouded in mystery.,59.83,0.9005
1426,"Doch schon 2004 und in Rheinnähe ist bereits ""Seven Swans"" erschienen und bricht positiv gewisse Erwartungen.","But in 2004 in the Rhine area, ""Seven Swans"" came out, bursting positive expectations.","But already in 2004, and close to the Rhine, ""Seven Swans"" was released, and is breaking some positive expectations.",23.31,0.7605
3548,"Moreno schien glücklich, einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein.",Moreno appeared fortunate to escape a red card and the concession of a spot-kick.,Moreno seemed happy to have escaped a red card and a penalty.,19.72,0.805
366,"Nach der Höhe der Investitionen gefragt, will sich Thomas Scherer nicht genau festlegen.","Asked about the level of investments, Thomas Scherer doesn't want to commit himself precisely.","When asked about the level of investment, Thomas Scherer does not want to commit himself.",36.01,0.863
4853,"US-Präsident Donald Trump deutete an, dass Kanada künftig von Nafta ausgeschlossen werden könnte.",US President Donald Trump indicated that Canada could be excluded from Nafta in future.,US President Donald Trump hinted that Canada could be excluded from Nafta in the future.,64.14,0.9494
4616,"Einige Bewohner, einschliesslich der Blogger, die über die Gentrifizierung des East Village schreiben, haben die Idee des Verkaufs von Extra Place abgelehnt, mit dem Argument, dass dieses öffentliche Grundstück, so bescheiden wie es ist, weiterhin öffentlich bleiben soll.","Some residents, including bloggers who write about the gentrification of the East Village, have opposed the idea of selling Extra Place, arguing that the piece of public property, modest as it is, should remain public.","Some residents, including the bloggers who write about the gentrification of the East Village, have rejected the idea of selling Extra Place, arguing that the public plot, no matter how small, should remain public.",63.31,0.8598
175,Erteilen Sie durch Verstecken eine wertvolle und amüsante Lektion über Sicherheit - aber versauen Sie nie jemandes Zimmer mit Zahnpasta und Shampoo.,Teach a valuable and amusing lesson about security by hiding something - but never trash someone's room with toothpaste and shampoo.,"Teach them a valuable and fun lesson about safety by hiding, but never glue anyone's room shut with toothpaste and shampoo.",27.13,0.7565
3119,"Sie leben inmitten der Großfamilie, werden geliebt, umsorgt und sind glücklich.","They live among their extended family, are loved, cared for and are happy.","They live in the midst of a large family, are loved, cared for and are happy.",57.68,0.8899
3820,"Wissenschaftler haben zuvor darauf hingedeutet, dass die langsame Umdrehung der Venus durch ihre dichte Atmosphäre erklärt werden könnte.",Scientists have previously suggested that Venus' slow rotation rate is explained by its thick atmosphere.,Scientists have previously suggested that the slow rotation of Venus could be explained by its dense atmosphere.,31.98,0.9173
1329,"""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"", bestätigte auch er.","""This is the furthest back that it has been since records began,"" he also confirmed.","""This is the biggest retreat since records began,"" he confirmed.",40.1,0.7216
3089,"Wenn ich abends mit meinen Patientenniederschriften fertig bin und zu Bett gehe, dann führt mich das Buch zurück in eine Zeit, als die Politik Millionen inspirierte und einem Reden den Atem rauben konnten.","When I'm finished with my patient write-ups at night and get into bed, the book returns me to a time when politics inspired millions and speeches could take your breath away.","When I finish writing up my patients' notes and go to bed, the book takes me back to a time when politics inspired millions and could stop you in your tracks.",31.04,0.8325
801,"Nach ihrer Erfahrung setzen weiße feministische Kommentatoren das Geschlecht vor die Rasse, wenn es darum geht, Reproduktionsrecht und Einkommensungleichheiten anzusprechen.","In her experience, white feminist commenters prioritized gender above race when it came to pushing forward reproductive rights and income inequality.","Based on her experience, white feminist commentators put gender before race when it comes to talking about reproductive rights and income inequality.",40.76,0.9004
40,"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, virtual operators usually stand out as low-cost companies - they offer cheap telephone calls and SMS, but often with a less comprehensive range of services.",9.31,0.8662
4112,"Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","We need to give countless young girls, inspired by Simone, Gabby and Laurie, a more effective and more accessible gymnastics training.",34.49,0.8651
2703,"Es ist auch kein Horden durch Hobbysammlern - es hat eine emotionale Bedeutung: ältere Plattenkäufer behalten ihre Gefühle eher für sich (56 % vs. 53 %) und genießen es, alleine Zeit zu verbringen (69 % vs. 66 %).","It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",It's not just a case of hoards of hobby collectors - it has an emotional significance: older vinyl buyers are more likely to keep their feelings to themselves (56% vs 53%) and enjoy spending time alone (69% vs 66%).,51.49,0.8965
4165,"Nhaijah Russell, ein sechsjähriges Mädchen, das vor kurzem vier Spritzer von nach Erdbeere duftendem Händedesinfektionsmittel in der Schule eingenommen hatte, wurde in eine Notaufnahme zur Behandlung gebracht.","Nhaijah Russell, a six-year-old girl who recently ingested as many as four squirts of strawberry-scented hand sanitizer at school, was taken to an emergency room for treatment.","Nhaijah Russell, a six-year-old girl who recently ingested four squirts of hand sanitizer that smelled like strawberry, was rushed to the emergency room for treatment.",46.65,0.8712
697,Die CD führt mehr Verbindungslinien SC Pendolino zwischen Prag und Ostrava ein und die Züge nach Sumperk/Jesenik werden im Zeitabstand von zwei Stunden fahren.,Czech Railways is introducing more Pendolino routes between Prague and Ostrava and trains to Šumperk/Jeseník will run on two-hour intervals.,"CD is introducing more Pendolino connections between Prague and Ostrava, and trains to Sumperk/Jesenik will run every two hours.",28.23,0.8331
4359,"Für mich stellte das die größte Attraktion Heathrows dar, genauso wie damals in 2012 in London, als wir einen großen Aufwand betrieben, um sicherzustellen, dass all unsere Nationen und Regionen von den Spielen profitierten.","For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.","For me, that was the biggest attraction of Heathrow, just as it was in 2012 in London, when we made a big effort to ensure that all our nations and regions benefited from the Games.",55.88,0.91
3458,Rund 80 Tiere aus fünf verschiedenen Kontinenten genießen jede Streicheleinheit.,About 80 animals from five different continents enjoy every bit of attention.,Around 80 animals from five different continents enjoy each stroke.,49.2,0.7333
1288,"Auβerdem beinhaltet diese Version auch noch, als wenn das noch nicht genug an Ausstattung wäre, das Paket Premium, welches für zusätzliche 1.500 Euro folgendes enthält: neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader.","Additionally, with less equipment, this version comes with the Premium Pack, which, for 1,500 euros, also features: bi-xenon adaptive headlights and a BOSE sound system with CD changer, among other things.","In addition, this version also includes the Premium package, which, for an additional 1,500 euros, includes the following: in addition to other elements, in particular, the adaptive bi-xenon headlights and the BOSE sound system with CD player.",21.31,0.8075
2364,"Soviel im Voraus:""Mathieu (Debuchy), Yohan (Cabaye) und Adil (Rami) werden dabei sein"", vergegenwärtigt er.","All the more so, since opposite are Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) ,"" he recalls.","""Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there,"" he says.",54.87,0.7526
2289,"Das Problem ist, dass Deutschland Wagner spielen will und die anderen Länder die neunte Sinfonie Beethovens.",The problem is that Germany wants to play Wagner and the rest the hymn of joy of Beethoven.,The problem is that Germany wants to play Wagner and the other countries want to play Beethoven's ninth symphony.,52.21,0.8004
1940,"Adam Fitzpatrick, Neighbourhood Enforcement Manager von Cornwall Housing, sagte aus, dass es die Familie verabsäumt hätte mit den lokalen Behörden zu kooperieren.","Adam Fitzpatrick, Cornwall Housing's neighbourhood enforcement manager, said the family failed to cooperate with the local authority.","Adam Fitzpatrick, neighbourhood enforcement manager at Cornwall Housing, said the family had failed to co-operate with local authorities.",24.43,0.9298
2228,"Ich bin sehr emotional, weil meine Familie auch hier ist",I'm very emotional because my family are here as well,I am very emotional because my family is here,41.8,0.9488
1175,"Er muss auch ein Mitbestimmungsrecht bei Entscheidungen haben, die die Leistung des Teams beeinflussen.",He must also have a say in the decisions that impact the team's performance.,He must also have a say in decisions that affect the team's performance.,61.42,0.9567
4550,"Jetzt, ohne das kritische Sektoren auf der Lauer liegen, könnte der Zeitpunkt gekommen sein, um diese Angelegenheit wieder aufzugreifen und für immer abzuschließen.","Now, without critical sectors on the matter, could be a good moment to retake it and try to close it for always.","Now, without the critical sectors lying in wait, may be the time to reopen this matter and put it to bed for good.",9.04,0.7775
3350,"Doch die Bayern, in sieben Europacup-Duellen mit griechischen Teams unbesiegt, wollten nicht das nächste Opfer sein.","But Bayern, undefeated in seven Europa Cup duels with Greek teams, did not want to be the next victim.","But the Bavarians, unbeaten in seven European Cup duels with Greek teams, did not want to be the next victim.",67.63,0.899
4542,"Die meisten davon haben im Moment noch keine Ahnung, dass sie so sterben werden.",Most currently have no idea that they will die this way.,Most of them don't know they're going to die this way.,22.42,0.884
2458,Die NCAA beseitigt die zwei-Tage-Praktiken und macht einen langen Tag für die Bruins,The NCAA's elimination of two-a-day practices makes for a long day for the Bruins,"NCAA eliminates two-a-day practices, makes long day for Bruins",14.32,0.8469
4611,"Laut Stellenanzeige wurden Frauen im Alter von 18 bis 22 mit guter Figur und ""harmonischen Gesichtszügen"" gesucht.","The district's advertisement called for female applicants 18 to 22 years old, with a good figure and ""the five facial features in proper order.""","According to the advertisement, women aged 18 to 22 with a good figure and ""harmonious facial features"" were sought.",24.81,0.8506
1205,"Für die Gebotsabgabe vorausgewählte Unternehmen gaben Gebote ab, welche dann mit der Gebühr pro Barrel Öl verglichen wurden, die das Ministerium bereit war zu zahlen, um den Ausstoß jedes Felds über das aktuelle Niveau hinaus zu steigern.",Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field.,Pre-selected companies submitted bids which were then compared with the fee per barrel of oil the ministry was willing to pay to increase output above current levels.,29.01,0.8755
3125,"""Seine Angriffe waren jedoch herabsetzend und viele Leute waren von seiner Wahlkampagne schockiert.""","""However, his attacks were not decent, and many people were caught by surprise by the method of his election campaign.""","""But his attacks were demeaning, and many people were shocked by his campaign.""",23.37,0.8633
1997,"""Wir werden sie nicht unterschätzen"", hatte Bayern-Kapitän Philipp Lahm vor dem Spiel im Karaiskakis-Stadion vor 31.688 heißblütigen Fans versprochen - und die Münchner hielten Wort.","""We aren't going to underestimate them,"" promised Bayern captain Phillipp Lahm before the game in the Karaiskakis Stadium in front of 31,688 hot-blooded fans - and the Munich player kept his word.","""We won't underestimate them,"" Bayern captain Philipp Lahm promised before the game in the Karaiskakis Stadium in front of 31,688 passionate fans - and the Munich team kept their word.",50.18,0.8689
3148,"Die Pfälzer Vorfahren von Donald Trump kamen aus einem Ort, dessen Einwohner Angeber genannt werden.",The Palatine ancestors of Donald Trump came from a place whose inhabitants are known as braggarts.,The Palatine ancestors of Donald Trump came from a place whose inhabitants are called tightwads.,75.76,0.7314
2031,"Obwohl mehrere Hamas-Führer getötet und die 1,7 Millionen Einwohner des Gazastreifens in einem der desolatesten und dicht bevölkertesten Ecken des Planeten eingepfercht werden, ist es Israel bis jetzt nicht gelungen, die Hamas zu vernichten.","Despite killing some of its leaders and bottling up Gaza's 1.7m people in one of the most wretched and crowded corners of the planet, Israel has failed to destroy Hamas.","Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip have been confined to one of the most desolate and densely populated corners of the planet, Israel has not yet managed to destroy Hamas.",26.02,0.8056
