original_row_index,source,reference,prediction,bleu,comet
1461,"Viele an der Wall Street betrachten die neuen Gepäckgebühren als Zeichen dafür, dass die Fluggesellschaften genug Geld einnehmen, um nach Jahren der Verluste die Kosten von Flugreisen zu decken.",Many on Wall Street view the addition of baggage fees as a sign that airlines are charging enough money to cover the cost of air travel after years of losses.,Many on Wall Street see the new baggage fees as a sign that airlines are making enough money to cover the cost of flying trips after years of losses.,59.78,0.9039
3969,"""Wir haben das Unmögliche möglich gemacht, um die Vorjahrespreise mit Menüs für jeden Geschmack von 19,95 bis 30 Euro aufrechtzuerhalten"", erklärt er.","""We have done the impossible to maintain the same prices of the year last, with menus for all the tastes from 19.95 to 30 Euros,"" they detail.","""We have made the impossible possible to maintain last year's prices with menus for every taste from 19.95 to 30 euros,"" he explains.",17.13,0.8578
1142,"In der Geschichte eines deutschen Schulmädchens erzählt er: ""Ersatz, überall Ersatz.""","In telling a German schoolgirl's story he says: ""Ersatz, everywhere ersatz.""","In the history of a German schoolgirl he tells: ""Substitute, substitute, substitute.""",8.23,0.6319
3411,"Laut einer vorsichtigen Aussage von Beobachtern der Organisation of American States and the Caribbean Community ""machen diese Unregelmäßigkeiten, so ernst sie auch sein mögen, den Prozess nicht notwendigerweise ungültig"".","Observers from the Organisation of American States and the Caribbean Community said cautiously that they did ""not believe these irregularities, serious as they were, necessarily invalidated the process.""","According to a cautious statement by Organization of American States and Caribbean Community observers, ""these irregularities, however serious, do not necessarily make the process invalid.""",14.5,0.8448
3093,"Am weitesten ist hier Sony Ericsson, dessen Handys aus der Serie Walkman die gleiche Nutzerschnittstelle haben wie die einzeln verkauften MP3-Player.","Sony Ericsson, whose cell phones from the walkman series have the same user interface as the MP3 players sold separately, is the most advanced in the field.","The most advanced is Sony Ericsson, whose phones from the Walkman series have the same user interface as individual MP3 players.",34.69,0.8551
2972,HP beschäftigte zum Ende des Geschäftsjahres 2013/14 noch rund 302.000 Mitarbeiter.,"At the end of the 2013/14 business year HP still employed around 302,000 staff.","At the end of the financial year 2013/14, HP still employed around 302,000 employees.",48.9,0.9455
2665,"Ein seltener Moment, in dem der normalerweise großspurig und selbstsicher auftretende Multimillionär so etwas wie Bedenken äußerte, wie Korrespondenten berichteten.","It was a strange moment - the multi-millionaire normally puts on a pompous, self-assured performance, but this time he expressed something analogous to doubt, as correspondents report.","A rare moment in which the normally flamboyant and self-assured multimillionaire expressed something akin to concern, correspondents reported.",3.3,0.8042
1989,Solarworld belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands.,Solarworld came in 55th place among the 100 best employers in Germany in a study by the Great Place to Work Institute.,"In a study by the Great Place to Work Institute, Solarworld was ranked 55th among the top 100 employers in Germany.",45.99,0.9177
1693,"Manchmal nicht, denn im Extremfall führt sie dazu, dass Menschen extreme körperliche Risiken auf sich nehmen und dem Glücksspiel oder Drogen verfallen, um sie zu lindern - das haben Studien gezeigt.","Sometimes no, because in its extreme it can lead people to take absurd physical risks, gamble or indulge in substance abuse as a way to ease it, research shows.","Sometimes not, because in extreme cases it leads to people taking extreme physical risks and becoming addicted to gambling or drugs in an attempt to alleviate it - as studies have shown.",6.81,0.8774
3432,Der Audi des 33-Jährigen war nicht mehr fahrbereit und musste abgeschleppt werden.,The Audi belonging to the 33-year-old could no longer be driven and had to be towed away.,The 33-year-old's Audi was no longer roadworthy and had to be towed away.,36.38,0.8814
245,"Der Richter Jean-François Molla sagte, dass die Lebensmittelgeschäfte, Cafés und Restaurants eine viel größere Rolle spielen würden, als lediglich Leute zu ernähren, die ""in extrem prekären Bedingungen leben.""","The judge, Jean-François Molla, said the groceries, cafes and restaurants played a much bigger role than simply feeding people that ""live in extremely precarious conditions.""","Judge Jean-Francois Molla said that food shops, cafes and restaurants would play a much greater role than simply feeding people living in ""extreme poverty.""",23.82,0.8737
4810,Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards.,But it in certainly not a radical initiative - at least by American standards.,But it is certainly not a radical initiative - at least not by American standards.,64.14,0.9589
3209,Am Fuße des Baumes sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben.,"The herdsmen, exhausted after the ascent, rested at the foot of the tree.","At the foot of the tree, the animal handlers, who were exhausted from the climb, rested.",23.08,0.8361
2163,HR4-RADTOUR 700 Fahrradfahrer legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein,HR4-CYCLE TOUR 700 cyclists are taking a breather in the health resort of Bad Salzhausen and Schotten,HR4-RADTOUR 700 cyclists make stops in the Kurpark of Bad Salzhausen and Schotten,26.39,0.6873
2917,"""Das Spiel gegen Schapdetten, das ist es, was wir nun gewinnen müssen"", sagte Lewandowski.","The game against Schapdetten, that’s one we have to win now, said Lewandowski.","""The game against Schapdetten, that's what we have to win now,"" said Lewandowski.",53.82,0.9035
3242,"Eine positive Nachricht kam aus der Republik Irland, wo der PMI auf 57,3 anstieg, dem höchsten Niveau seit Ende 1999.","One positive note was from the Republic of Ireland, which saw its PMI grow to 57.3, its highest level since the end of 1999.","Good news came from the Republic of Ireland, where the PMI rose to 57.3, the highest level since the end of 1999.",47.99,0.9077
4344,"Der norwegische Diplomat drängte die Vereinigten Staaten und andere Militärmächte auch, die Anzahl der internationalen zivilen Helfer zu erhöhen, die bei der politischen Umstellung Afghanistans helfen sollen.",The Norwegian diplomat also pressed the United States and other military powers to increase the number of international civil servants aiding Afghanistan's political transition.,The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian assistants to help with Afghanistan's political transformation.,57.41,0.8963
1790,"Jedoch sei der Mittelwert an neuen Arbeitssuchenden während der letzten vier Wochen ""auf den Tiefpunkt des Jahres gefallen"", betonte Scott Marcouiller von Wells Fargo Advisors.","However, in the last four weeks, the average number of new employment seekers ""has fallen to its lowest in a year"", highlighted Scott Marcouiller from Wells Fargo Advisors.","However, the average number of new job seekers over the past four weeks has ""fallen to the lows of the year,"" said Scott Marcouiller of Wells Fargo Advisors.",28.1,0.8881
2066,"Die Initiative wurde schon im letzten Monat im Juni angekündigt und schon jetzt ein Teil des Berichtes der Generalstaatsanwaltschaf ist. Nach ihren Angaben handelt es sich um ein Piloten-Projekt, welches ein Jahr lang dauern wird.","The measure was announced last June and has been already included in the Annual Report of the State Attorney General, according to which it will be a pilot project for a period of one year.","The initiative was announced last month, in June, and part of the General Prosecutor's report is already available. According to them, it is a pilot project that will last one year.",10.87,0.822
2786,"Der Schuss kam aus einem Kleinwagen, der an einer Gruppe von sechs Kindern vorbeigefahren war und plötzlich angehalten hatte.","The shots came from a small car, which drove past a group of six children and suddenly stopped.",The shot came from a small car that had passed by a group of six children and suddenly stopped.,59.32,0.8536
1964,"""Mir ist immer sein Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres aufgefallen"", gibt D'Arenberg zu.","""I've always been struck by his refined and calm manner, and his neat and perfect appearance"" acknowledges D'Arenberg.","""I have always been struck by his refinement, his calmness and his impeccable appearance,"" admits D'Arenberg.",22.78,0.9167
766,"Der Bootmotor verfügte zwar über eine Notstoppleine, diese löste sich allerdings beim Kentern des Boots von der Person los, die das Boot steuerte.",The boat's engine had an emergency kill cord but it had somehow come detached from the person driving the boat when it capsized.,"The boat's engine had a reserve fuel tank, but this was released from the person steering the boat when it capsized.",35.28,0.719
3683,"Fällt es Deutschland schwer, bei wichtigen internationalen Themen eine klare Position zu beziehen?",Does Germany find it difficult to adopt a clear position when it comes to important international affairs?,Is it difficult for Germany to take a clear position on important international issues?,12.87,0.9163
1151,"""Die liegen bei mir auf dem Zentralbankkonto und verursachen 0,4 Prozent Kosten"", sagte der Bankchef.","""The money has been sitting in my account at the Central Bank, and costing 0.4 percent,"" the bank CEO said.","""They are on my central bank account and cost 0.4 percent,"" said the bank head.",13.07,0.7908
3186,"Ich erwartete, Zähneknirschen und handgreifliche Diskussionen am Flugsteig zu sehen.",I was expecting to see gnashing of teeth and a fight breaking out at the gate.,I expected to see teeth-gnashing and hand-wringing at the gate.,17.38,0.7863
1670,"Vor kurzem bist du 30 geworden, bist du in keine Krise verfallen?","Not long ago, you celebrated your 30 years, did you entered a crisis?","You have just turned 30, are you not in a crisis?",10.86,0.8039
4762,Ein Teil des Meeresbodens gehört heute auch der Tschechischen Republik.,Part of the ocean floor currently belongs to the Czech Republic.,A part of the seabed also belongs to the Czech Republic today.,34.39,0.9004
4377,"Dormans ""Mondolinenkonzert"" erhielt eine Nominierung in der Kategorie Instrumentalsolo mit Orchester.","Dorman's ""Mandolin Concerto"" was nominated for instrumental soloist performance with orchestra.","Dorman's ""Mondolines Concert"" received a nomination in the orchestral instrumental solo category.",6.61,0.8081
1441,"In seiner Predigt erinnert Pfarrer Adolf Buhl daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei.","In his homily, Father Adolf Buhl reminds us that the cross is a sign of hope, comfort and life.","In his sermon, Pastor Adolf Buhl reminded his congregation that the cross was a symbol of hope, comfort and life.",36.66,0.8879
1573,"Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind.","On a tour of the premises, the children will have to work out which stories are true and which have been made up.",The children have to guess which of the stories are true or false on a round of the fence.,9.33,0.6842
3906,"Ich erinnere mich, dass Georgij an diesem Tag so gerne zur Schule gehen wollte. Er sagte, er wolle seinen Lehrer umarmen.","I remember Georgy so much wanted to go to school on that day, he said he wanted to hug his teacher.",I remember that Georgiy was so eager to go to school that day. He said he wanted to hug his teacher.,46.33,0.9125
1628,"Der Hotelangestellte sagte, dass die Maßnahme eine ""absichtliche Entscheidung des Managements der Kempinski Hotels sei.""","The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""","The hotel worker said the move was an ""intentional decision by the management of Kempinski Hotels.""",24.94,0.901
4475,Darüber hinaus wiederholt Ferrells Geschichte die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung.,"Moreover, Ferrell's story reiterates and re-centers the role of black queer women in the broader Black Lives Matter movement.","Moreover, Ferrell's story repeats the role of black lesbian women in the broader Black Lives Matter movement.",62.0,0.8839
4098,"In einer gemeinsamen Sitzung bereiteten sich am Samstag die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach auf die Veränderungen vor.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared for the changes.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes.",89.85,0.9174
0,"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after breaking up with him, she found out she was pregnant.",21.15,0.8762
542,"Kess verführen sie Siegfried (Stefan Vinke), zerren in Hollywood-Manier eine Leiche in den Kofferraum und geben die Krawallo-Clique.","They saucily seduce Siegfried (Stefan Vinke), lug a body in the boot in Hollywood manner, and play the riotous clique.","Kess seduces Siegfried (Stefan Vinke), drags a corpse in Hollywood style into the boot and gives the Krawallo clique.",26.3,0.6674
3062,"Es geht um eine Frist, die am 1. Oktober für Staaten ablief, um die Standards von 2015 für bodennahes Ozon einzuhalten.",At issue is an Oct. 1 deadline for states to begin meeting 2015 standards for ground-level ozone.,It concerns a deadline that expired on 1 October for states to meet the 2015 standards for ground-level ozone.,31.57,0.8849
3599,Bisher sind Projekte wie jenes in Portugal und auch Schottland von eher kleiner Dimension und scheinen keinerlei ernst zu nehmende ökologische Probleme zu verursachen.,Till now the plants such as the Portuguese one or some in Scotland are small and do not appear to create big problems for the ecosystem.,"So far, projects such as the one in Portugal, and also Scotland, have been relatively small and do not seem to be causing any serious ecological problems.",12.68,0.8244
4101,"Die genauen Vorgänge bei der Entstehung von Sternen aus großen Gaswolken - und damit auch der Entstehung von Planeten, die diese Sterne umkreisen - liegen immer noch im sprichwörtlichen Dunkeln.",The precise processes for the formation of stars from large gas clouds - and thus the formation of the planets that orbit these stars - lie in proverbial darkness.,The exact processes by which stars form from large clouds of gas - and the formation of planets that orbit these stars - are still shrouded in mystery.,25.66,0.8827
1426,"Doch schon 2004 und in Rheinnähe ist bereits ""Seven Swans"" erschienen und bricht positiv gewisse Erwartungen.","But in 2004 in the Rhine area, ""Seven Swans"" came out, bursting positive expectations.","However, in 2004 and near the Rhine, ""Seven Swans"" had already appeared and met with positive expectations.",26.24,0.7659
3548,"Moreno schien glücklich, einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein.",Moreno appeared fortunate to escape a red card and the concession of a spot-kick.,Moreno seemed happy to have escaped a red card and a penalty.,19.72,0.805
366,"Nach der Höhe der Investitionen gefragt, will sich Thomas Scherer nicht genau festlegen.","Asked about the level of investments, Thomas Scherer doesn't want to commit himself precisely.","When asked about the level of investment, Thomas Scherer did not want to commit himself.",36.01,0.86
4853,"US-Präsident Donald Trump deutete an, dass Kanada künftig von Nafta ausgeschlossen werden könnte.",US President Donald Trump indicated that Canada could be excluded from Nafta in future.,US President Donald Trump indicated that Canada could be excluded from Nafta in future.,100.0,0.9725
4616,"Einige Bewohner, einschliesslich der Blogger, die über die Gentrifizierung des East Village schreiben, haben die Idee des Verkaufs von Extra Place abgelehnt, mit dem Argument, dass dieses öffentliche Grundstück, so bescheiden wie es ist, weiterhin öffentlich bleiben soll.","Some residents, including bloggers who write about the gentrification of the East Village, have opposed the idea of selling Extra Place, arguing that the piece of public property, modest as it is, should remain public.","Some residents, including bloggers who write about the gentrification of the East Village, have rejected the idea of selling Extra Place, arguing that the public land, no matter how small, should remain public.",67.67,0.8854
175,Erteilen Sie durch Verstecken eine wertvolle und amüsante Lektion über Sicherheit - aber versauen Sie nie jemandes Zimmer mit Zahnpasta und Shampoo.,Teach a valuable and amusing lesson about security by hiding something - but never trash someone's room with toothpaste and shampoo.,Provide a valuable and amusing lesson on safety - but never lock someone's room with toothpaste and shampoo.,48.55,0.7713
3119,"Sie leben inmitten der Großfamilie, werden geliebt, umsorgt und sind glücklich.","They live among their extended family, are loved, cared for and are happy.","They live in the midst of a large family, they are loved, cared for and happy.",33.36,0.8733
3820,"Wissenschaftler haben zuvor darauf hingedeutet, dass die langsame Umdrehung der Venus durch ihre dichte Atmosphäre erklärt werden könnte.",Scientists have previously suggested that Venus' slow rotation rate is explained by its thick atmosphere.,Scientists had previously suggested that the slow rotation of Venus could be explained by its dense atmosphere.,17.31,0.9175
1329,"""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"", bestätigte auch er.","""This is the furthest back that it has been since records began,"" he also confirmed.","""This is the greatest withdrawal since records began,"" he confirmed.",40.1,0.802
3089,"Wenn ich abends mit meinen Patientenniederschriften fertig bin und zu Bett gehe, dann führt mich das Buch zurück in eine Zeit, als die Politik Millionen inspirierte und einem Reden den Atem rauben konnten.","When I'm finished with my patient write-ups at night and get into bed, the book returns me to a time when politics inspired millions and speeches could take your breath away.","When I finish writing up my patients' notes at night and go to bed, the book takes me back to a time when politics could inspire millions and steal the breath from a speech.",22.46,0.8229
801,"Nach ihrer Erfahrung setzen weiße feministische Kommentatoren das Geschlecht vor die Rasse, wenn es darum geht, Reproduktionsrecht und Einkommensungleichheiten anzusprechen.","In her experience, white feminist commenters prioritized gender above race when it came to pushing forward reproductive rights and income inequality.","In her experience, white feminist commentators put race before gender when it comes to reproductive rights and income inequalities.",35.81,0.9102
40,"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, the virtual operators normally profile themselves as low-cost companies, offering cheap phone calls and SMS, which is often accompanied by a less comprehensive service.",16.46,0.853
4112,"Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","We need to provide the communities with countless young girls who are inspired by Simone, Gabby and Laurie with a more viable and accessible gymnastics programme.",49.33,0.8618
2703,"Es ist auch kein Horden durch Hobbysammlern - es hat eine emotionale Bedeutung: ältere Plattenkäufer behalten ihre Gefühle eher für sich (56 % vs. 53 %) und genießen es, alleine Zeit zu verbringen (69 % vs. 66 %).","It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",It's also not a herd of hobby collectors - it has an emotional significance: older record buyers tend to keep their feelings to themselves (56% vs 53%) and enjoy spending time alone (69% vs 66%).,39.94,0.8594
4165,"Nhaijah Russell, ein sechsjähriges Mädchen, das vor kurzem vier Spritzer von nach Erdbeere duftendem Händedesinfektionsmittel in der Schule eingenommen hatte, wurde in eine Notaufnahme zur Behandlung gebracht.","Nhaijah Russell, a six-year-old girl who recently ingested as many as four squirts of strawberry-scented hand sanitizer at school, was taken to an emergency room for treatment.","Nhaijah Russell, a six-year-old girl who recently ingested four shots of hand sanitizer scented with strawberry-scented hand sanitizer at school, was rushed to the hospital for treatment.",51.36,0.8443
697,Die CD führt mehr Verbindungslinien SC Pendolino zwischen Prag und Ostrava ein und die Züge nach Sumperk/Jesenik werden im Zeitabstand von zwei Stunden fahren.,Czech Railways is introducing more Pendolino routes between Prague and Ostrava and trains to Šumperk/Jeseník will run on two-hour intervals.,"The CD is introducing more SC Pendolino connection lines between Prague and Ostrava, and the trains to Sumperk/Jesenik will run every two hours.",16.54,0.7851
4359,"Für mich stellte das die größte Attraktion Heathrows dar, genauso wie damals in 2012 in London, als wir einen großen Aufwand betrieben, um sicherzustellen, dass all unsere Nationen und Regionen von den Spielen profitierten.","For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.","For me, that was the biggest attraction of Heathrow, as it was back in 2012 in London when we made a big effort to ensure that all our nations and regions benefited from the Games.",48.8,0.8545
3458,Rund 80 Tiere aus fünf verschiedenen Kontinenten genießen jede Streicheleinheit.,About 80 animals from five different continents enjoy every bit of attention.,Around 80 animals from five different continents enjoy every stroke.,58.27,0.7281
1288,"Auβerdem beinhaltet diese Version auch noch, als wenn das noch nicht genug an Ausstattung wäre, das Paket Premium, welches für zusätzliche 1.500 Euro folgendes enthält: neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader.","Additionally, with less equipment, this version comes with the Premium Pack, which, for 1,500 euros, also features: bi-xenon adaptive headlights and a BOSE sound system with CD changer, among other things.","In addition, this version also includes the Premium package, for an additional 1,500 euros, which includes, among other elements, the learning Bixenon headlights and the Bose sound system with CD player.",16.6,0.7709
2364,"Soviel im Voraus:""Mathieu (Debuchy), Yohan (Cabaye) und Adil (Rami) werden dabei sein"", vergegenwärtigt er.","All the more so, since opposite are Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) ,"" he recalls.","In advance: ""Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there.""",50.38,0.7315
2289,"Das Problem ist, dass Deutschland Wagner spielen will und die anderen Länder die neunte Sinfonie Beethovens.",The problem is that Germany wants to play Wagner and the rest the hymn of joy of Beethoven.,The problem is that Germany wants to play Wagner and the other countries want to play Beethoven's Ninth Symphony.,52.21,0.7954
1940,"Adam Fitzpatrick, Neighbourhood Enforcement Manager von Cornwall Housing, sagte aus, dass es die Familie verabsäumt hätte mit den lokalen Behörden zu kooperieren.","Adam Fitzpatrick, Cornwall Housing's neighbourhood enforcement manager, said the family failed to cooperate with the local authority.","Adam Fitzpatrick, Neighbourhood Enforcement Manager at Cornwall Housing, said the family had failed to work with local authorities.",20.09,0.9109
2228,"Ich bin sehr emotional, weil meine Familie auch hier ist",I'm very emotional because my family are here as well,I am very emotional because my family is also here,41.11,0.9575
1175,"Er muss auch ein Mitbestimmungsrecht bei Entscheidungen haben, die die Leistung des Teams beeinflussen.",He must also have a say in the decisions that impact the team's performance.,He must also have a say in decisions affecting the team's performance.,58.74,0.947
4550,"Jetzt, ohne das kritische Sektoren auf der Lauer liegen, könnte der Zeitpunkt gekommen sein, um diese Angelegenheit wieder aufzugreifen und für immer abzuschließen.","Now, without critical sectors on the matter, could be a good moment to retake it and try to close it for always.","Now that the critical sectors are off the hook, the time may have come to take up this matter again and put it to bed once and for all.",3.75,0.7403
3350,"Doch die Bayern, in sieben Europacup-Duellen mit griechischen Teams unbesiegt, wollten nicht das nächste Opfer sein.","But Bayern, undefeated in seven Europa Cup duels with Greek teams, did not want to be the next victim.","But the Bavarians, unbeaten in seven European Cup duels with Greek teams, did not want to be the next victim.",67.63,0.899
4542,"Die meisten davon haben im Moment noch keine Ahnung, dass sie so sterben werden.",Most currently have no idea that they will die this way.,Most of them have no idea that they will die like that.,50.09,0.9143
2458,Die NCAA beseitigt die zwei-Tage-Praktiken und macht einen langen Tag für die Bruins,The NCAA's elimination of two-a-day practices makes for a long day for the Bruins,"NCAA eliminates two-day practices, making for a long day for the Bruins",45.03,0.8823
4611,"Laut Stellenanzeige wurden Frauen im Alter von 18 bis 22 mit guter Figur und ""harmonischen Gesichtszügen"" gesucht.","The district's advertisement called for female applicants 18 to 22 years old, with a good figure and ""the five facial features in proper order.""","According to the job posting, women aged 18 to 22 with a good figure and ""harmonious facial features"" were being sought.",24.61,0.8428
1205,"Für die Gebotsabgabe vorausgewählte Unternehmen gaben Gebote ab, welche dann mit der Gebühr pro Barrel Öl verglichen wurden, die das Ministerium bereit war zu zahlen, um den Ausstoß jedes Felds über das aktuelle Niveau hinaus zu steigern.",Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field.,"Pre-selected companies submitted bids, which were then compared with the fee per barrel of oil that the ministry was willing to pay to increase the output of each field above current levels.",25.29,0.8733
3125,"""Seine Angriffe waren jedoch herabsetzend und viele Leute waren von seiner Wahlkampagne schockiert.""","""However, his attacks were not decent, and many people were caught by surprise by the method of his election campaign.""","""But his attacks were demeaning and many people were shocked by his campaign.""",17.22,0.8601
1997,"""Wir werden sie nicht unterschätzen"", hatte Bayern-Kapitän Philipp Lahm vor dem Spiel im Karaiskakis-Stadion vor 31.688 heißblütigen Fans versprochen - und die Münchner hielten Wort.","""We aren't going to underestimate them,"" promised Bayern captain Phillipp Lahm before the game in the Karaiskakis Stadium in front of 31,688 hot-blooded fans - and the Munich player kept his word.","""We will not underestimate them,"" Bayern captain Philipp Lahm had promised before the game in front of 31,688 fervent fans at the Karaiskakis stadium - and the Munich team kept their word.",31.45,0.8641
3148,"Die Pfälzer Vorfahren von Donald Trump kamen aus einem Ort, dessen Einwohner Angeber genannt werden.",The Palatine ancestors of Donald Trump came from a place whose inhabitants are known as braggarts.,The Palatine ancestors of Donald Trump came from a place where the inhabitants are called witnesses.,59.75,0.7533
2031,"Obwohl mehrere Hamas-Führer getötet und die 1,7 Millionen Einwohner des Gazastreifens in einem der desolatesten und dicht bevölkertesten Ecken des Planeten eingepfercht werden, ist es Israel bis jetzt nicht gelungen, die Hamas zu vernichten.","Despite killing some of its leaders and bottling up Gaza's 1.7m people in one of the most wretched and crowded corners of the planet, Israel has failed to destroy Hamas.","Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip have been besieged in one of the most desolate and densely populated corners of the planet, Israel has so far failed to destroy Hamas.",31.33,0.8051
