original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
2037,"Orange County Behörden wollten eine fünfspurige Autobahn durch die Stadt legen, um den Kennedy Boulevard zu ersetzen, die langsame zweispurige Hauptstraße der Gemeinde.","Orange County officials wanted to put a five-lane highway through town to replace Kennedy Boulevard, the community's puttering two-lane main street.","Orange County officials wanted to build a five-lane highway through the city to replace Kennedy Boulevard, the slow two-lane main street of the town.","The German ""Orange County Behörden wollten eine fünfspurige Autobahn durch die Stadt legen, um den Kennedy Boulevard zu ersetzen, die langsame zweispurige Hauptstraße der Gemeinde"" should be ""Orange County officials wanted to build a five-lane highway through the city to replace Kennedy Boulevard, the slow two-lane main street of the town"" not ""Orange County officials wanted to build a five-lane highway through the city to replace Kennedy Boulevard, the slow two-lane main street of the town"" - the model changed ""Behörden"" to ""officials"" and ""Boulevard"" to ""Boulevard","Orange County officials wanted to build a five-lane highway through the city to replace Kennedy Boulevard, the slow two-lane main street of the town.",46.52,46.52,0,0.9086,0.9086,0
1461,"Viele an der Wall Street betrachten die neuen Gepäckgebühren als Zeichen dafür, dass die Fluggesellschaften genug Geld einnehmen, um nach Jahren der Verluste die Kosten von Flugreisen zu decken.",Many on Wall Street view the addition of baggage fees as a sign that airlines are charging enough money to cover the cost of air travel after years of losses.,Many on Wall Street see the new baggage fees as a sign that the airlines are making enough money to cover the cost of flying after years of losses.,"The German ""Gepäckgebühren"" should be ""baggage fees"" not ""baggage charges"" - ""Gepäckgebühren"" is the standard German term for baggage fees, while ""baggage charges"" is less common. The phrase ""die Fluggesellschaften genug Geld einnehmen"" should be ""airlines are making enough money"" not ""the airlines are making enough money"" - the model's ""airlines"" is less formal than the target's ""airlines",Many on Wall Street see the new baggage fees as a sign that the airlines are making enough money to cover the cost of flying after years of losses.,54.54,54.54,0,0.9042,0.9042,0
3969,"""Wir haben das Unmögliche möglich gemacht, um die Vorjahrespreise mit Menüs für jeden Geschmack von 19,95 bis 30 Euro aufrechtzuerhalten"", erklärt er.","""We have done the impossible to maintain the same prices of the year last, with menus for all the tastes from 19.95 to 30 Euros,"" they detail.","We have made the impossible possible in order to maintain last year's prices with menus for every taste from 19.95 to 30 euros, he explains.","The German ""Wir haben das Unmögliche möglich gemacht"" should be ""We made the impossible possible"" not ""We have made the impossible possible","""We made the impossible possible in order to maintain last year's prices with menus for every taste from 19.95 to 30 euros, he explains.",14.66,14.66,0,0.8571,0.8524,-0.0047
1142,"In der Geschichte eines deutschen Schulmädchens erzählt er: ""Ersatz, überall Ersatz.""","In telling a German schoolgirl's story he says: ""Ersatz, everywhere ersatz.""","He tells the story of a German schoolgirl: 'Substitute, substitute everywhere.'","The German ""In der Geschichte eines deutschen Schulmädchens erzählt er"" should be ""He tells the story of a German schoolgirl"" not ""He tells the story of a German schoolgirl:","He tells the story of a German schoolgirl: ""Ersatz, over and over again.""",6.73,18.71,11.98,0.7006,0.6652,-0.0353
3411,"Laut einer vorsichtigen Aussage von Beobachtern der Organisation of American States and the Caribbean Community ""machen diese Unregelmäßigkeiten, so ernst sie auch sein mögen, den Prozess nicht notwendigerweise ungültig"".","Observers from the Organisation of American States and the Caribbean Community said cautiously that they did ""not believe these irregularities, serious as they were, necessarily invalidated the process.""","According to a cautious statement by observers of the Organisation of American States and the Caribbean Community, 'these irregularities, however serious they may be, do not necessarily invalidate the process'.","The German ""Laut einer vorsichtigen Aussage"" should be ""According to a cautious statement"" not ""According to a cautious statement by observers"" - this is about a specific statement, not general observers. The phrase ""machen diese Unregelmäßigkeiten, so ernst sie auch sein mögen, den Prozess nicht notwendigerweise ungültig"" should be ""do not necessarily invalidate the process"" not ""do not necessarily invalidate the process not necessarily"" - the model added ""not necessarily"" which is unnecessary","According to a cautious statement by the Organization of American States and the Caribbean Community, ""these irregularities, however serious they may be, do not necessarily invalidate the process"".",27.96,25.27,-2.7,0.837,0.8312,-0.0058
3093,"Am weitesten ist hier Sony Ericsson, dessen Handys aus der Serie Walkman die gleiche Nutzerschnittstelle haben wie die einzeln verkauften MP3-Player.","Sony Ericsson, whose cell phones from the walkman series have the same user interface as the MP3 players sold separately, is the most advanced in the field.","Sony Ericsson is the furthest ahead, with Walkman phones that have the same user interface as individual MP3 players.","The German ""Handys aus der Serie Walkman"" should be ""Walkman phones"" not ""Walkman phones that have the same user interface as individual MP3 players","Sony Ericsson is the furthest ahead, with Walkman phones that have the same user interface as individual MP3 players.",20.61,20.61,0,0.8122,0.8122,0
2972,HP beschäftigte zum Ende des Geschäftsjahres 2013/14 noch rund 302.000 Mitarbeiter.,"At the end of the 2013/14 business year HP still employed around 302,000 staff.","At the end of the business year 2013/14, HP still had around 302,000 employees.","The German ""zum Ende des Geschäftsjahres 2013/14"" should be ""at the end of the fiscal year 2013/2014"" not ""at the end of the business year 2013/14"" - this is about accounting periods, not calendar years. The phrase ""rund 302.000 Mitarbeiter"" should be ""approximately 302,000 employees"" not ""around 302,000 employees"" - the model lost the ""approximately","At the end of the fiscal year 2013/2014, HP had approximately 302,000 employees.",34.82,27.57,-7.25,0.9433,0.91,-0.0334
2665,"Ein seltener Moment, in dem der normalerweise großspurig und selbstsicher auftretende Multimillionär so etwas wie Bedenken äußerte, wie Korrespondenten berichteten.","It was a strange moment - the multi-millionaire normally puts on a pompous, self-assured performance, but this time he expressed something analogous to doubt, as correspondents report.","A rare moment, when the usually flamboyant and self-confident multimillionaire expressed some reservations, as correspondents reported.","The German ""Bedenken"" should be ""concerns"" not ""reservations"" - ""Bedenken"" is more formal and specific than ""reservations","A rare moment, when the usually flamboyant and self-confident multimillionaire expressed concerns, as correspondents reported.",5.12,4.96,-0.16,0.7952,0.7792,-0.016
1989,Solarworld belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands.,Solarworld came in 55th place among the 100 best employers in Germany in a study by the Great Place to Work Institute.,Solarworld came 55th in a study by the Great Place to Work Institute of the 100 best employers in Germany.,"The German ""Solarworld belegte bei einer Studie des Great Place to Work Instituts den 55. Platz unter den 100 besten Arbeitgebern Deutschlands"" should be ""Solarworld came 55th in the Great Place to Work Institute's study of the 100 best employers in Germany"" not ""Solarworld came 55th in a study by the Great Place to Work Institute of the 100 best employers in Germany",Solarworld came 55th in the Great Place to Work Institute's study of the 100 best employers in Germany.,64.33,40.74,-23.58,0.9195,0.9166,-0.0029
1693,"Manchmal nicht, denn im Extremfall führt sie dazu, dass Menschen extreme körperliche Risiken auf sich nehmen und dem Glücksspiel oder Drogen verfallen, um sie zu lindern - das haben Studien gezeigt.","Sometimes no, because in its extreme it can lead people to take absurd physical risks, gamble or indulge in substance abuse as a way to ease it, research shows.","Sometimes not, because in the extreme case it leads to people taking extreme physical risks and becoming addicted to gambling or drugs - that's what studies have shown.","The German ""im Extremfall"" should be ""in the worst case"" not ""in the extreme case"" - ""Extremfall"" is more formal than ""extreme case"" in this context. The phrase ""dem Glücksspiel oder Drogen"" should be ""gambling and drugs"" not ""gambling or drugs"" - ""Drogen"" is more specific than ""drugs"" in this context. The word ""verfallen"" should be ""fall into"" not ""become addicted to"" - ""verfallen"" is more general than ""addicted to","Sometimes not, because in the worst case it leads to people falling into gambling and drugs in order to alleviate it - that's what studies have shown.",6.68,5.77,-0.9,0.828,0.7872,-0.0408
3432,Der Audi des 33-Jährigen war nicht mehr fahrbereit und musste abgeschleppt werden.,The Audi belonging to the 33-year-old could no longer be driven and had to be towed away.,The 33-year-old's Audi was no longer roadworthy and had to be towed away.,"The German ""Audi des 33-Jährigen"" should be ""Audi of the 33-year-old"" not ""33-year-old's Audi"" - this is about the car, not the driver. The phrase ""war nicht mehr fahrbereit"" should be ""was no longer roadworthy"" not ""was no longer roadworthy and had to be towed away"" - this is about the car's condition, not the driver's actions. The German ""abgeschleppt werden"" should be ""had to be towed away"" not ""had to be towed away"" - this is about the car being towed, not the driver's actions. The model changed the subject from the car's condition to the driver's actions",The Audi of the 33-year-old was no longer roadworthy and had to be towed away.,36.38,47.39,11.01,0.8814,0.8685,-0.0129
245,"Der Richter Jean-François Molla sagte, dass die Lebensmittelgeschäfte, Cafés und Restaurants eine viel größere Rolle spielen würden, als lediglich Leute zu ernähren, die ""in extrem prekären Bedingungen leben.""","The judge, Jean-François Molla, said the groceries, cafes and restaurants played a much bigger role than simply feeding people that ""live in extremely precarious conditions.""","The judge, Jean-François Molla, said that food shops, cafés and restaurants would play a much greater role than simply feeding people who 'live in extremely precarious conditions'.","The German ""Lebensmittelgeschäfte, Cafés und Restaurants"" should be ""supermarkets, cafés and restaurants"" not ""food shops, cafés and restaurants"" - the model changed ""Lebensmittelgeschäfte"" (food shops) to ""food shops"" and ""Cafés und Restaurants"" (cafés and restaurants) to ""food shops, cafés and restaurants","The judge, Jean-François Molla, said that supermarkets, cafés and restaurants would play a much greater role than simply feeding people who 'live in extremely precarious conditions'.",38.52,38.57,0.05,0.8916,0.8879,-0.0037
4810,Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards.,But it in certainly not a radical initiative - at least by American standards.,But it is certainly not a radical initiative - at least not by American standards.,the translation accurately captures the meaning,But it is certainly not a radical initiative - at least not by American standards.,64.14,64.14,0,0.9589,0.9589,0
3209,Am Fuße des Baumes sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben.,"The herdsmen, exhausted after the ascent, rested at the foot of the tree.",The animal keepers are said to have rested at the foot of the tree after the ascent.,"The German ""Baum"" should be ""tree"" not ""tree"" - this is a lexical error where the model repeated the target word. The phrase ""sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben"" should be ""the exhausted animal keepers are said to have rested"" not ""the animal keepers are said to have rested at the foot of the tree after the ascent"" - the model omitted the ""exhausted"" modifier and changed the location from ""at the foot of the tree"" to ""after the ascent","At the foot of the tree, the exhausted animal keepers are said to have rested.",42.09,25.46,-16.63,0.7092,0.6918,-0.0174
2163,HR4-RADTOUR 700 Fahrradfahrer legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein,HR4-CYCLE TOUR 700 cyclists are taking a breather in the health resort of Bad Salzhausen and Schotten,HR4-RADTOUR 700 cyclists are making stops in the Kurpark in Bad Salzhausen and Schotten.,"The German ""legen im Kurpark von Bad Salzhausen und Schotten Zwischenstopps ein"" should be ""are making stops in the Kurpark in Bad Salzhausen and Schotten"" not ""are making stops in the Kurpark in Bad Salzhausen and Schotten"" - the model changed ""im Kurpark von Bad Salzhausen und Schotten"" to ""in the Kurpark in Bad Salzhausen and Schotten",HR4-RADTOUR 700 cyclists are making stops in the Kurpark in Bad Salzhausen and Schotten.,22.42,22.42,0,0.6712,0.6712,0
2917,"""Das Spiel gegen Schapdetten, das ist es, was wir nun gewinnen müssen"", sagte Lewandowski.","The game against Schapdetten, that’s one we have to win now, said Lewandowski.","Lewandowski said: 'The game against Schapdetten, that is what we have to win now'.","The German ""Schapdetten"" should be ""Schalke"" not ""Schapdetten"" - this is a typographical error where ""Schalke"" was transcribed as ""Schapdetten","""The game against Schalke, that is what we have to win now,"" said Lewandowski.",31.01,38.79,7.78,0.8898,0.8582,-0.0316
3242,"Eine positive Nachricht kam aus der Republik Irland, wo der PMI auf 57,3 anstieg, dem höchsten Niveau seit Ende 1999.","One positive note was from the Republic of Ireland, which saw its PMI grow to 57.3, its highest level since the end of 1999.","A positive message came from the Republic of Ireland, where the PMI rose to 57.3, the highest level since the end of 1999.","The German ""wo der PMI auf 57,3 anstieg"" should be ""where the PMI rose to 57.3"" not ""where the PMI rose to 57.3"" - the model changed ""anstieg"" (rose) to ""rose to 57.3"" which loses the temporal aspect. The phrase ""dem höchsten Niveau seit Ende 1999"" should be ""the highest level since the end of 1999"" not ""the highest level since the end of 1999"" - the model changed ""seit Ende 1999"" (since the end of 1999) to ""since the end of 1999"" which loses the temporal aspect","A positive message came from the Republic of Ireland, where the PMI rose to 57.3, the highest level since the end of 1999.",48.63,48.63,0,0.9056,0.9056,0
4344,"Der norwegische Diplomat drängte die Vereinigten Staaten und andere Militärmächte auch, die Anzahl der internationalen zivilen Helfer zu erhöhen, die bei der politischen Umstellung Afghanistans helfen sollen.",The Norwegian diplomat also pressed the United States and other military powers to increase the number of international civil servants aiding Afghanistan's political transition.,The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian helpers who are to assist in Afghanistan's political transition.,the translation accurately captures the meaning,The Norwegian diplomat also urged the United States and other military powers to increase the number of international civilian helpers who are to assist in Afghanistan's political transition.,58.78,58.78,0,0.8903,0.8903,0
1790,"Jedoch sei der Mittelwert an neuen Arbeitssuchenden während der letzten vier Wochen ""auf den Tiefpunkt des Jahres gefallen"", betonte Scott Marcouiller von Wells Fargo Advisors.","However, in the last four weeks, the average number of new employment seekers ""has fallen to its lowest in a year"", highlighted Scott Marcouiller from Wells Fargo Advisors.","However, the average number of new job seekers during the last four weeks 'has fallen to the lowest point of the year', stressed Scott Marcouiller of Wells Fargo Advisors.","The German ""auf den Tiefpunkt des Jahres gefallen"" should be ""has fallen to the lowest point of the year"" not ""fallen to the lowest point of the year"" - the model changed ""gefallen"" to ""fallen"" and ""Tiefpunkt"" to ""lowest point","However, the average number of new job seekers during the last four weeks ""has fallen to the lowest point of the year,"" stressed Scott Marcouiller of Wells Fargo Advisors.",32.47,38.7,6.23,0.9069,0.9032,-0.0037
2066,"Die Initiative wurde schon im letzten Monat im Juni angekündigt und schon jetzt ein Teil des Berichtes der Generalstaatsanwaltschaf ist. Nach ihren Angaben handelt es sich um ein Piloten-Projekt, welches ein Jahr lang dauern wird.","The measure was announced last June and has been already included in the Annual Report of the State Attorney General, according to which it will be a pilot project for a period of one year.","The initiative was announced last month in June and is already part of the General Prosecutor's report. According to them, it is a pilot project which will last for one year.","The German ""Initiative"" should be ""project"" not ""initiative"" - this is about a specific project, not a general initiative. The phrase ""im letzten Monat im Juni angekündigt"" should be ""announced last month in June"" not ""was announced last month in June"" - the temporal structure is different. The phrase ""ein Teil des Berichtes der Generalstaatsanwaltschaf ist"" should be ""is already part of the General Prosecutor's report"" not ""is already part of the General Prosecutor's report"" - the target uses ""is"" instead of ""is already","The project was announced last month in June and is already part of the General Prosecutor's report. According to them, it is a pilot project which will last for one year. According to them, it is a pilot project which will last for one year.",11.49,8.5,-2.99,0.8443,0.737,-0.1073
2786,"Der Schuss kam aus einem Kleinwagen, der an einer Gruppe von sechs Kindern vorbeigefahren war und plötzlich angehalten hatte.","The shots came from a small car, which drove past a group of six children and suddenly stopped.",The shot came from a small car which had driven past a group of six children and then stopped suddenly.,"The German ""Kleinwagen"" should be ""small car"" not ""small vehicle"" - this is more natural English. The phrase ""an einer Gruppe von sechs Kindern vorbeigefahren war"" should be ""was driving past a group of six children"" not ""which had driven past a group of six children"" - the model's version is less natural. The phrase ""plötzlich angehalten hatte"" should be ""suddenly stopped"" not ""suddenly came to a halt"" - ""stopped"" is more natural than ""came to a halt",The shot came from a small car which was driving past a group of six children and suddenly stopped.,48.82,65.86,17.04,0.8977,0.8876,-0.0101
1964,"""Mir ist immer sein Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres aufgefallen"", gibt D'Arenberg zu.","""I've always been struck by his refined and calm manner, and his neat and perfect appearance"" acknowledges D'Arenberg.","D'Arenberg says that it is always his refinement, his calm, his well-groomed and perfect appearance that strikes her.","The German ""Raffinement, seine Ruhe, sein gepflegtes und perfektes Äußeres"" should be ""his sophistication, his calm, his well-groomed and perfect appearance"" not ""his refinement, his calm, his well-groomed and perfect appearance"" - the model changed ""Raffinement"" (sophistication) to ""refinement"" and ""Ruhe"" (calm) to ""calm","""I have always been struck by his sophistication, his calm, his well-groomed and perfect appearance,"" said D'Arenberg.",8.71,25.07,16.36,0.8224,0.8992,0.0768
766,"Der Bootmotor verfügte zwar über eine Notstoppleine, diese löste sich allerdings beim Kentern des Boots von der Person los, die das Boot steuerte.",The boat's engine had an emergency kill cord but it had somehow come detached from the person driving the boat when it capsized.,"The boat's engine did have an emergency stop button, but this detached from the person who was steering the boat when the boat capsized.","The German ""Notstoppleine"" should be ""emergency stop cord"" not ""emergency stop button"" - this is about a rope, not a button. The phrase ""löst sich allerdings beim Kentern des Boots von der Person los"" should be ""however, the emergency cord detached from the person who was steering the boat when the boat capsized"" not ""detached from the person who was steering the boat when the boat capsized"" - the model lost the ""however"" and changed ""emergency cord"" to ""emergency stop button","The boat's engine did have an emergency stop cord, however, the emergency cord detached from the person who was steering the boat when the boat capsized.",19.7,17.54,-2.15,0.8136,0.8318,0.0182
3683,"Fällt es Deutschland schwer, bei wichtigen internationalen Themen eine klare Position zu beziehen?",Does Germany find it difficult to adopt a clear position when it comes to important international affairs?,Is it difficult for Germany to take a clear position on important international issues?,the translation accurately captures the meaning,Is it difficult for Germany to take a clear position on important international issues?,12.87,12.87,0,0.9163,0.9163,0
1151,"""Die liegen bei mir auf dem Zentralbankkonto und verursachen 0,4 Prozent Kosten"", sagte der Bankchef.","""The money has been sitting in my account at the Central Bank, and costing 0.4 percent,"" the bank CEO said.",The money is on my central bank account and it is costing me 0.4 per cent.,"The German ""liegen bei mir auf dem Zentralbankkonto"" should be ""are on my central bank account"" not ""is on my central bank account"" - this is about possession, not location. The phrase ""verursachen 0.4 Prozent Kosten"" should be ""costs 0.4 percent"" not ""costing me 0.4 per cent"" - this is about percentage cost, not personal cost. The model completely reversed who owns the money and how much it costs","""They are on my central bank account and cost 0.4 percent,"" the bank chief said.",4.16,22.64,18.48,0.7739,0.7997,0.0258
3186,"Ich erwartete, Zähneknirschen und handgreifliche Diskussionen am Flugsteig zu sehen.",I was expecting to see gnashing of teeth and a fight breaking out at the gate.,I expected to see teeth-gnashing and fist-fights on the runway.,"The German ""Zähneknirschen"" should be ""gnashing of teeth"" not ""teeth-gnashing"" - this is a lexical error where ""Zähneknirschen"" should be ""gnashing of teeth"" not ""teeth-gnashing",I expected to see gnashing of teeth and hand-to-hand combat on the tarmac.,5.72,31.25,25.53,0.8586,0.8149,-0.0437
1670,"Vor kurzem bist du 30 geworden, bist du in keine Krise verfallen?","Not long ago, you celebrated your 30 years, did you entered a crisis?","Recently you turned 30, have you fallen into a crisis?","The German ""bist du in keine Krise verfallen"" should be ""are you in a crisis"" not ""have you fallen into a crisis"" - this is about being in a crisis, not falling into one. The phrase ""bist du 30 geworden"" should be ""have you become 30"" not ""turned 30"" - this is about becoming a certain age, not turning that age. The model misunderstood the temporal relationship between becoming 30 and being in a crisis","Recently you have become 30, are you in a crisis?",11.16,11.16,0,0.8544,0.7875,-0.0669
4762,Ein Teil des Meeresbodens gehört heute auch der Tschechischen Republik.,Part of the ocean floor currently belongs to the Czech Republic.,"Today, part of the seabed also belongs to the Czech Republic.","The German ""Meeresbodens"" should be ""sea bed"" not ""seabed"" - this is a specific geological term. The phrase ""gehört heute auch der Tschechischen Republik"" should be ""belongs to the Czech Republic today"" not ""also belongs to the Czech Republic"" - the target emphasizes the present tense. The word ""Teil"" should be ""part"" not ""part of"" to match the target's specific terminology",A part of the sea bed belongs to the Czech Republic today.,42.8,34.39,-8.41,0.9084,0.919,0.0107
